"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2009  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2009 12:55:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Gross domestic product","B191RG3",10.584,10.175,9.165,8.122,7.909,8.296,8.461,8.554,8.868,8.701,8.591,8.666,9.231,9.991,10.553,10.806,11.082,12.358,13.731,14.51,14.502,14.615,15.622,15.962,16.164,16.328,16.562,17.133,17.733,18.142,18.348,18.604,18.814,19.071,19.273,19.572,19.928,20.493,21.124,22.022,23.11,24.328,25.545,26.647,28.124,30.669,33.577,35.505,37.764,40.413,43.773,47.776,52.281,55.467,57.655,59.823,61.633,63.003,64.763,66.99,69.52,72.213,74.762,76.537,78.222,79.867,81.533,83.083,84.554,85.507,86.766,88.648,90.654,92.113,94.099,96.769,100,103.263,106.221,108.481
"9","2","       Final sales of domestic product","B190RG3",10.345,9.949,8.971,7.969,7.779,8.179,8.349,8.44,8.753,8.627,8.52,8.592,9.152,9.898,10.455,10.707,10.983,12.249,13.575,14.349,14.36,14.474,15.456,15.808,16.025,16.188,16.424,16.988,17.586,17.993,18.198,18.455,18.663,18.92,19.125,19.424,19.781,20.346,20.978,21.88,22.968,24.182,25.394,26.494,27.968,30.493,33.389,35.32,37.582,40.232,43.576,47.557,52.029,55.233,57.414,59.573,61.414,62.802,64.552,66.807,69.338,72.04,74.592,76.371,78.057,79.707,81.379,82.953,84.449,85.443,86.72,88.623,90.631,92.089,94.089,96.759,100,103.266,106.226,108.507
"10","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","4","Goods","A353RG3",24.666,23.505,20.318,17.61,17.404,19.029,19.46,19.458,20.12,19.285,18.951,19.201,20.754,23.074,24.637,25.059,25.174,26.878,30.373,32.151,31.496,31.458,33.872,34.289,34.11,34.065,34.029,35.035,36.316,37.161,37.444,37.71,37.911,38.095,38.288,38.569,38.974,39.72,40.584,41.895,43.432,45.026,46.289,47.271,49.521,53.703,58.918,61.418,64.124,67.785,72.891,77.95,84.058,87.221,89.266,90.782,91.863,91.649,92.751,94.722,97.431,100.168,102.93,103.374,104.094,104.865,105.079,105.354,104.944,103.522,102.603,102.239,102.368,101.355,100.188,100.225,100,100.237,100.67,99.432
"12","5","    Final sales","A325RG3",23.569,22.472,19.491,17.004,16.884,18.53,18.987,18.978,19.631,18.988,18.669,18.908,20.448,22.726,24.271,24.694,24.824,26.51,29.815,31.575,31.004,30.978,33.295,33.765,33.657,33.618,33.598,34.575,35.853,36.697,36.98,37.249,37.447,37.633,37.835,38.12,38.53,39.273,40.144,41.476,43.017,44.603,45.851,46.826,49.072,53.182,58.372,60.902,63.621,67.29,72.34,77.334,83.325,86.592,88.644,90.11,91.294,91.16,92.223,94.317,97.034,99.817,102.602,103.074,103.795,104.574,104.785,105.145,104.797,103.473,102.576,102.239,102.375,101.369,100.24,100.249,100,100.202,100.611,99.456
"13","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","7","  Durable goods","A354RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.262,39.259,41.637,42.196,42.639,45.524,46.192,46.022,46.028,46.277,48.529,50.762,51.712,52.423,52.459,52.676,52.799,52.823,52.975,52.957,53.119,54.276,56.009,57.716,59.409,61.112,61.765,62.017,66.079,74.14,79.047,82.725,86.522,92.315,100.172,108.591,114.108,115.881,116.898,117.592,115.984,115.639,115.571,117.405,118.924,120.919,120.397,120.523,120.951,119.876,118.906,116.997,113.519,110.547,108.947,107.13,105.041,102.186,100.376,100,99.408,98.123,96.53
"15","8","    Final sales","A326RG3",37.812,35.907,32.402,29.394,28.664,30.493,30.433,30.374,31.673,31.776,31.342,31.964,34.417,35.82,36.122,35.203,33.788,35.69,39.808,42.202,42.775,43.223,46.047,46.742,46.546,46.558,46.809,49.062,51.332,52.285,53.047,53.076,53.298,53.433,53.461,53.612,53.582,53.731,54.915,56.689,58.427,60.135,61.846,62.5,62.679,66.563,74.691,79.64,83.312,87.056,92.773,100.649,108.897,114.413,116.158,117.065,117.716,116.056,115.667,115.503,117.319,118.855,120.869,120.388,120.515,120.937,119.842,118.917,117.011,113.623,110.658,109.046,107.235,105.146,102.292,100.435,100,99.341,98.048,96.454
"16","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
