"","Table 5#5#5# Private Fixed Investment in Equipment and Software ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2009 9:23:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Private fixed investment in equipment and software","A327RC1",5.6,4.2,2.7,1.5,1.5,2.1,2.9,4,4.9,3.5,4,5.3,6.6,4.1,3.7,5,7.3,10.1,15.6,17.6,16,18.2,20.2,20.1,21.9,21.2,24.3,26.8,29,25.4,28.9,30.3,29.6,32.8,35.4,39.9,47.1,54.7,55.6,60.7,68,69.8,72.7,83.2,100,110.1,114.3,128.6,156.5,189.7,219.4,229.6,256.3,252.6,267.1,317,336.7,348.8,355.7,387.1,420.2,425.5,420.3,445.5,495.5,550.9,609.1,657.1,724.6,792.7,878.3,958.3,906.1,850.9,862.3,925.5,1005.4,1082,1115.2,1094.1
"9","2","Nonresidential equipment and software","B010RC1",5.5,4.2,2.6,1.5,1.4,2.1,2.8,3.9,4.8,3.4,3.9,5.2,6.4,4.1,3.7,5,7.3,9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187,216.2,226.2,252.7,248.9,262.9,312.2,331.7,343.3,349.9,381,414,419.5,414.6,439.6,489.4,544.6,602.8,650.8,718.3,786,871,950.5,898.1,842.7,853.8,916.4,995.6,1071.7,1104.8,1084.1
"10","3","  Information processing equipment and software","A679RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4,3.6,4,4.9,5.3,5.7,6.5,7.4,8.5,10.7,11.3,11.9,14.6,16.6,17.3,19.5,23.1,27,28.5,32.7,39.2,48.7,58.5,68.8,81.5,88.3,100.1,121.5,130.3,136.8,141.2,154.9,172.6,177.2,182.9,199.9,217.6,235.2,263,290.1,330.3,366.1,417.1,478.2,452.5,419.8,430.9,455.3,475.3,505.2,537.4,562.9
"11","4","    Computers, software, and communication","W175RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2.6,3.1,3.6,4,4.5,5.3,6.7,7.3,7.9,9.9,11.6,11.8,12.9,14.9,16.8,17.7,20.2,24.9,30.7,38.6,46.6,56.2,61.8,69.8,86,94.5,98.1,104,115.9,128.6,131.5,135.1,148.1,160.9,177.4,204.2,229,268.9,300.9,353.3,411,383.2,346.5,350.3,369.3,380.1,405.9,432.1,450.9
"12","5","      Computers and peripheral equipment","B935RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,44,47.9,52.4,66.1,72.8,81.4,87.9,97.2,103.2,87.6,79.7,77.6,80.2,78.9,84.9,89.2,86.7
"13","6","      Software \1\","B985RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.2,0.2,0.4,0.5,0.7,1,1.2,1.3,1.8,2.3,2.4,2.8,3.2,3.9,4.8,5.2,5.5,6.3,8.1,9.8,11.8,14,16.4,20.4,23.8,25.6,29,34.2,41.9,47.6,53.7,57.9,64.3,68.3,74.6,85.5,107.5,126,157.3,184.5,186.6,183,191.3,205.7,218,229.8,245.6,264.1
"14","7","      Communication equipment \2\","C275RC1",0.4,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0.4,0.3,0.3,0.5,0.5,0.3,0.3,0.6,0.7,0.4,0.7,0.7,0.6,0.7,0.9,1.1,1.2,1,1.2,1.4,1.7,1.5,1.8,2.3,2.7,3,2.9,3,3.5,4,4.2,4.6,5.7,6.5,6.6,6.6,8.1,9,9.3,10.6,13.7,16.8,20.3,24.2,27.2,28.9,29.5,34,37,39.1,39.2,43.7,43.6,45.2,43.7,46.2,48.7,56.8,63.5,70.8,80,87.1,98.7,123.3,109.1,83.7,81.4,83.4,83.2,91.2,97.3,100.2
"15","8","    Medical equipment and instruments","W176RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,0.8,1.1,1.2,1.5,1.6,2,2.4,2.8,3.3,3.6,4.4,4.8,5.2,6.3,8.3,9.1,10.1,10.4,11.1,12.4,13.5,14.5,16.4,17.8,19.9,22.1,21.4,21.8,23.8,26.4,30.3,32.2,35.2,38.5,43.8,47.6,51.1,58.6,60.7,64.3,68.7
"16","9","    Nonmedical instruments","W177RC1",0.1,0.1,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.1,1.3,1.7,1.8,2.1,3.5,4.1,4.4,4.9,5.6,6.1,6.3,7.8,8.3,8.6,8.9,9.2,11.7,12.9,13.4,14.3,14.5,15.4,17,17.9,16.6,17,17.1,18.4,19.3,19.7,19.7,21.8,23.6,25.7,27.9,29.8
