"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"1","[Index numbers, 2005=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 29, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2010 1:05:04 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Government consumption expenditures and gross investment","B822RA3",17.184,17.293,17.451,17.193,17.534,18.378,18.735,19.523,20.081,20.99,21.201,20.75,20.403,20.737,20.339,21.635,23.948,27.241,30.332,32.023,33.015,34.134,34.472,35.09,36.281,37.079,36.631,36.517,35.54,34.282,33.455,33.252,33.212,32.882,33.082,32.365,32.347,33.025,32.713,33.563,34.252,34.039,34.3,34.925,34.535,35.4,35.621,36.381,36.145,36.696,37.158,36.753,36.029,36.322,37.197,37.456,37.946,38.037,38.783,39.635,40.336,40.555,41.478,41.538,41.285,41.233,43.001,42.61,42.768,43.045,43.071,42.947,42.843,43.396,44.897,45.862,46.687,47.514,48.8,49.594,51.699,51.418,51.953,52.307,53.22,53.466,53.578,53.622,53.674,53.45,53.525,52.739,52.455,51.777,52.001,52.002,51.16,50.996,50.964,50.584,50.768,51.083,50.03,50.344,50.839,50.536,49.887,50.254,51.305,51.651,51.728,51.908,52.544,52.14,53.057,53.507,53.64,53.052,52.773,52.732,53.21,53.763,53.861,53.688,53.775,55.227,55.667,56.172,55.667,56.255,56.337,56.704,57.616,57.795,56.998,56.94,57.696,57.825,57.694,58.225,58.167,58.506,58.906,59.923,60.373,60.889,61.946,60.899,61.512,62.838,63.302,64.659,65.4,66.867,68.603,69.013,69.759,71.242,72.854,72.436,72.732,73.192,73.194,74.08,73.721,73.914,73.871,75.372,74.909,76.069,76.786,77.194,78.385,78.501,78.478,79.257,79.579,79.857,79.478,79.144,79.745,79.651,80.06,80.083,79.239,79.18,79.101,79.491,78.48,78.81,80.192,79.5,79.816,80.083,79.907,79.013,79.519,80.661,80.583,81.266,81.411,82.116,82.208,82.344,81.849,83.628,84.402,85.157,85.593,85.95,87.061,88.438,87.714,88.884,88.604,88.874,90.188,92.061,91.893,93.525,94.958,95.87,96.646,97.293,97.091,98.534,98.824,98.895,99.366,99.73,100.094,99.482,99.577,99.685,100.59,100.147,101.147,101.232,101.386,101.67,101.671,102.764,103.757,104.169,104.845,105.782,107.036,107.346,106.639,108.386,109.097,109.051
"10","2","      Consumption expenditures \1\","A955RA3",20.437,20.598,20.729,20.155,19.952,20.899,21.272,21.824,22.274,22.846,22.452,21.861,22.064,22.295,21.354,23.202,25.239,28.045,30.843,31.39,32.949,34.509,34.87,35.398,36.359,36.941,36.477,36.808,35.044,33.803,33.577,33.573,33.5,32.683,33.82,33.276,32.831,33.736,32.723,34.043,34.891,34.891,34.989,35.735,34.823,35.995,35.488,36.151,34.853,35.988,36.655,36.76,35.798,36.257,36.84,37.233,36.802,37.566,38.036,38.582,39.416,39.933,40.799,40.999,40.933,40.995,42.477,42.425,42.52,42.802,42.784,42.581,42.735,43.336,44.679,45.933,46.321,47.84,48.809,49.366,51.632,51.833,52.298,52.847,54.277,54.42,54.66,55.091,54.797,55.466,55.617,55.735,55.008,54.474,54.568,54.635,54.623,54.571,54.499,54.467,54.987,55.304,54.548,54.371,54.389,54.408,54.012,54.251,55.138,55.034,55.45,55.871,56.237,56.719,56.869,56.846,56.665,56.871,56.691,56.971,57.29,57.758,58.22,58.323,58.612,58.984,59.189,59.473,59.811,59.926,59.157,59.679,60.314,61.169,60.732,60.528,61.072,61.772,61.881,62.296,62.693,62.659,63.368,64.135,64.691,65.149,65.912,64.344,64.64,65.964,66.379,67.251,68.09,69.019,70.565,71.235,71.925,73.344,74.392,74.33,74.51,74.636,74.284,75.526,75.666,75.536,75.555,77.172,76.61,77.82,78.223,78.721,79.489,79.652,79.617,80.241,81.06,81.076,80.595,80.201,80.461,80.616,81.397,81.67,81.023,80.663,80.758,81.111,80.797,80.845,81.785,81.216,81.421,81.585,81.706,80.625,80.949,81.96,81.639,82.239,82.167,83.144,83.209,83.815,83.307,84.685,84.727,85.722,86.115,86.184,87.244,88.345,87.378,89.115,88.629,88.913,90.242,91.442,92.271,93.3,94.668,95.678,96.309,97.03,96.883,98.482,98.278,98.459,99.13,99.3,99.847,99.503,99.812,99.71,100.636,99.841,100.997,100.597,101.02,101.306,101.122,101.966,103.032,103.461,104.31,104.755,106.126,106.664,106.321,107.373,107.849,108.095
