"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 26, 2010    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2010 2:07:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Current receipts","W021RC1",10.5,10,8.7,8.2,8.6,9.7,10.5,11.9,14.3,13.9,14.2,16.6,23.8,31.2,47.6,49.4,51.4,50.4,55.4,56.8,53.6,66.1,81.9,86.4,90.8,85.9,96.7,104.2,109.8,108.2,123,134.4,139,150.6,162.2,166.6,180.3,202.8,217.7,252.1,283.5,286.9,303.6,347,390.4,431.8,442.1,505.9,567.3,646.1,728.9,798.7,917.7,939.3,1000.3,1113.5,1214.6,1290.1,1403.2,1502.4,1627.2,1709.3,1759.7,1845.1,1948.2,2091.9,2215.5,2380.4,2557.2,2729.8,2902.5,3132.4,3118.2,2967.9,3043.4,3265.7,3659.3,3995.2,4209.2,4057.6,3745.5
"9","2","Current tax receipts","W054RC1",9.9,9.4,8.2,7.7,8.2,9.3,10,11.2,12.4,11.8,12.1,14.3,21,27.8,43.2,44.3,45.2,43.1,49.2,51.4,47.8,59.8,74.4,78.5,82.6,76.7,86.4,92.8,96.9,95.2,107.1,113.4,117.1,126.1,134.4,137.5,149.5,163.5,173.8,203.1,228.4,229.2,240.3,273.8,299.3,328.1,334.3,383.6,431,484.8,537.9,585.6,663.5,659.5,694.1,762.5,823.9,868.8,965.7,1018.9,1109.2,1161.3,1179.9,1239.7,1317.8,1425.6,1516.7,1641.5,1780,1910.8,2035.8,2202.8,2163.7,2002.1,2047.9,2213.2,2546.8,2807.4,2960.6,2758,2428.2
"10","3","  Personal current taxes","W055RC1",1.7,1.6,1,0.7,0.8,0.9,1.1,1.3,1.9,1.9,1.5,1.7,2.3,4.9,16.7,17.7,19.4,17.2,19.8,19.2,16.7,18.9,27.1,32,33.2,30.2,32.9,36.6,38.9,38.5,42.3,46.1,47.3,51.6,54.6,52.1,57.7,66.4,73,87,104.5,103.1,101.7,123.6,132.4,151,147.6,172.3,197.5,229.4,268.7,298.9,345.2,354.1,352.3,377.4,417.3,437.2,489.1,504.9,566.1,592.7,586.6,610.5,646.5,690.5,743.9,832,926.2,1026.4,1107.5,1232.3,1234.8,1050.4,1000.3,1047.8,1208.6,1352.4,1490.9,1432.4,1102.5
