"","Table 3#6# Contributions for Government Social Insurance        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2010 2:08:21 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Contributions for government social insurance","W782RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.6,5.6,4.6,4.9,5.5,6.7,6.9,7.1,8.1,9.1,10,11.4,11.4,13.9,16.5,17.1,19.2,21.7,22.5,23.5,31.4,35,38.8,44.3,46.6,51.5,59.6,76,85.8,89.9,102,113.9,132.1,153.7,167.2,196.9,210.1,227.2,258.8,282.8,304.9,324.6,363.2,386.9,412.1,432.2,457.1,479.6,510.7,535.5,557.9,590.3,627.8,664.6,709.4,736.9,755.2,782.8,831.7,877.4,926.4,964.2,995.6
"9","2","Employer contributions","B039RC1",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.5,3.5,5.1,3.9,3,3.3,3.4,4.1,4.1,4.2,4.6,5.2,5.7,6.4,6.3,7.9,9.3,9.6,11.2,12.4,12.6,13.1,16.8,18,20,22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,239.7,254.1,264.1,274.8,289.6,307.2,323.3,345.2,358,366.1,382.4,408.1,427.5,446.7,460.8,472.7
"10","3","  Federal social insurance funds","A1580C1",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.5,3.5,5,3.8,2.9,3.2,3.2,3.9,3.9,4,4.3,4.9,5.4,6,6,7.5,8.9,9.2,10.8,12,12.2,12.6,16.3,17.4,19.3,22.1,23.1,25.6,30.2,38.7,43.5,45.4,52.7,59,68.8,79.5,85.8,100.4,106.6,116.8,135.7,144,153.5,161.1,178.5,186.6,198.4,205.9,218.1,228.6,242.7,253.1,264.6,280.4,298.7,315.4,337,347.9,353.8,366.3,388.7,408.2,429.4,444.8,456.3
"11","4","    Old-age, survivors, disability, and hospital insurance","CON1101",NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,1.3,1.7,1.8,1.9,2.5,2.8,3,3.7,3.7,4.6,5.6,5.7,6.2,7.5,7.8,8.3,12.1,13.4,15.2,17.9,18.5,20.6,23.3,30.4,34.6,36.1,40.1,44.4,51.5,60.9,67.2,80.9,86,92.1,106.3,114.3,124.2,131.8,147.8,158.1,170.8,177.8,186,193.6,206.6,217.5,229.3,245.7,264.4,281.4,301.9,312.9,317.4,325,339.8,356,377.4,395,408.2
"12","5","      Old-age, survivors, and disability insurance","L306051",NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,1.3,1.7,1.8,1.9,2.5,2.8,3,3.7,3.7,4.6,5.6,5.7,6.2,7.5,7.8,8.3,11,11.9,13.1,15.6,16.2,18.2,20.6,25.2,29.2,30.5,33.8,37.5,42.9,50.3,55.6,64.9,69.2,73.5,85.7,91.5,98.1,104.1,118.3,126.6,137.3,141,147.4,153.2,161.9,169.9,179,191.5,205.9,218.9,234.4,243.8,248.1,253.8,264.9,277,293.4,306.6,317.6
"13","6","      Hospital insurance","L306061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,2.1,2.3,2.3,2.4,2.7,5.3,5.4,5.6,6.2,6.9,8.6,10.5,11.6,15.9,16.8,18.7,20.6,22.7,26.1,27.7,29.5,31.6,33.5,36.8,38.6,40.3,44.7,47.5,50.3,54.1,58.5,62.5,67.5,69.1,69.3,71.1,74.9,79,84,88.5,90.6
"14","7","    Unemployment insurance","A1581C1",NA,NA,NA,NA,NA,0,0,0.2,0.7,0.9,1,1,1.2,1.3,1.5,1.5,1.4,2.7,2.1,1.6,1.6,1.5,1.8,1.6,1.6,1.5,1.6,1.9,2,2,2.6,2.9,3.2,4.2,4.1,3.9,3.8,3.8,3.4,3.4,3.4,3.7,4,5.9,7,7.2,7.4,10.6,12.3,14.9,15.8,15.7,16.3,17,21,25.4,25.5,24.4,24.2,24.9,22.4,21.3,21.3,25,28,29.3,29.2,28.7,28.1,27.5,27.1,28,27.7,29,33.6,40.3,43.8,42.7,40.5,38.6
"15","8","      State unemployment insurance","CON1201",NA,NA,NA,NA,NA,0,0,0.2,0.6,0.8,0.8,0.8,1,1.1,1.2,1.2,1,0.9,1,1,1,1.2,1.5,1.4,1.3,1.1,1.2,1.4,1.5,1.4,2,2.2,2.4,2.9,3,3,3,3,2.6,2.5,2.5,2.4,2.6,4.1,5.1,5.4,5.2,8.1,9.4,11.5,12.2,11.6,12,12.8,15.5,19.4,19.5,18.2,17.8,18,16.7,15.5,15.5,18.3,21.4,22.9,22.7,22,21.3,20.4,19.8,20.5,20.1,21.4,26,32.5,35.8,34.8,32.5,30.4
"16","9","      Federal unemployment tax","CON1501",NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.9,0.8,0.6,0.6,0.6,0.6,0.6,0.7,0.9,0.9,1.2,1.5,1.3,1.3,1.4,2,2.7,3,3.4,3.6,3.7,4.9,5.5,5.4,5.7,5.9,6.4,5.2,5.2,5.1,5.4,5.3,5.6,5.8,6,6.3,6.6,6.8,7.1,7,6.9,6.8,7,7.2,7.2,7.3,7.5
