"","Table 5#4#4# Price Indexes for Private Fixed Investment in Struc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2010 2:16:05 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Private fixed investment in structures","B349RG3",4.962,4.755,4.334,3.673,3.677,3.842,3.918,4.004,4.484,4.503,4.498,4.609,4.992,5.457,5.926,6.234,6.557,7.24,8.729,9.563,9.634,9.833,10.692,10.986,11.122,11.095,11.329,11.901,12.149,12.045,12.088,12.132,12.114,12.169,12.157,12.286,12.645,13.11,13.547,14.251,15.223,15.963,17.04,18.169,19.714,22.076,24.418,25.815,28.287,31.472,35.081,38.628,42.978,45.937,45.697,46.558,47.73,49.226,50.713,52.658,54.534,56.051,56.935,57.327,59.409,61.518,63.953,65.441,67.473,69.841,72.342,75.424,79.142,81.665,85.301,91.705,100,108.402,112.542,113.49
"9","2","Nonresidential","B009RG3",4.65,4.402,4.027,3.495,3.531,3.543,3.708,3.702,4.206,4.126,4.081,4.147,4.438,4.951,5.381,5.5,5.744,6.433,7.798,8.675,8.645,8.753,9.761,10.021,10.217,10.093,10.295,11.176,11.655,11.468,11.53,11.516,11.446,11.537,11.636,11.801,12.143,12.58,12.973,13.621,14.518,15.473,16.664,17.863,19.247,21.91,24.534,25.741,27.973,30.675,34.238,37.421,42.567,45.927,44.757,45.147,46.219,47.106,47.863,49.895,51.848,53.522,54.491,54.502,56.103,58.089,60.601,62.141,64.516,67.48,69.559,72.298,76.087,79.292,82.174,88.441,100,112.922,121.275,125.207
"10","3","  Commercial and health care","W001RG3",4.624,4.533,3.939,3.233,2.995,3.362,3.342,3.537,3.977,4.029,3.998,4.059,4.368,4.954,5.353,5.507,5.673,6.649,8.835,9.805,9.526,9.491,10.762,11.093,11.099,10.78,10.966,11.91,12.395,12.04,11.934,11.9,11.846,11.973,12.184,12.426,12.815,13.266,13.677,14.355,15.434,16.376,17.798,19.211,20.754,23.059,25.319,26.231,28.01,30.679,34.039,37.846,41.207,43.713,45.079,46.822,48.325,50.009,51.867,53.789,55.707,57.476,58.294,58.686,60.677,63.021,65.546,67.033,69.153,72.381,75.526,78.63,81.437,83.631,85.995,91.404,100,108.496,114.749,119.014
"11","4","    Office \1\","W031RG3",4.537,4.477,3.887,3.181,2.932,3.298,3.277,3.466,3.887,3.944,3.909,3.966,4.27,4.856,5.243,5.366,5.508,6.459,8.574,9.513,9.241,9.21,10.444,10.781,10.775,10.462,10.643,11.559,12.031,11.686,11.587,11.555,11.505,11.643,11.869,12.107,12.487,12.934,13.342,14.007,15.06,15.974,17.376,18.75,20.255,22.507,24.714,25.609,27.318,29.967,33.242,36.995,40.266,42.701,44.024,45.749,47.222,48.873,50.702,52.584,54.448,56.192,56.978,57.357,59.293,61.585,64.062,65.536,68.374,71.868,75.422,78.624,80.997,82.932,85.338,90.62,100,109.856,116.735,121.537
"12","5","    Health care","W032RG3",4.502,4.244,3.703,3.081,2.932,3.241,3.239,3.445,3.948,3.967,3.957,4.042,4.336,4.854,5.257,5.467,5.682,6.648,8.883,9.879,9.606,9.555,10.835,11.126,11.168,10.865,11.047,11.999,12.481,12.128,12.024,12.005,11.963,12.108,12.333,12.588,12.999,13.482,13.904,14.595,15.693,16.674,18.099,19.573,21.146,23.492,25.794,26.708,28.514,31.232,34.662,38.592,42.064,44.691,46.074,47.861,49.406,51.127,53.021,54.981,56.928,58.731,59.573,59.938,61.951,64.312,66.887,68.402,70.34,72.929,76.028,79.415,82.954,84.487,87.059,92.327,100,108.574,113.698,115.525
"13","6","      Hospitals and special care","C311RG3",4.401,4.056,3.544,2.965,2.868,3.124,3.141,3.36,3.913,3.913,3.913,4.012,4.296,4.782,5.182,5.401,5.626,6.576,8.821,9.822,9.554,9.498,10.772,11.05,11.103,10.809,10.987,11.934,12.41,12.062,11.957,11.943,11.905,12.049,12.273,12.526,12.939,13.424,13.843,14.532,15.625,16.608,18.02,19.496,21.062,23.398,25.69,26.597,28.4,31.098,34.518,38.435,41.915,44.564,45.944,47.719,49.261,50.973,52.854,54.805,56.745,58.536,59.38,59.737,61.741,64.087,66.651,68.152,70.347,72.912,76.008,79.395,82.932,84.466,87.036,92.301,100,108.574,113.698,115.525
"14","7","        Hospitals","W033RG3",4.4,4.056,3.544,2.965,2.867,3.124,3.141,3.359,3.913,3.912,3.913,4.012,4.296,4.782,5.182,5.401,5.626,6.576,8.82,9.821,9.553,9.497,10.771,11.049,11.102,10.808,10.986,11.933,12.409,12.066,11.962,11.947,11.909,12.053,12.277,12.531,12.944,13.429,13.848,14.537,15.63,16.614,18.027,19.503,21.07,23.406,25.699,26.607,28.41,31.109,34.53,38.449,41.93,44.58,45.96,47.736,49.279,50.992,52.873,54.824,56.766,58.557,59.402,59.759,61.763,64.111,66.665,68.178,70.331,72.896,75.991,79.377,82.914,84.447,87.017,92.304,100,108.574,113.698,115.525
"15","8","        Special care","W034RG3",4.407,4.062,3.549,2.969,2.872,3.129,3.145,3.364,3.919,3.918,3.919,4.018,4.302,4.789,5.19,5.409,5.634,6.586,8.833,9.835,9.567,9.511,10.787,11.066,11.118,10.824,11.002,11.951,12.427,12.056,11.952,11.937,11.899,12.043,12.267,12.52,12.933,13.418,13.837,14.525,15.617,16.6,18.012,19.487,21.053,23.387,25.678,26.585,28.387,31.084,34.502,38.417,41.896,44.543,45.922,47.697,49.238,50.95,52.83,54.779,56.719,58.509,59.353,59.71,61.713,64.054,66.659,68.127,70.435,73.003,76.103,79.494,83.036,84.571,87.145,92.283,100,108.574,113.698,115.525
