"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2010 2:23:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Consumption of fixed capital","A262RC1",9.7,9.5,8.8,7.7,7.4,7.8,7.8,8.1,9,9.2,9.3,9.7,11.1,13.7,16.5,19.5,21.1,23.1,26.6,28.5,29.2,29.9,33.8,36.3,38.6,40.6,42.8,47.1,50.8,53.3,55.4,56.6,58.2,60.6,63.3,66.4,70.7,76.5,82.9,90.4,99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1760,1847.1
"9","2","Private","A024RC1",8.7,8.5,7.9,6.9,6.5,6.7,6.7,6.9,7.7,7.8,7.8,8.1,9,10.1,10.3,10.7,11,12.3,16.1,18.9,20.5,22,25.2,26.7,28.2,29.5,31.1,34.3,37.2,39.4,41,41.6,42.6,44.1,45.9,48.3,51.9,56.5,61.6,67.4,74.5,81.7,89.5,97.7,109.5,127.8,150.4,165.5,186.1,212,244.5,282.3,323.2,356.4,369.5,387.5,412.8,439.1,464.5,497.1,529.6,560.4,585.4,599.9,626.4,661,704.6,743.4,789.7,841.6,907.2,986.8,1051.6,1094,1135.9,1200.9,1290.8,1391.4,1469.6,1536.2
"10","3","  Domestic business","W276RC1",7.6,7.4,6.9,6,5.7,5.8,5.8,5.9,6.6,6.7,6.7,7,7.7,8.7,8.7,9,9.3,10.3,13.5,15.9,17.3,18.6,21.2,22.4,23.6,24.6,25.8,28.6,31.2,33.1,34.3,34.6,35.4,36.6,38.1,40,42.9,46.9,51.2,56.1,61.9,68.2,74.6,81.2,90.6,106.1,125.8,138.5,155.5,176.4,203.5,235.4,271.2,300.7,311.4,326,348,369.9,390.3,417.6,444.4,469.8,490.6,500.9,521.2,549.4,586,619.2,658.5,702.1,756.8,824.3,876.5,908.5,935.4,978.7,1045.7,1123.3,1188.5,1252.3
"11","4","    Corporate business","A438RC1",5,4.8,4.5,4,3.8,3.9,3.9,4,4.4,4.5,4.5,4.6,5.1,5.8,5.8,6,6.1,6.9,8.9,10.4,11.2,12,13.6,14.5,15.4,16.2,17.1,19.2,21.3,22.7,23.7,24,24.6,25.5,26.7,28.2,30.4,33.4,36.8,40.6,45.1,50,54.8,59.7,66.9,78.8,94.4,104.5,118,134.2,155.1,179.8,208.1,231.4,240.4,252.9,271.7,289.8,306.5,328.8,350.8,373,392.1,402,420.1,444.9,476.8,506,540.9,578.3,625.8,685.1,730.3,755.9,775.5,809.2,862.9,925.9,981,1036.8
"12","5","      Financial","B580RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.5,1.6,1.9,2.2,2.5,2.9,3.2,3.8,4.7,5.8,6.8,7.9,9.1,10.9,13.2,15.7,18.5,21.1,24.1,27.7,31.8,36.4,41.5,46.9,52,56,57.9,61,64.8,68.6,70.9,74,78.5,86.5,95,98.3,101.4,106.5,113.6,119.9,124.9,131.5,138.4
"13","6","      Nonfinancial","B456RC1",4.8,4.6,4.3,3.8,3.6,3.7,3.8,3.8,4.2,4.3,4.3,4.4,4.9,5.5,5.6,5.7,5.9,6.7,8.5,10,10.8,11.5,13.1,13.9,14.8,15.6,16.5,18.5,20.5,21.8,22.7,23.1,23.7,24.5,25.6,27,29.1,31.9,35.2,38.7,42.9,47.5,52,56.5,63.1,74.2,88.6,97.8,110.1,125.1,144.3,166.7,192.4,212.8,219.3,228.8,244,258,270,287.3,303.9,321,336.1,344.1,359,380.1,408.3,435.1,466.9,499.9,539.3,590.1,632,654.5,669,695.6,743,800.9,849.4,898.4
"14","7","    Noncorporate business","W277RC1",2.6,2.6,2.4,2.1,1.9,1.9,1.9,2,2.2,2.3,2.2,2.3,2.6,2.9,2.9,3.1,3.1,3.4,4.6,5.5,6.1,6.6,7.5,8,8.2,8.5,8.7,9.4,9.9,10.4,10.6,10.6,10.8,11.1,11.4,11.8,12.5,13.5,14.4,15.5,16.8,18.2,19.8,21.5,23.7,27.3,31.3,33.9,37.5,42.2,48.4,55.6,63.1,69.3,71,73,76.3,80.1,83.9,88.8,93.6,96.8,98.5,98.9,101.1,104.6,109.2,113.2,117.6,123.8,131,139.2,146.3,152.6,159.9,169.6,182.9,197.4,207.5,215.5
"15","8","      Sole proprietorships and partnerships","A1615C1",2.2,2.2,2,1.8,1.6,1.6,1.6,1.6,1.8,1.9,1.8,1.9,2.1,2.4,2.3,2.4,2.5,2.7,3.7,4.5,5.1,5.5,6.3,6.7,6.9,7.1,7.4,7.9,8.4,8.8,9.1,8.9,9,9.1,9.3,9.7,10.3,11,11.8,12.7,13.7,14.9,16.2,17.6,19.4,22.3,25.8,27.9,30.8,34.6,39.8,45.8,52.3,57.9,59.2,60.9,63.6,66.6,69.6,73.7,77.8,80.4,81.7,81.8,83.4,86.2,90.1,93.5,97.3,102.7,109,116,121.9,127.3,133.3,141,152.2,164.5,173.6,181.6
"16","9","        Farm","B1616C1",0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.9,1.2,1.5,1.8,2,2.3,2.5,2.6,2.6,2.6,2.8,2.8,3,3,3,3,3,3.1,3.2,3.4,3.7,4,4.2,4.5,4.8,5.1,5.5,6,7,8.3,9.3,10.3,11.5,13.1,15,16.5,17.5,17.4,17.1,16.6,16.3,15.9,15.7,16,16.3,16.5,16.4,16.4,16.7,17.2,17.7,18,18.7,19.3,19.6,20.1,20.7,21.5,22.7,24.5,26.2,27.4,28.8
