"","Table 7#4#4# Price Indexes for Housing Sector Output, Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2010 9:32:01 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","Housing output \1\","A2007G3",13.147,12.772,12.046,10.783,9.678,8.823,8.864,9.065,9.488,9.788,9.781,9.815,9.982,10.234,10.296,10.383,10.509,10.752,11.158,11.846,12.237,12.656,13.207,13.77,14.474,14.913,15.128,15.384,15.669,15.982,16.251,16.51,16.739,16.944,17.152,17.327,17.499,17.763,18.105,18.55,19.162,19.982,20.91,21.664,22.585,23.43,24.947,26.579,28.819,30.796,33.173,36.22,39.91,43.194,45.791,48.176,51.051,54.074,56.532,59.069,61.522,64.415,66.449,68.269,70.13,72.101,74.329,76.582,78.73,81.222,83.474,86.061,89.456,93.044,95.384,97.607,100,103.599,107.438,110.442
"9","2","  Nonfarm housing","A2008G3",13.68,13.314,12.607,11.319,10.129,9.12,9.109,9.324,9.753,10.074,10.075,10.116,10.287,10.514,10.524,10.545,10.588,10.652,10.995,11.723,12.238,12.667,13.182,13.717,14.459,14.96,15.174,15.452,15.731,16.031,16.25,16.497,16.704,16.902,17.09,17.251,17.42,17.666,17.985,18.425,19.009,19.802,20.712,21.438,22.368,23.207,24.753,26.402,28.651,30.62,33.002,36.068,39.792,43.155,45.787,48.202,51.129,54.211,56.699,59.215,61.651,64.535,66.547,68.341,70.129,72.029,74.245,76.493,78.705,81.217,83.469,86.057,89.454,93.04,95.381,97.605,100,103.491,107.18,110.126
"10","3","    Owner-occupied","DOWNRG3",13.698,13.332,12.624,11.334,9.768,9.145,9.124,9.339,9.768,10.09,10.091,10.133,10.304,10.542,10.541,10.562,10.605,10.67,11.013,11.742,12.258,12.687,13.203,13.739,14.49,14.984,15.199,15.478,15.757,16.058,16.276,16.526,16.731,16.926,17.114,17.279,17.445,17.69,18.016,18.456,19.039,19.832,20.746,21.474,22.401,23.246,24.792,26.442,28.697,30.671,33.058,36.129,39.855,43.243,45.862,48.216,51.051,54.085,56.586,59.175,61.638,64.595,66.474,68.264,70.09,72.063,74.448,76.811,79.049,81.61,83.834,86.328,89.639,93.285,95.563,97.74,100,103.473,106.976,109.668
"11","4","    Tenant-occupied","DTENRG3",13.581,13.22,12.516,11.239,10.495,9.047,9.047,9.26,9.686,10.005,10.005,10.047,10.217,10.43,10.452,10.473,10.516,10.58,10.92,11.644,12.155,12.581,13.092,13.624,14.347,14.857,15.071,15.347,15.624,15.922,16.141,16.38,16.592,16.797,16.984,17.134,17.31,17.556,17.859,18.299,18.882,19.675,20.571,21.29,22.225,23.047,24.589,26.232,28.46,30.408,32.773,35.816,39.53,42.815,45.475,48.052,51.218,54.415,56.863,59.18,61.539,64.216,66.589,68.388,70.065,71.745,73.453,75.352,77.479,79.835,82.171,85.065,88.746,92.125,94.689,97.085,100,103.562,107.957,111.841
"12","5","  Farm housing","DFARRG3",10.106,9.613,8.651,7.463,6.944,7.287,7.781,7.889,8.316,8.458,8.383,8.341,8.5,9.052,9.68,10.525,11.629,14.072,15.36,15.62,14.331,14.674,15.896,17.017,17.159,16.532,16.791,16.649,17.1,17.77,19.292,19.883,20.726,21.153,21.999,22.627,22.89,23.828,25,25.665,27.409,29.339,31.124,33.116,33.728,34.885,35.018,35.871,37.681,40.083,42.187,44.134,45.743,44.312,44.723,45.157,44.586,43.549,43.964,47.95,51.618,55.163,58.912,62.766,70.504,78.489,81.732,84.399,80.904,81.601,83.846,86.338,89.621,93.281,95.572,97.756,100,111.192,125.862,133.103
"13","6","Less: Intermediate goods and services consumed","B1027G3",12.827,12.453,11.784,10.558,9.499,8.609,8.625,8.847,9.261,9.533,9.545,9.605,9.77,9.989,9.944,9.951,10.038,10.546,11.016,11.748,12.181,12.575,13.044,13.492,14.131,14.493,14.657,14.873,15.069,15.302,15.468,15.613,15.727,15.842,15.989,16.146,16.299,16.492,16.818,17.388,18.019,18.878,19.667,20.483,21.473,22.386,23.863,25.576,28.004,31.087,34.413,37.984,41.871,44.048,46.112,48.616,50.501,53.193,55.241,57.139,58.822,60.378,63.115,63.965,65.166,67.087,68.861,70.613,73.549,75.031,78.521,83.074,84.936,88.095,89.976,95.892,100,106.223,113.235,97.004
"14","7","Equals: Gross housing value added","A2009G3",13.312,12.934,12.192,10.912,9.79,8.934,8.98,9.179,9.607,9.914,9.904,9.933,10.102,10.362,10.443,10.546,10.679,10.871,11.263,11.943,12.326,12.754,13.33,13.927,14.653,15.114,15.342,15.61,15.916,16.249,16.541,16.824,17.076,17.297,17.518,17.698,17.874,18.153,18.501,18.929,19.543,20.362,21.325,22.072,22.986,23.822,25.357,26.981,29.19,30.91,33.068,36.009,39.674,43.178,45.877,48.247,51.316,54.412,56.96,59.634,62.254,65.433,67.332,69.346,71.343,73.331,75.656,78.015,80.012,82.724,84.718,86.918,90.64,94.33,96.794,98.047,100,102.932,106.039,113.212
"15","8","          Nonfarm housing","B499RG3",13.901,13.534,12.812,11.506,10.289,9.262,9.249,9.462,9.896,10.228,10.226,10.264,10.437,10.668,10.693,10.722,10.763,10.747,11.064,11.791,12.319,12.759,13.294,13.861,14.632,15.165,15.394,15.687,15.989,16.307,16.544,16.814,17.043,17.258,17.457,17.622,17.795,18.054,18.378,18.8,19.383,20.173,21.116,21.833,22.756,23.585,25.154,26.797,29.016,30.722,32.881,35.841,39.544,43.138,45.876,48.278,51.404,54.563,57.142,59.797,62.402,65.576,67.449,69.438,71.36,73.271,75.585,77.941,80.004,82.74,84.731,86.927,90.655,94.345,96.811,98.052,100,102.805,105.741,112.913
