"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2010 9:32:07 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Capital consumption adjustment \1\","Y0004C1",-1.3,-1,-0.6,-0.3,-0.3,-0.5,-0.5,-0.6,-1.1,-1.2,-1.1,-1.1,-1.2,-1.2,-0.7,-0.1,0,-2.4,-3.6,-4.1,-3.8,-3.6,-4.1,-3.6,-2.7,-1.7,-0.2,-0.7,-1,-1.5,-0.9,0.5,1.2,4.3,5.3,6.1,6.4,6.5,6.6,6.5,6.9,5.7,4.8,7.1,6.2,1.5,-7.3,-10,-9.3,-10.9,-13.8,-18.5,-1.9,8.7,36.5,67.5,97.6,88.6,84.9,83.7,76.9,51.4,39.5,40.4,46.2,55.7,65.1,78.2,98.7,108.5,126.9,121,142.3,202.4,189.9,160.1,-80.1,-95.6,-98.8,87.8
"9","2","    For consistent accounting at historical cost","A1400C1",-0.5,-0.6,-0.5,-0.6,-0.7,-0.6,-0.5,-0.4,-0.5,-0.5,-0.4,-0.4,0,0.9,1.4,2.3,2.4,0.2,0.9,1.3,1.6,1.7,2.5,3.1,3.9,4.5,5.9,6.7,7.4,6.7,7.5,8.3,8.3,11,11.7,12.4,12.9,13.4,14.4,15.6,17.6,18.5,19.9,23.6,25,28.4,32,33.8,40.7,46.5,53.9,62.9,95.5,113.4,132.8,157.5,184.1,174.7,169.9,174.9,172.4,150.3,141,135.9,140.7,150.6,163.2,171.2,187.3,190.2,207.1,207.8,232.3,294.3,287.3,276.1,69.1,88.4,98.4,300.1
"10","3","    For current-cost valuation","A1401C1",-0.8,-0.5,-0.1,0.4,0.4,0,-0.1,-0.1,-0.7,-0.7,-0.6,-0.8,-1.2,-2.1,-2.2,-2.4,-2.4,-2.7,-4.6,-5.4,-5.4,-5.4,-6.6,-6.7,-6.5,-6.2,-6.1,-7.4,-8.3,-8.3,-8.4,-7.8,-7.1,-6.8,-6.4,-6.3,-6.5,-6.9,-7.8,-9.2,-10.8,-12.8,-15,-16.5,-18.8,-27,-39.3,-43.8,-50.1,-57.5,-67.7,-81.4,-97.4,-104.7,-96.3,-90,-86.5,-86.1,-85,-91.2,-95.5,-98.9,-101.5,-95.5,-94.5,-95,-98.1,-93,-88.6,-81.7,-80.2,-86.8,-90,-91.9,-97.4,-116,-149.2,-184,-197.2,-212.3
"11","4","Domestic corporate business","A2201C1",-0.4,-0.2,0.1,0.2,0.1,-0.1,-0.1,-0.1,-0.6,-0.6,-0.5,-0.6,-0.6,-0.4,0,0.6,0.7,-1.7,-2.6,-2.8,-2.8,-2.6,-2.8,-2.4,-1.6,-0.7,0.9,0.2,0.1,-0.3,0.3,1.6,2.3,5.3,6.2,6.9,7.6,8,8.2,8.5,9,8.1,7.8,9.8,9.1,5.6,-1.7,-4,-3,-4,-6.6,-10,4.2,14.6,33.3,54,75.1,61.1,61,58.9,51.5,35.7,27,24.6,28.7,41.6,50.2,57.7,69,73.8,79.7,63.6,63.4,109.4,85.6,51.8,-153.4,-176.4,-188.7,-64.1
"12","5","    For consistent accounting at historical cost","A1402C1",0.1,0.1,0.1,-0.1,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,-0.1,0.2,1,1.4,2.1,2.2,0,0.3,0.6,0.7,0.8,1.5,2,2.7,3.4,4.9,5.3,5.9,5.5,6.3,7.1,7.4,10.1,10.7,11.3,12.1,12.7,13.5,14.8,16.4,17.1,18.4,21.3,22.3,24.8,27.1,28.2,33.9,38,42.8,49.5,75.7,91.3,102.8,118.1,136.3,121.6,120.3,123.3,119.1,106.2,99.7,92,94.7,107.5,118.3,120.8,127.6,125.2,128.7,117.6,119.1,166.2,146.1,126.3,-52.2,-47.1,-49.1,89.9
"13","6","    For current-cost valuation","A1403C1",-0.6,-0.3,-0.1,0.2,0.2,0,-0.1,-0.1,-0.5,-0.5,-0.4,-0.5,-0.8,-1.4,-1.4,-1.5,-1.5,-1.7,-2.9,-3.5,-3.5,-3.5,-4.3,-4.3,-4.3,-4.1,-4.1,-5.1,-5.8,-5.8,-5.9,-5.5,-5,-4.7,-4.5,-4.4,-4.5,-4.7,-5.4,-6.3,-7.4,-9,-10.6,-11.5,-13.2,-19.2,-28.8,-32.2,-36.8,-42,-49.4,-59.4,-71.6,-76.7,-69.6,-64.1,-61.2,-60.5,-59.3,-64.4,-67.7,-70.6,-72.7,-67.4,-66,-65.9,-68.1,-63.1,-58.6,-51.4,-49,-54,-55.7,-56.8,-60.5,-74.5,-101.2,-129.2,-139.6,-154.1
"14","7","  Financial","B393RC1",-0.1,-0.1,-0.1,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.2,-0.1,-0.1,-0.2,-0.3,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.1,-0.2,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.2,-0.2,-0.1,0.2,0,-0.5,-0.9,-1.1,-0.8,-1.4,-2.8,-2.3,-3.1,-2,-2.2,-1.1,-1.6,-1.6,-3.4,-5.3,-10.7,-12.6,-15.7,-14.2,-12.4,-7.5,-5.4,3.7,6.3,10.8,11.7,16.4,21.9,14.1,2,-24.6,-20.4,-20.8,-7.3
