"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 27, 2010      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2010 11:07:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","      National income without capital consumption adjustment","A422RC1","7,767,106.0","8,231,037.0","8,817,910.0","9,042,924.0","9,206,148.0","9,650,299.0","10,373,937.0","11,353,903.0","12,126,858.0","12,546,972.0","12,547,352.0","12,268,042.0"
"20","2","Domestic industries","A423RC1","7,749,789.0","8,203,235.0","8,780,165.0","8,991,015.0","9,157,038.0","9,581,609.0","10,282,728.0","11,256,755.0","12,054,442.0","12,431,253.0","12,405,445.0","12,163,093.0"
"21","3","  Private industries","A736RC1","6,829,774.0","7,236,560.0","7,762,367.0","7,920,251.0","8,015,005.0","8,364,349.0","9,006,941.0","9,921,418.0","10,655,919.0","10,959,307.0","10,862,971.0","10,565,684.0"
"22","4","    Agriculture, forestry, fishing, and hunting","N5004C1","74,606.0","69,355.0","71,373.0","72,595.0","67,573.0","83,333.0","104,121.0","92,782.0","91,931.0","109,692.0","116,593.0","96,619.0"
"23","5","    Mining","N5005C1","72,420.0","68,433.0","92,466.0","99,336.0","81,208.0","103,268.0","124,985.0","163,113.0","198,849.0","194,680.0","231,626.0","189,126.0"
"24","6","    Utilities","N5006C1","128,872.0","135,581.0","136,168.0","140,011.0","134,447.0","136,800.0","149,137.0","161,264.0","196,462.0","196,827.0","191,773.0","206,389.0"
"25","7","    Construction","N5007C1","385,269.0","433,498.0","477,978.0","509,311.0","514,248.0","534,767.0","583,316.0","657,025.0","701,807.0","693,692.0","626,346.0","550,964.0"
"26","8","    Manufacturing","N5008C1","1,097,442.0","1,137,109.0","1,194,602.0","1,072,126.0","1,038,091.0","1,074,418.0","1,171,639.0","1,304,792.0","1,400,877.0","1,424,495.0","1,328,026.0","1,197,598.0"
"27","9","      Durable goods","N5009C1","669,177.0","689,036.0","723,751.0","606,038.0","595,827.0","613,850.0","659,607.0","744,002.0","791,347.0","806,497.0","742,725.0","655,738.0"
"28","10","      Nondurable goods","N5010C1","428,267.0","448,073.0","470,851.0","466,088.0","442,264.0","460,568.0","512,032.0","560,790.0","609,531.0","617,999.0","585,301.0","541,862.0"
"29","11","    Wholesale trade","N5011C1","513,481.0","532,770.0","570,834.0","563,588.0","561,928.0","582,349.0","634,315.0","688,364.0","741,205.0","770,688.0","753,584.0","728,447.0"
"30","12","    Retail trade","N5012C1","613,565.0","641,695.0","674,106.0","699,629.0","723,220.0","759,791.0","789,218.0","859,619.0","903,825.0","913,976.0","861,199.0","839,386.0"
"31","13","    Transportation and warehousing","N5013C1","249,719.0","257,560.0","272,668.0","266,471.0","262,649.0","275,921.0","301,320.0","332,911.0","360,748.0","362,563.0","338,494.0","313,189.0"
"32","14","    Information","N5014C1","270,000.0","294,606.0","295,975.0","296,910.0","299,720.0","309,788.0","357,595.0","408,061.0","424,494.0","445,568.0","428,046.0","423,684.0"
"33","15","    Finance, insurance, real estate, rental, and leasing","N5015C1","1,357,915.0","1,422,920.0","1,539,333.0","1,655,330.0","1,643,612.0","1,682,137.0","1,785,161.0","1,998,487.0","2,140,831.0","2,192,352.0","2,239,942.0","2,237,319.0"
"34","16","    Professional and business services \1\","N5016C1","924,378.0","1,014,581.0","1,120,651.0","1,171,285.0","1,212,479.0","1,272,818.0","1,349,225.0","1,490,310.0","1,623,186.0","1,691,118.0","1,730,937.0","1,723,633.0"
"35","17","    Educational services, health care, and social assistance","N5017C1","607,535.0","647,938.0","692,167.0","752,962.0","817,376.0","873,466.0","937,670.0","993,518.0","1,059,360.0","1,115,111.0","1,167,903.0","1,224,291.0"
"36","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1","288,799.0","317,552.0","339,436.0","349,249.0","362,789.0","377,020.0","406,113.0","434,842.0","460,642.0","482,170.0","475,024.0","468,013.0"
"37","19","    Other services, except government","N5019C1","245,691.0","262,869.0","284,506.0","271,440.0","295,657.0","298,468.0","313,136.0","336,338.0","351,713.0","366,371.0","373,476.0","367,034.0"
"38","20","  Government","B436RC1","920,015.0","966,675.0","1,017,798.0","1,070,764.0","1,142,033.0","1,217,260.0","1,275,787.0","1,335,337.0","1,398,523.0","1,471,946.0","1,542,474.0","1,597,409.0"
"39","21","Rest of the world","A192RC1","17,317.0","27,802.0","37,745.0","51,909.0","49,110.0","68,690.0","91,209.0","97,148.0","72,416.0","115,719.0","141,907.0","104,949.0"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
