"","Table 2#3#1# Percent Change From Preceding Period in Real Person","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 25, 2010     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2010 9:02:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Personal consumption expenditures","DPCERL1",-5.4,-3.1,-9,-2.2,7.1,6.1,10.2,3.7,-1.6,5.6,5.2,7.1,-2.4,2.8,2.8,6.2,12.4,1.9,2.3,2.8,6.4,1.6,3.2,4.8,2.1,7.4,2.9,2.5,0.9,5.7,2.7,2.1,4.9,4.1,6,6.3,5.7,3,5.8,3.7,2.3,3.8,6.2,5,-0.8,2.3,5.6,4.2,4.4,2.4,-0.4,1.5,1.4,5.7,5.3,5.2,4.1,3.1,4,2.8,2,0.1,3.4,3.6,3.8,2.7,3.5,3.7,5.2,5.5,5.1,2.7,2.7,2.8,3.5,3.4,2.9,2.6,-0.2,-0.6
"9","2","Goods","DGDSRL1",-7.9,-3.6,-11.7,-0.7,9.1,8.2,13.3,3,-2.2,6.9,6.2,7.9,-7.7,-1,0.8,6.8,18.5,2.9,2,3,7.7,-1.2,2.2,5.2,1.1,9.2,1.5,1.7,-1,6.3,1.8,0.6,5.1,4,6,7.1,6.3,2,6.2,3.1,0.8,4.2,6.5,5.2,-3.6,0.7,7,4.3,4.1,1.6,-2.5,1.2,0.7,6.4,7.2,5.3,5.6,1.8,3.7,2.5,0.6,-2,3.2,4.2,5.3,3,4.5,4.8,6.8,8,5.3,3.1,4.1,4.6,4.4,4,3.3,3.1,-2.1,-1.9
"10","3","  Durable goods","DDURRL1",-17.2,-13.6,-24,-2.6,14.4,21,22.2,5.2,-17.1,18.5,14.5,15.4,-36.5,-10.2,-7.8,11.1,80.6,17.3,6.6,8.1,21.2,-8.3,-2.2,11.7,-0.4,21.3,-3.7,0.9,-7.6,11.8,2,-3.4,11.4,9.2,9.3,12.4,8.3,1.5,11.1,3.7,-2.6,10,12.4,10.5,-6.4,0.2,12.5,8.8,5.2,-0.5,-8,1,-0.2,14.3,14.3,10,9.6,2,5.7,2.2,-0.4,-5.4,5.7,7.5,8,3.9,7.5,8.2,12.2,13,8.8,5.4,7.6,6,6.6,5.2,4.1,4.3,-4.5,-3.9
