"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"1","[Millions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 28, 2010     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2010 9:53:40 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Manufacturing and trade industries","KPMT0",806958,846141,893140,919657,906606,919205,936477,971987,1013268,1041901,1046022,1012423,930953
"9","2","Manufacturing industries","KP300",365134,377074,389133,393760,371853,369801,370586,378381,395247,399957,390390,367824,324453
"10","3","  Durable goods manufacturing industries","KP30D0",182707,192166,202617,206114,190058,186888,188663,192700,202087,207093,203577,191509,162287
"11","4","    Wood product manufacturing","KP3210",8262,8498,8914,8748,8215,8470,8477,8772,9351,9438,8589,8094,7792
"12","5","    Nonmetallic mineral product manufacturing","KP3270",8534,9009,9145,9125,8813,8774,8882,9110,9586,9789,9043,8064,6541
"13","6","    Primary metal manufacturing","KP3310",17455,17816,17595,16927,15522,15628,15148,16443,16986,16783,16402,15595,12388
"14","7","    Fabricated metal product manufacturing","KP3320",23706,24525,24728,25453,23841,23140,22899,22839,24152,25380,25020,23467,20524
"15","8","    Machinery manufacturing","KP3330",25290,25861,25264,26364,23902,22734,22747,23432,25257,26379,25974,26027,20208
"16","9","    Computer and electronic product manufacturing","KP3340",25742,27823,31094,35162,30704,26594,27524,29619,31050,33046,33878,34273,31446
"17","10","    Electrical equipment, appliance, and component manufacturing","KP3350",9917,10296,10535,11080,10106,9152,8939,9113,9347,9350,9505,8960,7247
"18","11","    Transportation equipment manufacturing","KP3360",50092,53326,58838,55055,51704,54967,56264,55456,57432,57642,56594,49515,41441
"19","12","      Motor vehicle and parts manufacturing","KP3MV0",35021,36552,41488,39061,35610,39588,41518,40953,41782,41782,39841,31746,23334
"20","13","      Other transportation equipment manufacturing","KP3OT0",15240,17093,17494,16090,16327,15445,14734,14491,15650,15857,16689,17495,17611
"21","14","    Furniture and related product manufacturing","KP3370",6075,6502,6700,6797,6476,6736,6627,6749,7024,7028,6544,5805,4542
"22","15","    Miscellaneous durable goods manufacturing","KP3390",9263,9703,9922,10381,10294,10971,11144,11166,11904,12307,12160,11960,10983
"23","16","  Nondurable goods manufacturing industries","KP30N0",183833,185367,185828,186717,181671,183129,181958,185709,193161,192904,186922,176388,161774
"24","17","    Food manufacturing","KP3110",39675,41177,41417,41687,41926,42837,43493,43015,44400,44659,43958,42575,43236
"25","18","    Beverage and tobacco product manufacturing","KP3120",11539,11521,10595,10566,10550,9141,9595,9820,10333,10231,10523,10498,9796
"26","19","    Textile mills","KP3130",4798,4716,4606,4412,3910,3969,3728,3523,3533,3121,2902,2553,2049
"27","20","    Textile product mills","KP3140",2818,2811,2959,3001,2827,2832,2743,2904,2921,2695,2436,2091,1628
"28","21","    Apparel manufacturing","KP3150",5706,5423,5181,4982,4517,3495,3222,2731,2621,2532,2449,2524,2073
"29","22","    Leather and allied product manufacturing","KP3160",975,920,872,857,765,510,491,485,517,495,507,448,390
"30","23","    Paper manufacturing","KP3220",14546,14663,14840,14547,13711,13824,13510,13512,13515,13495,12966,12411,11244
"31","24","    Printing and related support activities","KP3230",9042,9121,9170,9179,8746,8295,7998,7947,8083,8111,8149,7601,6918
"32","25","    Petroleum and coal product manufacturing","KP3240",34708,34768,35247,34676,34998,36487,33829,36500,39564,38711,35937,33745,30393
"33","26","    Chemical manufacturing","KP3250",43418,42959,43126,44568,42970,45513,46277,48716,50956,52128,50847,46807,41130
"34","27","    Plastics and rubber product manufacturing","KP3260",15226,15747,16474,16699,15858,16245,16218,16373,16719,16772,16592,15544,13570
"35","28","Merchant wholesale industries","KP42W0",209829,224691,242820,255711,256425,263512,268762,284724,298380,311555,317794,316833,291256
