"","Table 3#15#3# Real Government Consumption Expenditures and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 13, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/28/2010 4:04:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Government","B822RA3",53.347,52.059,50.926,50.556,50.379,51.648,52.812,53.049,53.63,55.21,56.241,57.337,57.86,58.876,61.027,63.078,67.471,71.573,73.3,74.22,76.24,78.655,79.514,79.885,79.253,79.245,79.705,80.507,82.02,83.759,86.761,88.519,91.917,96.192,98.336,99.668,100,101.359,102.713,105.605,107.287
"9","2","General public service","W575RA3",34.436,36.069,39.169,42.18,44.784,48.924,52.144,51.999,53.464,53.083,53.212,53.197,50.765,52.174,53.924,54.851,61.814,71.063,70.293,69.559,70.559,73.957,74.987,77.634,76.884,77.087,78.313,76.637,80.342,85.07,89.402,89.225,93.918,99.506,98.457,100.591,100,100.504,100.664,101.686,104.558
"10","3","National defense","B824RA3",85.556,77.8,68.981,63.588,60.061,59.595,59.03,58.828,59.511,60.019,61.845,64.541,68.628,73.814,79.11,82.971,90.002,95.766,100.301,99.826,99.335,99.305,98.214,93.351,88.401,84.072,80.936,79.856,77.618,75.978,77.386,76.986,79.908,85.782,93.243,98.535,100,101.588,103.867,111.653,117.648
"11","4","Public order and safety","W579RA3",27.417,28.992,30.839,32.438,33.653,35.366,36.773,37.659,38.047,40.202,41.766,42.636,43.371,45.536,45.97,47.454,49.918,52.714,54.951,57.674,61.062,63.897,66.455,68.398,71.597,73.832,76.602,80.009,82.721,86.159,89.733,92.078,95.668,98.943,98.489,98.94,100,101.975,105.617,109.197,109.93
"12","5","Economic affairs","W584RA3",64.378,61.926,61.978,62.229,60.702,59.908,60.851,61.043,62.458,68.291,70.672,71.723,71.814,68.256,70.5,71.398,76.662,79.286,77.771,75.272,79.283,83.906,83.893,87.369,88.101,88.387,86.937,87.358,89.486,90.441,94.94,98.278,101.16,105.108,105.242,103.202,100,99.838,100.048,101.035,103.704
"13","6","  Transportation","W589RA3",62.259,61.921,61.372,61.286,60.248,58.175,58.05,57.503,57.876,61.818,65.361,64.517,60.629,58.628,61.362,66.564,70.169,71.971,72.384,74.045,74.867,78.467,79.88,81.231,83.845,86.585,84.502,85.237,87.759,90.19,94.131,96.889,101.767,105.429,106.89,104.086,100,98.609,96.096,96.727,98.514
"14","7","  Space","W595RA3",110.061,97.395,89.461,82.315,73.027,74.84,74.343,71.564,69.854,67.86,67.909,71.735,72.521,70.744,77.05,76.649,79.217,76.015,81.825,90.719,104.187,116.512,118.16,116.883,114.656,107.736,106.002,111.668,111.781,105.432,101.242,100.366,102.177,98.571,99.425,103.027,100,97.63,107.042,114.231,119.719
"15","8","  Other economic affairs","W596RA3",59.412,55.309,58.043,60.387,59.525,60.681,64.076,66.297,70.287,81.166,81.941,85.947,93.499,86.52,86.98,79.937,88.876,94.214,87.546,74.687,83.064,88.138,85.025,93.524,91.273,88.35,88.141,86.964,88.716,88.175,95.368,100.616,99.723,105.595,102.983,101.453,100,102.795,107.454,108.254,112.496
"16","9","Housing and community services","W597RA3",63.028,63.984,66.415,61.496,64.219,67.605,67.996,67.132,61.797,67.699,67.908,73.113,67.457,64.04,59.61,64.224,68.012,75.612,81.443,82.751,83.349,88.697,91.927,91.379,87.519,80.607,81.71,86.36,89.039,89.882,93.017,84.471,93.509,100.903,102.84,99.981,100,110.915,108.546,105.931,100.901
"17","10","Health","W598RA3",33.686,36.282,37.516,39.485,40.689,43.104,44.425,44.436,44.753,45.732,45.879,49.175,48.929,49.109,49.75,52.6,54.435,55.938,59.315,62.665,67.18,73.015,76.748,79.449,79.892,80.188,78.041,77.882,76.171,76.223,78.314,79.816,80.97,89.682,96.092,95.554,100,97.863,102.492,105.985,103.906
"18","11","Recreation and culture","W599RA3",42.498,43.705,44.452,45.089,47.091,52.169,56.95,56.387,55.378,58.638,58.847,57.364,55.078,55.06,54.12,55.569,59.395,62.784,63.427,64.744,68.235,72.109,73.599,74.194,73.751,74.937,77.499,80.992,85.588,88.473,89.726,96.038,101.101,106.21,102.184,100.264,100,97.398,100.782,100.097,98.433
"19","12","Education","W600RA3",42.108,43.712,45.239,46.564,48.029,49.875,52.135,52.643,52.74,53.532,53.563,52.891,52.196,51.939,52.808,54.078,56.501,59.497,60.377,63.627,66.136,68.067,69.391,70.572,71.494,74.048,77.73,80.034,83.491,86.807,90.025,93.604,96.853,98.241,98.775,99.868,100,101.43,102.989,103.936,103.141
"20","13","Income security","W605RA3",24.954,27.198,29.223,33.935,36.165,42.357,42.437,45.093,48.257,48.147,48.986,49.54,47.626,46.741,48.479,49.771,50.673,50.885,52.104,52.906,55.89,59.365,62.126,67.023,67.908,71.877,72.914,73.274,76.827,82.406,85.62,89.023,94.609,102.728,101.27,97.417,100,107.012,97.477,96.667,94.988
"21","14","      Federal","B823RA3",70.969,65.738,60.677,58.197,55.748,56.243,56.426,56.453,57.647,59.092,60.519,63.39,66.42,68.989,73.561,75.829,81.771,86.407,89.477,88.01,89.379,91.185,91,89.351,85.842,82.555,80.353,79.423,78.641,77.758,79.27,79.661,82.901,88.953,94.839,98.71,100,102.127,103.399,110.9,117.266
