"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2010 9:30:25 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Gross domestic product","B191RG3",23.11,24.328,25.545,26.647,28.124,30.669,33.577,35.505,37.764,40.413,43.773,47.776,52.281,55.467,57.655,59.823,61.633,63.003,64.763,66.99,69.52,72.213,74.762,76.537,78.222,79.867,81.533,83.083,84.554,85.507,86.766,88.648,90.654,92.113,94.099,96.769,100,103.263,106.301,108.598,109.618
"9","2","Personal consumption expenditures","DPCERG3",22.616,23.674,24.68,25.525,26.901,29.703,32.184,33.95,36.155,38.687,42.118,46.641,50.81,53.615,55.923,58.038,59.938,61.399,63.589,66.121,68.994,72.147,74.755,76.954,78.643,80.265,82.041,83.826,85.395,86.207,87.596,89.777,91.488,92.736,94.622,97.098,100,102.746,105.564,109.061,109.258
"10","3","  Goods","DGDSRG3",33.86,35.152,36.208,37.135,39.35,44.261,47.837,49.709,52.363,55.576,60.832,67.644,72.669,74.65,75.997,77.435,78.677,78.309,80.827,82.958,86.15,89.678,91.87,92.978,93.786,94.74,95.625,96.676,96.563,95.106,95.603,97.52,97.429,96.43,96.38,97.867,100,101.508,102.946,106.262,103.634
"11","4","    Durable goods","DDURRG3",54.785,55.966,57.899,58.537,59.404,63.304,68.969,72.741,76,80.255,85.574,93,99.219,103.089,105.177,106.732,107.862,109.048,112.185,114.036,116.114,117.268,118.986,119.808,120.987,123.356,124.255,123.001,120.314,116.909,113.741,111.693,109.479,106.672,102.907,101.005,100,98.488,96.736,95.34,93.782
"12","5","      Motor vehicles and parts","DMOTRG3",34.267,35.302,37.009,37.101,37.271,39.566,43.476,46.8,49.534,52.968,56.961,61.183,65.916,69.041,71.187,73.222,74.918,76.984,80.506,81.771,84.187,84.458,86.834,88.473,91.957,96.226,100.038,102.043,102.428,101.314,101.618,101.994,102.394,101.855,99.074,98.399,100,100.126,99.664,98.575,98.676
"13","6","      Furnishings and durable household equipment","DFDHRG3",50.883,51.99,52.93,53.683,54.948,59.426,65.334,68.145,70.658,74.233,78.864,85.271,91.573,96.293,98.536,99.73,100.824,101.886,103.496,104.972,105.285,106.35,106.956,108.223,108.797,110.477,110.305,110.618,110.454,110.362,108.927,108.138,106.285,104.102,101.176,99.938,100,99.483,98.66,98.041,97.709
"14","7","      Recreational goods and vehicles","DREQRG3",169.092,169.32,175.342,177.884,180.608,188.61,201.094,208.018,214.002,221.68,231.548,244.415,255.375,261.271,258.144,254.49,250.017,242.083,239.024,237.492,236.86,234.938,231.956,224.83,216.764,212.248,203.327,188.915,173.104,158.493,144.658,135.567,126.318,118.15,110.805,105.521,100,94.23,88.244,84.233,79.513
"15","8","      Other durable goods","DODGRG3",35.439,36.36,37.358,38.566,39.825,42.889,46.149,48.398,50.52,53.325,57.724,69.53,73.356,74.063,76.452,78.084,78.936,80.801,86.302,91.937,96.212,102.276,106.062,108.862,109.7,111.452,113.307,112.631,111.051,109.02,106.275,104.869,105.203,103.257,101.604,101.383,100,101.938,105.877,109.745,111.234
"16","9","    Nondurable goods","DNDGRG3",26.242,27.422,28.196,29.1,31.447,36.202,39,40.27,42.577,45.299,50.181,56.338,60.689,62.066,63.131,64.443,65.65,64.811,67.015,69.146,72.576,76.736,78.977,80.124,80.776,81.206,82.055,83.913,84.789,84.16,86.259,90.006,90.952,90.878,92.791,96.12,100,103.215,106.487,112.484,109.262
"17","10","      Food and beverages purchased for off-premises consumption","DFXARG3",23.932,25.267,25.843,27.075,30.502,35.14,37.782,38.484,40.751,44.65,49.035,53.158,56.946,58.444,59.115,60.891,61.554,63.003,64.99,66.929,70.458,73.9,76.22,76.805,77.88,79.184,80.9,83.368,84.956,86.024,87.433,89.486,92.116,93.528,95.296,98.267,100,101.709,105.728,112.089,113.538
"18","11","      Clothing and footwear","DCLORG3",66.038,68.494,70.93,72.217,74.614,80.15,83.744,86.43,90.119,91.822,93.619,97.052,100.257,101.726,103.118,103.653,105.877,105.441,108.479,111.969,113.607,117.311,119.543,120.433,119.79,117.774,115.023,113.638,113.673,111.604,110.127,108.816,106.659,103.851,101.27,100.926,100,99.573,98.574,97.754,98.588
"19","12","      Gasoline and other energy goods","DGOERG3",13.008,13.19,13.406,13.565,14.98,20.832,22.295,23.362,25.03,26.182,35.267,49.04,55.313,52.744,50.706,50.181,50.289,39.481,40.94,41.245,44.901,51.419,50.557,50.173,49.68,49.802,50.47,53.908,53.906,46.996,50.883,65.768,63.48,59.378,69.37,81.537,100,112.926,123.883,145.87,106.387
"20","13","      Other nondurable goods","DONGRG3",22.845,23.911,24.827,25.445,26.139,28.711,32.008,33.664,35.615,37.552,40.007,43.661,47.362,51.028,54.542,56.564,58.752,61.092,63.552,66.397,70.065,73.61,77.532,80.45,81.807,82.38,83.839,85.425,86.318,87.942,91.377,93.38,95.548,97.125,97.307,98.479,100,102.161,103.537,106.032,110.691
"21","14","  Services","DSERRG3",17.326,18.287,19.285,20.103,21.078,22.868,24.836,26.558,28.56,30.779,33.353,36.805,40.558,43.712,46.433,48.85,51.053,53.378,55.413,58.127,60.844,63.812,66.586,69.24,71.299,73.205,75.37,77.479,79.817,81.695,83.515,85.824,88.428,90.807,93.692,96.687,100,103.411,106.973,110.566,112.233
