"","Table 5#8#3B# Real Gross Government Fixed Investment by Type, Qu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"1","[Index numbers, 2005=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2010 9:45:05 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Gross government fixed investment \1\","B782RA3",77.22,79.919,85.847,88.638,92.477,97.561,99.904,100.792,100,103.268,104.985,109.528,109.766
"9","2","        Federal","B787RA3",68.592,71.995,76.09,74.209,76.144,84.947,90.432,95.539,100,107.248,111.852,125.35,132.056
"10","3","          National defense","B788RA3",63.019,64.053,66.396,67.779,71.074,80.367,88.002,95.813,100,106.959,113.195,129.524,137.252
"11","4","          Nondefense","B798RA3",79.962,88.219,95.922,87.287,86.443,94.26,95.384,94.979,100,107.841,109.081,116.678,121.237
"12","5","        State and local","B799RA3",80.669,83.008,89.751,94.681,99.356,102.802,103.796,102.913,100,101.738,102.403,103.812,101.854
"13","6","Structures \2\","B760RA3",88.954,88.903,94.145,97.147,101.888,106.694,107.883,105.096,100,100.508,99.851,100.776,100.859
"14","7","  Federal","B801RA3",142.985,143.779,134.56,109.67,104.103,119.261,129.528,112.698,100,103.659,118.033,121.683,149.869
"15","8","    National defense","B808RA3",116.532,108.127,95.973,92.147,87.537,93.561,113.52,104.745,100,99.971,117.94,128.929,180.681
"16","9","      New","B814RA3",116.544,108.142,95.992,92.165,87.556,93.574,113.522,104.748,100,99.967,117.923,128.904,180.627
"17","10","        Residential","B816RA3",134.993,121.063,105.209,90.197,94.758,95.258,105.947,90.184,100,86.495,99.618,108.565,76.378
"18","11","        Industrial","B817RA3",103.938,54.023,49.472,56.197,79.706,59.659,151.393,108.067,100,87.177,55.057,78.061,91.383
"19","12","        Military facilities \3\","B818RA3",112.865,110.934,98.932,97.052,86.453,97.174,111.299,108.812,100,105.554,130.927,141.084,219.03
"20","13","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","    Nondefense","B830RA3",166.801,175.713,169.053,125.456,119.026,142.36,143.942,119.861,100,106.992,118.097,115.142,122.304
"22","15","      New","B831RA3",133.411,125.788,120.519,111.672,104.705,110.143,112.736,113.783,100,90.809,91.765,81.524,92.36
"23","16","        Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RA3",132.377,127.227,114.611,99.034,89.61,84.354,105.117,135.739,100,81.468,87.152,56.827,53.568
"25","18","        Commercial","W183RA3",79.156,89.406,92.894,78.739,66.222,46.093,56.887,122.822,100,90.702,85.327,64.759,57.19
"26","19","        Health care","W184RA3",251.722,183.898,147.794,128.382,114.817,136.299,100.796,94.059,100,90.393,117.841,108.179,208.152
"27","20","        Educational","W185RA3",192.831,158.853,138.263,175.438,247.893,337.245,331.7,313.678,100,104.431,126.518,122.522,137.19
"28","21","        Public safety","W186RA3",970.763,938.072,839.22,700.175,485.175,530.786,307.135,167.121,100,76.206,152.723,155.196,145.796
"29","22","        Amusement and recreation","W187RA3",428.568,415.885,407.88,371.842,260.651,222.287,335.695,134.958,100,63.674,80.163,95.895,116.719
