"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Dollars]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 23, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/22/2010 7:29:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8",NA,"Current dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","  Gross domestic product","A939RC0",4856,5063,5425,5897,6522,7010,7583,8366,9216,10303,11382,12243,13594,14009,15084,16629,17683,18531,19504,20813,22160,23185,23635,24686,25616,26893,27813,29062,30526,31843,33486,35237,36049,36935,38310,40435,42664,44805,46558,47138,45918
"10","2","  Gross national product","A791RC0",4886,5094,5462,5938,6582,7083,7643,8444,9308,10400,11524,12394,13738,14166,15242,16782,17794,18604,19576,20908,22265,23323,23753,24799,25736,26985,27924,29180,30612,31905,33585,35370,36231,37106,38546,40746,42992,45047,46967,47710,46394
"11","3","  Personal income","A792RC0",3839,4089,4348,4729,5240,5716,6180,6762,7411,8250,9149,10107,11227,11915,12598,13828,14661,15356,16160,17266,18422,19373,19846,20813,21393,22299,23260,24439,25648,27251,28321,30308,31133,31444,32244,33857,35398,37679,39441,40649,39595
"12","4","  Disposable personal income","A229RC0",3324,3586,3859,4140,4615,5010,5497,5972,6514,7220,7956,8794,9726,10390,11095,12232,12911,13540,14146,15206,16134,17004,17532,18436,18909,19678,20470,21355,22255,23534,24356,25944,26805,27799,28805,30287,31318,33157,34512,35931,35888
"13","5","  Personal consumption expenditures","A794RC0",2985,3161,3378,3669,4020,4362,4786,5279,5801,6413,7069,7710,8432,8938,9766,10580,11394,12036,12753,13670,14530,15331,15699,16491,17226,18033,18708,19553,20408,21432,22707,24185,25054,25819,26832,28228,29771,31174,32469,33148,32526
"14","6","    Goods","AGDSRC0",1503,1554,1647,1781,1966,2111,2275,2505,2725,2981,3278,3512,3780,3873,4156,4500,4770,4968,5173,5457,5755,5961,5906,6085,6310,6629,6810,7110,7352,7641,8198,8707,8881,9058,9378,9854,10377,10773,11117,11087,10507
"15","7","      Durable goods","A795RC0",446,439,493,555,616,609,658,773,871,958,1005,994,1061,1090,1259,1447,1595,1751,1820,1939,1998,1987,1882,1978,2119,2305,2385,2507,2621,2825,3069,3243,3317,3443,3489,3617,3732,3789,3839,3554,3338
"16","8","      Nondurable goods","A796RC0",1057,1116,1154,1226,1350,1502,1617,1732,1854,2022,2273,2518,2719,2783,2897,3052,3175,3217,3353,3519,3757,3974,4024,4107,4191,4325,4426,4603,4731,4816,5129,5465,5564,5615,5888,6237,6645,6984,7278,7532,7169
