"","Table 3#15#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 19, 2009  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:58:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government","B822RG3",12.653,12.809,13.065,13.398,13.69,14.07,14.444,15.044,15.671,16.52,17.517
"9","2","General public service","W575RG3",12.074,12.371,12.66,12.947,13.257,13.681,14.098,14.665,15.358,16.267,17.475
"10","3","National defense","B824RG3",13.34,13.44,13.633,13.897,14.209,14.62,15.024,15.535,15.994,16.834,17.757
"11","4","Public order and safety","W579RG3",9.545,9.805,10.072,10.345,10.587,10.757,11.074,11.573,12.343,13.107,14.017
"12","5","Economic affairs","W584RG3",13.346,13.262,13.454,13.834,14.074,14.456,14.775,15.428,16.038,16.939,17.896
"13","6","  Transportation","W589RG3",12.221,12.047,12.205,12.549,12.87,13.077,13.493,14.167,14.757,15.588,16.535
"14","7","  Space","W595RG3",17.664,18.077,18.103,18.717,18.541,19.481,19.426,20.003,20.853,21.956,23.025
"15","8","  Other economic affairs","W596RG3",14.548,14.628,14.902,15.308,15.488,16.056,16.37,17.076,17.635,18.655,19.623
"16","9","Housing and community services","W597RG3",13.025,13.148,13.294,13.491,13.628,13.743,14.055,14.53,15.007,15.739,16.738
"17","10","Health","W598RG3",16.656,16.705,17.173,17.605,17.94,18.29,18.848,19.714,20.629,21.791,23.18
"18","11","Recreation and culture","W599RG3",10.776,10.984,11.182,11.418,11.604,11.797,12.115,12.587,13.202,13.908,14.847
"19","12","Education","W600RG3",11.351,11.832,12.272,12.783,13.12,13.539,13.906,14.655,15.56,16.385,17.486
"20","13","Income security","W605RG3",11.08,11.4,11.735,12.045,12.328,12.639,13.013,13.527,14.219,15.073,16.08
"21","14","      Federal","B823RG3",13.564,13.677,13.908,14.202,14.506,14.995,15.379,15.914,16.386,17.287,18.226
"22","15","General public service","W611RG3",9.924,10.157,10.525,10.824,11.264,11.971,12.447,12.938,13.415,14.523,15.55
"23","16","National defense","B824RG3",13.34,13.44,13.633,13.897,14.209,14.62,15.024,15.535,15.994,16.834,17.757
"24","17","Public order and safety","W615RG3",11.488,11.813,12.39,12.714,13.164,13.838,14.325,14.855,15.226,16.313,17.193
"25","18","Economic affairs","W620RG3",16.54,16.616,16.985,17.524,17.643,18.515,18.696,19.396,19.974,21.184,22.177
"26","19","  Transportation","W625RG3",12.686,12.899,13.323,13.674,14.086,14.657,15.14,15.738,16.112,17.216,18.177
"27","20","  Space","W631RG3",17.664,18.077,18.103,18.717,18.541,19.481,19.426,20.003,20.853,21.956,23.025
"28","21","  Other economic affairs","W632RG3",17.355,17.362,17.765,18.348,18.533,19.491,19.796,20.742,21.053,22.442,23.406
"29","22","Housing and community services","W633RG3",19.156,19.665,20.361,20.868,21.388,22.151,22.83,23.64,24.322,25.957,27.397
"30","23","Health","W634RG3",11.555,11.85,12.387,12.707,13.049,13.73,14.244,14.797,15.197,16.254,17.185
"31","24","Recreation and culture","W635RG3",11.289,11.55,11.899,12.194,12.496,12.928,13.293,13.755,14.144,15.034,15.823
"32","25","Education","W636RG3",16.295,16.693,17.174,17.568,18.001,18.557,19.053,19.689,20.354,21.429,22.558
"33","26","Income security","W640RG3",11.418,11.702,12.111,12.413,12.736,13.241,13.64,14.115,14.521,15.478,16.317
"34","27","      State and local","B829RG3",11.851,12.066,12.357,12.743,13.028,13.293,13.662,14.334,15.137,15.945,17.013
"35","28","General public service","W646RG3",12.911,13.237,13.452,13.715,13.913,14.126,14.486,15.074,15.854,16.662,17.919
"36","29","Public order and safety","W650RG3",9.332,9.585,9.831,10.098,10.325,10.465,10.768,11.259,12.043,12.781,13.681
"37","30","Economic affairs","W655RG3",11.975,11.836,11.967,12.284,12.57,12.741,13.127,13.764,14.39,15.162,16.101
"38","31","  Transportation","W660RG3",12.131,11.919,12.049,12.391,12.702,12.873,13.28,13.958,14.568,15.369,16.31
"39","32","  Other economic affairs","W665RG3",11.56,11.757,11.895,12.106,12.285,12.462,12.772,13.255,13.96,14.63,15.579
"40","33","Housing and community services","W666RG3",12.864,12.981,13.112,13.299,13.418,13.505,13.804,14.27,14.742,15.448,16.433
"41","34","Health","W671RG3",22.083,21.933,22.379,22.934,23.283,23.356,23.986,25.178,26.612,27.925,29.798
"42","35","Recreation and culture","W672RG3",10.636,10.834,11.003,11.225,11.384,11.527,11.834,12.307,12.966,13.634,14.599
"43","36","Education","W673RG3",11.298,11.78,12.219,12.731,13.067,13.484,13.85,14.601,15.512,16.335,17.436
"44","37","  Elementary and secondary","W674RG3",10.27,10.714,11.124,11.603,11.926,12.322,12.671,13.385,14.247,15.026,16.057
"45","38","  Higher","W675RG3",16.4,17.101,17.691,18.364,18.758,19.294,19.711,20.659,21.857,22.908,24.382
"46","39","  Libraries and other","W677RG3",12.57,12.887,13.217,13.554,13.784,14.015,14.339,14.904,15.557,16.246,17.207
"47","40","Income security","W678RG3",10.81,11.146,11.438,11.756,12.006,12.19,12.548,13.086,13.961,14.765,15.823
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Note. Government consumption expenditures and gross investment is net of sales to other sectors.  Thus, growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","in the prices or quantities of sales to other sectors may partially, exactly, or more than offset the growth in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","the prices or quantities of gross consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
