"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2010 10:17:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Exports of goods and services","A020RX1",845.7,916,1025.1,1048.5,1094.3,1188.3,1121.6,1099.2,1116.8,1222.8,1305.1,1422,1554.4,1647.7,1490.7
"9","2","Exports of goods \1\","A253RX1",575.4,626.2,716.2,732.2,760,844.3,792,763.5,777.2,842.9,906.1,991.4,1088.1,1156.6,1018.2
"10","3","  Foods, feeds, and beverages","B638RX1",54.5,53.6,54,53.4,55,58.2,59.8,58.5,59.5,55.9,59,63.6,69.2,73.9,70.5
"11","4","  Industrial supplies and materials","A639RX1",168.5,177,192.4,190.3,192,210.8,202.4,203,208.1,221.6,227.5,244.6,269.2,298.5,278.1
"12","5","    Durable goods","B686RX1",57.7,61.1,66.7,67.9,70.1,80.6,73.5,68.7,70.5,76.4,82.2,90,95.1,105.1,91.2
"13","6","    Nondurable goods","B687RX1",111.1,116.1,126,122.6,121.8,130.1,128.8,134.3,137.7,145.3,145.3,154.5,174.2,193.5,186.8
"14","7","  Capital goods, except automotive","A640RX1",193.8,224.7,275.4,287.1,303,349.1,314.6,287.3,294.1,328.6,358.4,401.1,433.6,460.6,392.9
