"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 12:04:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Capital consumption adjustment \1\","Y0004C1",-1.3,-1,-0.6,-0.3,-0.3,-0.5,-0.5,-0.6,-1.1,-1.2,-1.1,-1.1,-1.2,-1.2,-0.7,-0.1,0,-2.4,-3.6,-4.1,-3.8,-3.6,-4.1,-3.6,-2.7,-1.7,-0.2,-0.7,-1,-1.5,-0.9,0.5,1.2,4.3,5.3,6.1,6.4,6.5,6.6,6.5,6.9
"9","2","    For consistent accounting at historical cost","A1400C1",-0.5,-0.6,-0.5,-0.6,-0.7,-0.6,-0.5,-0.4,-0.5,-0.5,-0.4,-0.4,0,0.9,1.4,2.3,2.4,0.2,0.9,1.3,1.6,1.7,2.5,3.1,3.9,4.5,5.9,6.7,7.4,6.7,7.5,8.3,8.3,11,11.7,12.4,12.9,13.4,14.4,15.6,17.6
"10","3","    For current-cost valuation","A1401C1",-0.8,-0.5,-0.1,0.4,0.4,0,-0.1,-0.1,-0.7,-0.7,-0.6,-0.8,-1.2,-2.1,-2.2,-2.4,-2.4,-2.7,-4.6,-5.4,-5.4,-5.4,-6.6,-6.7,-6.5,-6.2,-6.1,-7.4,-8.3,-8.3,-8.4,-7.8,-7.1,-6.8,-6.4,-6.3,-6.5,-6.9,-7.8,-9.2,-10.8
