"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2010 11:09:15 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","Gross domestic product","A191RX1","4,261,800.0","4,269,940.0","4,413,263.0","4,647,730.0","4,917,010.0","4,889,916.0","4,879,519.0","5,141,295.0","5,377,652.0","5,677,624.0","5,855,049.0","5,838,979.0","5,987,189.0","5,870,945.0","6,136,170.0","6,577,116.0","6,849,265.0","7,086,509.0","7,313,277.0","7,613,888.0","7,885,927.0","8,033,908.0","8,015,143.0","8,287,072.0","8,523,449.0","8,870,673.0","9,093,723.0","9,433,894.0","9,854,333.0","10,283,516.0","10,779,849.0","11,225,977.0","11,347,156.0","11,552,973.0","11,840,700.0","12,263,814.0","12,638,375.0","12,976,249.0","13,228,853.0","13,228,848.0","12,880,611.0"
"20","2","Plus: Income receipts from the rest of the world","A645RX1","54,920.0","56,785.0","58,659.0","65,204.0","88,435.0","103,641.0","89,053.0","96,715.0","104,148.0","120,131.0","163,483.0","174,026.0","184,040.0","190,193.0","184,551.0","213,227.0","190,463.0","183,189.0","195,779.0","233,043.0","261,186.0","265,684.0","228,604.0","200,999.0","200,149.0","231,896.0","282,177.0","297,056.0","332,248.0","337,581.0","370,994.0","431,134.0","358,788.0","343,054.0","377,734.0","465,114.0","573,037.0","697,795.0","819,626.0","765,922.0","575,484.0"
"21","3","Less: Income payments to the rest of the world","A655RX1","25,555.0","27,682.0","26,224.0","30,252.0","40,434.0","48,426.0","46,904.0","46,158.0","47,186.0","63,731.0","86,530.0","97,765.0","117,203.0","120,307.0","116,830.0","149,173.0","145,345.0","153,356.0","167,050.0","196,386.0","222,927.0","217,419.0","187,888.0","161,514.0","160,249.0","202,096.0","246,651.0","260,003.0","305,192.0","317,549.0","339,109.0","388,685.0","301,500.0","289,353.0","304,329.0","370,456.0","475,889.0","628,018.0","704,123.0","606,339.0","441,610.0"
"22","4","Equals: Gross national product","A001RX1","4,291,605.0","4,299,446.0","4,446,017.0","4,682,909.0","4,964,470.0","4,944,011.0","4,921,380.0","5,191,214.0","5,433,724.0","5,733,215.0","5,930,183.0","5,913,354.0","6,052,462.0","5,939,067.0","6,202,337.0","6,639,775.0","6,893,874.0","7,116,468.0","7,342,171.0","7,650,436.0","7,924,030.0","8,081,815.0","8,055,613.0","8,326,425.0","8,563,234.0","8,900,523.0","9,129,407.0","9,471,128.0","9,881,756.0","10,303,990.0","10,812,110.0","11,268,792.0","11,404,640.0","11,606,897.0","11,914,205.0","12,358,483.0","12,735,523.0","13,046,060.0","13,344,425.0","13,388,665.0","13,014,724.0"
"23","5","Less: Consumption of fixed capital","A262RX1","333,626.0","347,254.0","358,713.0","372,051.0","391,778.0","409,643.0","423,763.0","437,326.0","454,577.0","475,297.0","499,669.0","522,852.0","543,831.0","566,225.0","585,070.0","609,491.0","643,095.0","674,111.0","705,485.0","735,137.0","766,181.0","796,546.0","821,205.0","844,006.0","872,332.0","906,497.0","946,976.0","994,768.0","1,051,376.0","1,120,469.0","1,199,404.0","1,282,387.0","1,350,819.0","1,399,790.0","1,441,252.0","1,488,270.0","1,541,376.0","1,598,438.0","1,660,881.0","1,714,497.0","1,744,809.0"
"24","6","        Private","A024RX1","241,433.0","253,580.0","264,922.0","278,614.0","298,129.0","315,099.0","327,694.0","339,353.0","354,631.0","373,162.0","394,769.0","414,673.0","432,306.0","451,070.0","465,715.0","484,524.0","510,885.0","534,044.0","557,620.0","580,139.0","604,085.0","627,083.0","645,142.0","662,342.0","685,982.0","716,527.0","753,678.0","797,634.0","850,016.0","913,862.0","986,246.0","1,062,676.0","1,125,496.0","1,168,884.0","1,204,494.0","1,244,369.0","1,290,810.0","1,341,012.0","1,395,560.0","1,440,291.0","1,461,343.0"
"25","7","        Government","A264RX1","96,915.0","98,133.0","97,861.0","97,028.0","96,743.0","97,378.0","98,796.0","100,617.0","102,385.0","104,240.0","106,607.0","109,630.0","112,829.0","116,322.0","120,628.0","126,399.0","133,780.0","141,963.0","150,072.0","157,461.0","164,766.0","172,410.0","179,339.0","185,148.0","189,737.0","192,997.0","195,848.0","199,192.0","202,887.0","207,622.0","213,764.0","220,007.0","225,438.0","230,954.0","236,784.0","243,916.0","250,565.0","257,436.0","265,382.0","274,253.0","283,186.0"
