"","Table 5#5#6U# Real Private Fixed Investment in Equipment and Sof","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2005) dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 23, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2010 10:27:07 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Private fixed investment in equipment and software","A327RX0",498733,551159,626164,716630,817802,903169,874458,838181,859812,926689,1005355,1079732,1118953,1091633,925239
"9","2","Nonresidential equipment and software","B010RX0",492998,545397,620394,710415,810901,895779,866873,830279,851369,917328,995571,1069585,1108957,1081992,916279
"10","3","  Information processing equipment and software","A679RX0",149493,179102,220818,271067,332020,391857,390151,379346,404989,443084,475269,514765,560484,594733,595837
"11","4","    Computers, software, and communication","W175RX0",103713,128789,166219,209518,267840,321853,318624,304801,324000,356744,380074,415734,456487,486553,490507
"12","5","      Computers and peripheral equipment \1\","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6","      Software \2\","B985RX0",66916,78510,101659,122834,151497,172441,173681,173445,185576,204620,218004,227127,240853,254861,259271
"14","7","      Communication equipment","C275RX0",41229,46829,53355,61602,74765,96864,90648,73663,75357,81748,83181,92178,106667,109457,109825
"15","8","    Medical equipment and instruments","W176RX0",21623,23502,26494,30625,32795,36078,39238,44369,47615,51086,58613,60702,67977,72995,72688
"16","9","      Electro-medical equipment","W878RX0",6816,7874,9836,11748,12197,13860,15145,19049,20315,23905,28250,27986,33024,35641,34663
"17","10","      Medical instruments","W879RX0",15146,15913,16828,19017,20800,22390,24273,25376,27367,27187,30363,32714,34969,37378,38011
"18","11","    Nonmedical instruments","W177RX0",19188,19845,18065,18412,18386,19547,20326,20547,20202,22112,23555,25256,25572,25442,24269
"19","12","    Photocopy and related equipment","C285RX0",8745,9019,9096,10292,8960,8564,6049,4420,5085,4744,4456,4113,6237,5893,5358
