"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 25, 2011 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/24/2011 9:09:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","    National defense consumption expenditures and gross investment","A824RX1",476.8,470.4,457.2,447.5,455.8,453.5,470.7,505.3,549.2,580.4,589,598.4,611.8,657.7,693,720.3
"9","2","Consumption expenditures \1\","A997RX1",424.5,418.5,412.2,401.2,407.6,403.9,418.5,445.8,484.1,509.4,514.8,519.1,528,562.1,591.7,608.7
"10","3","  Gross output of general government","W085RX1",429.8,424.2,417,405.4,411.4,407.7,422.7,450.7,489.1,514.2,520.2,524.6,532.8,567.4,597,614.2
"11","4","    Value added","W086RX1",296.8,286.8,278.4,270.9,265.4,263.5,264.2,269.1,276.8,281.9,284.4,283,284.4,295.7,313.8,324.5
"12","5","      Compensation of general government employees","B237RX1",227.6,218,210.1,203.4,198.5,197.2,198.6,203.9,211.1,215,215.7,212.4,211.6,219.8,234.3,241.6
"13","6","        Military","B4080X1",144.4,139.1,135.4,132.3,130,131.1,133.8,138.7,146.3,147.9,147,143.6,142.5,148.8,160.3,162.9
"14","7","        Civilian","W090RX1",82.2,77.9,73.9,70.5,68,65.7,64.6,65.1,64.9,67.1,68.7,68.8,69.2,71,73.9,78.7
"15","8","      Consumption of general government fixed capital \2\","B432RX1",70.2,69.2,68.1,67,66.3,65.7,65.2,65.1,65.7,67,68.7,70.6,72.9,76,79.6,83.1
"16","9","    Intermediate goods and services purchased \3\","W087RX1",139,142.2,142.8,138.6,149,147.2,160.7,182.7,212.5,232.2,235.8,241.7,248.5,272,283.5,290
"17","10","      Durable goods","A998RX1",21.7,21.5,21.6,21.8,23.1,22.9,23.1,24,26.3,29.2,29.5,32,35.2,41.3,43.5,45.7
"18","11","        Aircraft","B999RX1",9.3,9.2,9.9,10.5,11.1,10.3,10.2,10.2,11.5,12,10.7,10.7,11.1,12.5,14.5,15.1
"19","12","        Missiles","B277RX1",3,2.8,2.5,2.4,2.4,2.6,2.8,2.6,2.5,2.6,3.3,3.9,4.3,4.4,4.4,4.5
"20","13","        Ships","B278RX1",1.2,1,1,0.9,1.3,1.4,1.3,1.4,1.3,1.5,1.4,1.4,1.1,0.8,0.7,0.7
"21","14","        Vehicles","B288RX1",1.5,1.3,1.5,1.1,0.9,0.7,0.8,0.8,0.8,0.8,1.1,1.7,2.3,3,3.3,3.7
"22","15","        Electronics","B388RX1",2.1,2.1,2.2,2.1,2.5,2.7,2.8,3.2,3.7,4.4,5.4,6.3,7.7,10.7,10.9,11.2
"23","16","        Other durable goods","B389RX1",4.8,5.2,4.8,4.8,5.2,5.2,5.3,6,6.6,7.9,7.7,8.1,8.7,10.1,9.9,10.5
"24","17","      Nondurable goods","A725RX1",10.8,11.9,12,12.4,13.9,14.5,14.9,17.1,18,20.8,20.9,20.1,20.9,21.3,22.3,21.2
"25","18","        Petroleum products","B780RX1",8.6,8.7,7.8,7.6,8.4,7.8,9.1,10.5,9.5,10.4,10.1,9.7,10.1,9.9,10.1,9.6
"26","19","        Ammunition","B781RX1",1.3,1.5,1.8,2.1,2.1,2,2.3,2.8,2.9,3.8,4,3.9,3.7,3.7,3.5,3.5
"27","20","        Other nondurable goods","B783RX1",2.7,3.3,3.3,3.4,4.1,5,4.3,4.7,5.8,6.6,6.8,6.5,7.2,7.7,8.9,8.3
"28","21","      Services","A489RX1",105.6,108.3,108.7,104,111.7,109.7,122.6,141.7,168,182.3,185.4,189.6,192.5,210,218.3,223.7
"29","22","        Research and development","B784RX1",31.5,34.3,34.4,32.3,32.1,31.2,33.8,41.2,46.8,53,53.9,55.9,53,55,53.8,52.5
"30","23","        Installation support","B911RX1",32.4,32.6,31.4,29.7,30.6,30.5,32.3,34.9,38.9,37.5,35.3,35.3,34.1,37.8,41.3,39.9
"31","24","        Weapons support","B912RX1",10.3,9.1,10.5,10,11.4,11.3,14.5,17.7,22.2,22.1,24.4,24.9,25.1,28.6,31,30.5
"32","25","        Personnel support","B913RX1",20,20.8,22,21.5,26.4,25.9,30.6,36.6,42.5,52.3,55.8,59.1,61.6,73.5,79.4,88
