"","Table 5#9# Changes in Net Stock of Produced Assets (Fixed Assets","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1951 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/24/2011 11:27:02 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Opening balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Produced assets","K160011",987.4,1084.1,1130,1164.2,1209.3,1305,1414.4,1480.2,1525.9,1581.4,1630.3,1688.3,1763.6,1822.7,1934.6,2066.1,2240.9,2406.2,2635.5
"10","2","  Fixed assets","K160021",873,956.7,1011.1,1047.2,1094.2,1189.1,1289.8,1352.4,1394.4,1448.3,1493.9,1548.5,1616.2,1672.8,1780.1,1896.7,2055.3,2211.5,2427.5
"11","3","    Private","K160031",662.7,720.6,758.2,788.5,820.1,893.3,961.1,1009.6,1033.6,1077.3,1109.2,1144.5,1186,1221.9,1307,1393.3,1511.4,1623.8,1789.4
"12","4","    Government","K160041",210.2,236.1,252.9,258.7,274.1,295.8,328.7,342.7,360.8,371.1,384.6,404,430.1,450.9,473.2,503.4,543.9,587.7,638.1
"13","5","  Private inventories \1\","K160051",114.4,127.3,118.9,117,115,115.9,124.7,127.8,131.5,133.1,136.4,139.8,147.4,149.9,154.5,169.4,185.6,194.8,208.1
"14",NA,"Accumulation of produced assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","Gross fixed investment","K160061",67.9,72.8,78.5,78.3,85,91,94.1,91.3,103.9,103.9,106.5,115.3,121.8,131.9,144.5,157.5,161.7,175.8,190.5
"16","7","  Private \2\","K160071",50.3,50.5,54.5,55.8,64,68.1,69.7,64.9,74.6,75.7,75.2,82,88.1,97.2,109,117.7,118.7,132.1,147.3
"17","8","    Nonresidential","K160081",31.8,31.9,35.1,34.7,39,44.5,47.5,42.5,46.5,49.4,48.8,53.1,56,63,74.8,85.4,86.4,93.4,104.7
"18","9","      Structures","K160091",12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7
"19","10","      Equipment and software","K160101",19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67
"20","11","    Residential","K160111",18.4,18.6,19.4,21.1,25,23.6,22.2,22.3,28.1,26.3,26.4,29,32.1,34.3,34.2,32.3,32.4,38.7,42.6
"21","12","  Government \3\","K160121",17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3
"22","13","    Structures","K160131",9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29
"23","14","    Equipment and software","K160141",8.1,11.2,12.3,10.4,9,9.5,9.5,10,12.4,11.7,13.3,14.7,13.7,13.6,12.7,14.7,16.5,15.1,14.3
"24","15","Less: Stock reconciliation adjustments","K160151",-0.1,-0.2,0,0.2,0.2,0.2,0.3,-0.2,0.4,0.5,0.4,0.2,0.3,0.2,0.2,0.6,0.8,1,1
"25","16","  Private \4\","K160161",-0.2,-0.2,-0.2,0.2,0.4,0.3,0.2,-0.3,0.4,0.4,0.3,0.1,0.3,0.2,0.2,0.7,0.7,0.9,0.9
"26","17","  Government \5\","K160171",0.1,0,0.2,0,-0.3,-0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0.1
"27","18","Less: Consumption of fixed capital","K160181",33.8,36.3,38.6,40.6,42.8,47.1,50.8,53.3,55.4,56.6,58.2,60.6,63.3,66.4,70.7,76.5,82.9,90.4,99.2
"28","19","  Private","K160191",25.2,26.7,28.2,29.5,31.1,34.3,37.2,39.4,41,41.6,42.6,44.1,45.9,48.3,51.9,56.5,61.6,67.4,74.5
"29","20","    Nonresidential","K160201",20.2,21.4,22.6,23.6,24.8,27.7,30.3,32.2,33.4,33.6,34.4,35.5,37,38.9,41.8,45.6,49.9,54.8,60.4
