"","Table 2#5#4 Price Indexes for Personal Consumption Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/25/2011 9:50:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Personal consumption expenditures","DPCERG3",22.616,23.674,24.68,25.525,26.901,29.703,32.184,33.95,36.155,38.687,42.118,46.641,50.81,53.615,55.923,58.038,59.938,61.399,63.589,66.121,68.994,72.147,74.755,76.954,78.643,80.265,82.041,83.826,85.395,86.207,87.596,89.777,91.488,92.736,94.622,97.098,100,102.746,105.564,109.061,109.258
"9","2","Household consumption expenditures \1\","DPHCRG3",22.178,23.218,24.2,25.024,26.369,29.097,31.523,33.254,35.412,37.895,41.249,45.688,49.804,52.655,55.042,57.209,59.141,60.645,62.871,65.435,68.423,71.735,74.499,76.889,78.701,80.362,82.178,83.972,85.503,86.215,87.567,89.685,91.332,92.591,94.569,97.121,100,102.762,105.615,109.192,109.488
"10","3","  Food and beverages purchased for off-premises consumption","DFXARG3",23.932,25.267,25.843,27.075,30.502,35.14,37.782,38.484,40.751,44.65,49.035,53.158,56.946,58.444,59.115,60.891,61.554,63.003,64.99,66.929,70.458,73.9,76.22,76.805,77.88,79.184,80.9,83.368,84.956,86.024,87.433,89.486,92.116,93.528,95.296,98.267,100,101.709,105.728,112.089,113.538
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRG3",22.838,24.188,24.721,25.99,29.687,34.694,37.352,38.029,40.522,44.592,49.065,53.236,57.09,58.466,58.927,60.794,61.368,62.767,64.867,66.862,70.602,74.119,75.582,75.958,77.157,78.656,80.577,83.107,84.733,85.903,87.253,89.21,91.944,93.297,95.097,98.171,100,101.778,106.041,112.958,114.102
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRG3",32.797,33.904,34.874,35.458,36.044,38.273,40.895,41.771,42.422,44.702,48.203,52.223,55.693,57.992,60.167,61.311,62.693,64.489,65.639,67.19,69.248,72.136,80.551,82.767,82.851,82.749,82.969,85.003,86.298,86.749,88.581,91.244,93.197,95.027,96.556,98.854,100,101.326,103.946,107.205,110.439
"13","6","    Food produced and consumed on farms","DFFDRG3",35.031,35.5,36.018,42.379,55.551,49.559,50.654,52.031,52.232,66.86,80.285,77.229,76.814,79.116,74.956,78.029,73.086,74.162,80.998,82.353,86.744,93.556,89.791,86.328,88.605,81.795,81.638,82.265,87.233,77.667,74.289,78.381,83.59,74.231,84.025,97.109,100,96.42,104.395,102.966,89.641
"14","7","  Clothing, footwear, and related services","DCAFRG3",61.404,63.748,66.003,67.19,69.47,74.806,78.375,81.083,84.663,86.674,88.868,92.589,96.025,97.708,99.221,99.957,102.221,102.005,105.013,108.447,110.247,113.917,116.222,117.186,116.758,115.047,112.579,111.391,111.571,109.737,108.503,107.432,105.66,103.183,100.878,100.711,100,99.77,98.988,98.465,99.447
"15","8","    Clothing","DCLTRG3",63.623,65.889,68.247,69.354,71.61,77.309,81.005,83.72,87.365,89.206,90.676,93.94,97.221,98.865,100.649,101.39,103.957,103.859,106.983,110.336,111.815,115.788,118.085,118.754,118.177,116.324,113.661,112.392,112.632,110.634,109.687,108.708,106.704,103.987,101.518,101.36,100,99.587,98.823,97.936,98.697
"16","9","      Garments","DGARRG3",69.475,71.842,74.438,75.627,78.004,84.046,87.868,90.57,94.392,95.915,96.769,99.544,102.464,103.81,105.491,106.002,108.592,108.194,111.455,114.801,116.057,120.062,122.305,122.846,122.005,119.755,116.589,115.044,115.244,113.012,111.834,110.557,108.034,104.85,102.029,101.646,100,99.352,98.394,97.11,97.648
"17","10","        Women's and girls' clothing","DWGCRG3",79.506,81.93,85.331,86.81,89.262,95.349,99.015,101.621,105.288,106.886,107.252,109.021,110.505,110.568,111.715,111.656,114.307,112.907,117.111,120.375,120.592,125.421,127.155,127.579,126.639,123.959,119.384,116.458,116.319,113.29,111.275,109.707,107.652,104.528,102.049,101.949,100,99.937,99.523,96.994,97.551
"18","11","        Men's and boys' clothing","DMBCRG3",60.647,63.124,64.918,65.763,68.152,73.489,76.69,79.409,83.089,84.359,85.724,89.289,93.494,96.316,98.316,99.525,101.779,102.218,104.513,107.941,110.654,113.184,116.213,116.941,116.519,114.768,113.317,113.38,114.304,113.284,112.893,111.733,108.277,104.875,101.628,101.171,100,98.337,96.683,97.255,97.747
"19","12","        Children's and infants' clothing","DCICRG3",35.204,35.874,36.65,37.698,38.952,49.183,59.088,62.277,68.295,70.928,72.343,78.262,85.087,88.18,92.569,93.945,98.106,102.369,102.367,106.08,108.206,113.931,115.972,116.426,113.504,112.224,111.423,112.857,111.013,108.155,110.49,111.747,110.613,108.291,104.587,101.537,100,99.851,97.657,97.502,98.127
"20","13","      Other clothing materials","DOCMRG3",59.592,61.897,63.928,65.431,67.654,71.836,73.581,75.787,78.212,78.002,80.692,86.603,92.067,95.143,96.617,97.219,98.469,100.383,100.207,105.891,107.343,112.824,113.838,114.983,114.323,113.534,118.313,118.916,112.162,106.666,103.898,103.809,103.703,103.241,101.216,101.719,100,99.217,95.739,96.106,98.691
