"","Table 5#5#3# Real Private Fixed Investment in Equipment and Soft","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/24/2011 12:34:16 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Private fixed investment in equipment and software","B327RA3",2.24,1.779,1.194,0.703,0.721,0.995,1.352,1.849,2.148,1.5,1.731,2.238,2.626,1.51,1.342,1.785,2.559,3.227,4.397,4.626,4.06,4.492,4.614,4.483,4.886,4.62,5.253,5.399,5.538,4.747,5.315,5.529,5.425,6.048,6.56,7.391,8.738,10.119,10.056,10.699,11.653
"9","2","Nonresidential equipment and software","B010RA3",2.26,1.792,1.196,0.7,0.717,0.991,1.351,1.853,2.154,1.5,1.731,2.243,2.63,1.509,1.355,1.812,2.595,3.236,4.399,4.63,4.058,4.479,4.61,4.478,4.883,4.61,5.241,5.38,5.52,4.715,5.275,5.499,5.393,6.017,6.524,7.356,8.705,10.098,10.031,10.656,11.598
"10","3","  Information processing equipment and software","B679RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108,0.143,0.147,0.131,0.146,0.16,0.185,0.203,0.183,0.21,0.243,0.276,0.246,0.269,0.33,0.362,0.402,0.476,0.546,0.648,0.854,0.916,0.975,1.186
"11","4","    Computers, software, and communication","W175RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,0.1,0.125,0.151,0.18,0.203,0.253,0.349,0.393,0.43,0.538
"12","5","      Computers and peripheral equipment","B935RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.001,0.001,0.002,0.003,0.004,0.005,0.008
"13","6","      Software \1\","B985RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.039,0.052,0.072,0.146,0.181,0.232,0.359,0.421,0.473,0.636
"14","7","      Communication equipment \2\","B275RA3",1.354,1.161,0.877,0.434,0.34,0.488,0.703,0.901,1.436,0.963,1.16,1.722,1.866,1.168,1.068,2.195,2.48,0.985,1.335,1.327,1.184,1.318,1.468,1.914,2.205,1.928,2.142,2.611,2.975,2.56,3.029,3.892,4.666,5.324,4.996,5.144,5.953,6.784,6.965,7.259,8.464
"15","8","    Medical equipment and instruments","W176RA3",0.129,0.106,0.082,0.053,0.052,0.06,0.073,0.093,0.15,0.103,0.134,0.108,0.1,0.052,0.106,0.11,0.301,0.76,1.102,1.075,0.966,1.057,1.198,1.221,1.069,1.119,1.359,1.481,1.431,1.251,1.413,1.706,1.887,2.019,2.466,2.842,3.076,3.475,4.609,4.622,5.641
"16","9","    Nonmedical instruments","W177RA3",1.845,1.639,1.243,0.798,0.802,0.84,1.148,1.412,2.122,1.57,1.939,1.593,1.423,0.731,1.583,1.697,4.52,5.329,7.245,7.531,6.988,7.989,8.793,9.514,9.663,7.045,9.617,10.363,10.592,9.023,8.95,9.003,8.661,7.957,8.367,8.811,10.06,10.87,11.676,11.494,12.091
"17","10","    Photocopy and related equipment","B285RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.212,2.986,3.083,2.986,3.18,3.446,3.845,4.836,5.126,5.332,5.67,5.888,4.884,6.452,7.676,7.839,9.752,15.524,23.772,28.15,35.861,29.65,32.588,37.193
"18","11","    Office and accounting equipment","B936RA3",4.214,2.985,2.178,1.57,1.644,2.009,2.697,3.229,3.869,3.246,3.352,3.871,4.716,3.493,2.529,3.83,5.11,9.372,11.615,12.525,10.837,11.844,12.808,13.231,14.451,14.003,15.804,18.175,22.312,21.584,20.97,20.821,17.687,15.749,16.566,16.475,16.776,21.511,20.452,19.245,22.498
"19","12","  Industrial equipment","B680RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.429,28.803,26.644,20.531,23.716,26.628,27.674,30.478,31.419,31.179,34.426,34.858,29.05,29.49,31.797,30.099,31.645,34.185,38.635,45.549,52.383,52.592,51.549,54.973
"20","13","    Fabricated metal products","B263RA3",11.401,9.836,7.998,5.133,4.363,5.307,5.903,7.137,8.122,6.044,7.137,8.784,10.623,9.795,12.212,14.456,17.586,25.55,33.201,29.806,24.11,25.948,31.073,35.469,37.431,39.791,35.908,37.183,42.366,39.344,35.286,33.4,31.907,29.333,32.256,37.612,44.506,51.461,49.986,59.125,71.458
"21","14","    Engines and turbines","B668RA3",16.09,14.196,9.177,4.237,3.534,5.233,7.361,12.809,18.062,12.419,15.23,16.793,14.293,6.17,11.56,21.577,45.77,10.642,27.181,39.509,38.27,51.198,36.774,51.769,47.888,69.257,60.68,54.752,68.942,68.564,59.023,56.069,49.407,46.464,46.489,46.437,48.474,58.33,77.946,91.327,102.279
"22","15","    Metalworking machinery","B271RA3",11.863,8.218,5.275,2.265,2.434,4.076,7.443,11.012,13.567,7.58,10.523,21.646,28.66,26.386,24.849,20.295,24.965,30.022,37.735,28.691,18.271,26.171,34.119,36.354,45.933,50.192,39.725,49.572,46.697,29.294,31.595,35.846,32.178,35.48,42.803,45.016,56.69,68.786,85.163,75.471,74.065
"23","16","    Special industry machinery, n.e.c.","B272RA3",21.703,16.34,12.733,8.795,9.864,10.564,12.899,17.567,18.94,14.042,14.974,15.97,15.922,13.044,10.302,15.843,23.065,30.904,46.142,44.382,34.64,39.383,41.302,36.571,38.33,33.537,39.321,42.865,40.109,35.367,37.536,42.512,40.717,44.46,43.951,49.821,63.519,68.776,62.6,62.372,64.561
"24","17","    General industrial, including materials handling, equipment","B273RA3",13.317,10.14,7.642,4.883,4.788,5.851,7.857,10.818,11.826,8.486,9.906,10.996,11.618,7.993,8.634,14.22,20.244,19.66,23.326,21.982,15.705,16.038,17.708,16.954,19.039,18.91,21.856,23.485,23.158,20.176,21.017,22.767,21.391,22.999,26.153,31.002,34.612,38.906,34.951,34.224,38.058
"25","18","    Electrical transmission, distribution, and industrial apparatus","B276RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.315,16.764,15.598,14.053,16.881,20.205,23.75,25.137,26.187,25.846,29.028,30.801,25.714,26.456,28.881,28.844,29.738,30.002,34.045,38.104,45.667,44.356,42.252,44.336
"26","19","  Transportation equipment","B681RA3",10.999,8.533,5.221,2.862,3.519,5.303,6.981,9.684,10.724,6.526,8.202,11.159,12.815,4.33,3.882,4.043,6.522,11.069,15.582,16.217,16.125,17.849,17.145,14.155,16.843,14.749,18.773,16.868,18.026,13.147,17.422,17.947,16.965,20.917,20.248,22.907,28.697,31.56,30.517,36.694,38.16
"27","20","    Trucks, buses, and truck trailers","B279RA3",4.985,3.875,2.837,1.621,2.104,3.393,4.483,5.849,5.693,3.535,4.907,5.605,6.627,1.232,1.468,3.286,7.894,9.099,12.078,13.39,10.888,12.929,13.498,10.11,10.04,9.505,12.537,12.238,10.868,9.163,11.258,11.32,11.728,15.089,16.085,16.771,20.597,23.836,20.965,24.883,29.26
"28","21","      Light trucks (including utility vehicles) \3\","W178RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","22","      Other trucks, buses, and truck trailers \3\","W179RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","23","    Autos \3\","B280RA3",12.782,8.516,6.162,3.636,4.881,6.104,9.133,11.592,11.8,7.03,9.727,12.63,13.809,2.118,2.029,1.113,1.171,8.164,11.428,11.825,14.077,17.82,13.515,10.647,17.163,16.34,21.231,14.904,16.49,12.066,16.927,17.617,16.527,20.39,19.423,20.578,25.672,24.457,23.532,29.903,30.863
"31","24","    Aircraft","B281RA3",3.629,1.641,0.921,0.091,0.836,1.629,0.86,0.769,1.897,1.427,2.19,3.678,3.001,0.482,0,0.531,3.404,11.657,7.381,3.142,5.807,3.703,3.63,8.497,7.997,8.955,6.375,13.914,18.001,12.871,28.556,25.724,26.653,24.732,14.779,26.038,38.854,54.295,71.641,102.567,74.329
"32","25","    Ships and boats","B282RA3",35.616,45.008,37.115,10.088,6.315,8.937,3.773,23.681,24.886,46.694,22.076,51.484,64.971,67.111,78.243,42.172,65.773,66.816,135.801,58.494,34.894,32.03,62.642,67.218,58.655,30.532,45.41,65.532,80.143,75.245,68.436,61.681,53.627,56.008,48.247,55.658,63.395,66.971,68.378,89.478,96.573
"33","26","    Railroad equipment","B283RA3",93.029,93.764,21.416,12.055,5.984,27.505,23.76,48.378,83.931,32.509,37.547,67.256,84.788,74.535,48.098,62.462,59.926,58.263,95.215,148.107,152.989,110.438,144.818,128.337,115.336,66.119,74.92,95.286,120.445,51.072,57.438,76.654,51.703,79.21,82.945,118.602,145.091,168.889,148.094,105.522,139.746
