"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:56:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Gross domestic product","A191RG3",10.584,10.175,9.165,8.122,7.909,8.296,8.461,8.554,8.868,8.701,8.591,8.666,9.231,9.991,10.553,10.806,11.082,12.358,13.731,14.51,14.502,14.615,15.622,15.962,16.164,16.328,16.562,17.133,17.733,18.142,18.348,18.604,18.814,19.071,19.273,19.572,19.928,20.493,21.124,22.022,23.11
"9","2","Plus: Income receipts from the rest of the world","B645RG3",8.238,7.951,7.222,6.4,6.268,6.823,7.034,6.999,7.321,7.099,7.024,7.163,7.55,7.943,8.015,8.094,8.532,10.788,12.083,12.909,12.759,12.99,13.602,13.737,14.017,14.161,14.633,15.079,15.556,15.877,16.371,16.653,16.827,17.239,17.498,17.8,18.295,18.925,19.503,20.445,21.447
"10","3","Less: Income payments to the rest of the world","A655RG3",8.123,7.729,7.074,6.257,5.899,6.426,6.709,6.975,7.739,7.518,7.926,8.309,8.697,9.13,9.442,9.995,10.199,11.724,12.655,13.648,13.852,14.179,15.001,14.862,15.188,15.095,15.418,15.924,16.484,16.516,17.08,17.344,17.398,17.767,17.895,18.21,18.702,19.4,19.965,20.957,22.164
"11","4","Equals: Gross national product","A001RG3",10.571,10.164,9.154,8.113,7.902,8.289,8.454,8.545,8.858,8.69,8.579,8.654,9.218,9.976,10.535,10.786,11.063,12.343,13.715,14.494,14.485,14.598,15.601,15.941,16.143,16.307,16.543,17.113,17.712,18.121,18.328,18.585,18.795,19.053,19.256,19.555,19.912,20.478,21.108,22.006,23.092
"12","5","Less: Consumption of fixed capital","A262RG3",11.429,10.926,10.185,9.134,9.038,9.678,9.699,9.884,10.637,10.767,10.673,10.895,11.743,12.989,13.404,13.6,13.489,14.611,17.217,18.533,18.902,19.099,20.81,21.322,21.557,21.66,21.986,23.365,24.407,24.643,25.109,25.147,25.154,25.324,25.48,25.638,26.021,26.612,27.378,28.436,29.751
"13","6","        Private","A024RG3",10.589,10.14,9.479,8.542,8.361,8.863,8.924,9.036,9.814,9.963,9.897,10.132,10.882,12.206,12.727,13.441,13.842,14.581,17.493,19.083,19.586,19.979,21.757,22.34,22.65,22.772,23.03,24.43,25.516,25.833,26.397,26.434,26.39,26.453,26.475,26.682,27.062,27.644,28.437,29.531,30.854
"14","7","        Government","A264RG3",11.893,11.204,10.187,8.764,9.438,10.803,10.517,11.129,11.369,11.318,11.091,11.146,12.228,12.966,13.109,12.584,11.955,13.361,15.377,16.181,16.281,16.053,17.517,17.84,17.899,17.953,18.404,19.652,20.536,20.578,20.796,20.835,20.952,21.345,21.78,21.824,22.187,22.769,23.43,24.349,25.579
"15","8","          General government","A265RG3",12.648,11.873,10.759,9.212,9.984,11.232,11.036,11.619,11.764,11.642,11.452,11.506,12.695,13.484,13.666,13.06,12.385,13.847,15.94,16.725,16.825,16.578,18.08,18.398,18.435,18.497,18.97,20.247,21.165,21.201,21.465,21.502,21.632,22.052,22.521,22.552,22.92,23.508,24.188,25.13,26.374
"16","9","          Government enterprises","A266RG3",7.017,6.75,6.259,5.528,5.749,7.211,6.691,7.277,7.792,7.99,7.685,7.732,8.212,8.668,8.478,9.031,9.063,10.01,11.451,12.831,12.965,12.922,14.202,14.631,14.948,14.929,15.2,16.333,16.994,17.11,16.883,16.935,16.946,17.123,17.287,17.463,17.814,18.395,18.957,19.757,20.962
"17","10","Equals: Net national product","A027RG3",10.437,10.041,9.007,7.969,7.743,8.099,8.279,8.36,8.631,8.437,8.326,8.387,8.923,9.638,10.2,10.452,10.756,12.038,13.283,14.007,13.964,14.069,15.003,15.325,15.522,15.689,15.916,16.412,16.968,17.387,17.571,17.843,18.068,18.331,18.536,18.843,19.194,19.751,20.363,21.238,22.294
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Net domestic product","A362RG3",10.452,10.054,9.017,7.978,7.751,8.106,8.285,8.369,8.642,8.448,8.338,8.4,8.937,9.653,10.218,10.472,10.776,12.053,13.298,14.022,13.98,14.085,15.022,15.345,15.542,15.709,15.933,16.43,16.986,17.406,17.587,17.86,18.085,18.347,18.551,18.858,19.208,19.764,20.377,21.252,22.309
"20","12","  Net domestic purchases","W367RG3",10.214,9.795,8.798,7.76,7.526,7.862,8.033,8.126,8.409,8.211,8.123,8.17,8.678,9.354,9.898,10.131,10.436,11.757,12.957,13.68,13.665,13.824,14.786,15.074,15.237,15.42,15.631,16.106,16.63,17.018,17.201,17.464,17.671,17.916,18.136,18.449,18.773,19.31,19.872,20.719,21.742
