"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2011 9:45:41 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Personal consumption expenditures","DPCERA3",30.359,31.071,32.255,34.239,35.935,35.637,36.445,38.475,40.094,41.862,42.857,42.705,43.353,43.958,46.471,48.935,51.484,53.572,55.225,57.451,59.075,60.281,60.371,62.43,64.647,67.115,68.931,71.336,73.97,77.849,82.106,86.27,88.603,90.962,93.52,96.754,100,102.886,105.335,105.057,103.797
"9","2","Household consumption expenditures \1\","DPHCRA3",31.199,31.915,33.122,35.159,36.926,36.627,37.469,39.555,41.238,43.05,44.065,43.869,44.483,44.988,47.483,49.912,52.487,54.526,56.163,58.311,59.833,60.845,60.771,62.642,64.809,67.222,69.013,71.382,74.188,78.011,82.247,86.364,88.593,90.797,93.298,96.625,100,102.711,105.106,104.574,103.408
"10","3","  Food and beverages purchased for off-premises consumption","DFXARA3",59.925,61.6,62.333,63.577,62.47,61.21,62.314,65.369,66.336,66.047,66.966,67.655,67.426,68.734,70.471,71.888,74.01,75.521,75.038,77.02,77.981,79.597,79.497,79.188,79.834,82.059,82.482,83.31,84.036,85.043,88.326,90.314,91.368,91.581,93.593,96.122,100,103.192,104.88,103.997,103.023
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRA3",64.294,65.624,65.767,66.666,64.816,62.847,64.025,67.243,67.831,67.38,68.082,68.596,68.179,69.477,71.267,72.993,75.056,76.606,76.28,78.518,79.447,80.837,81.652,81.967,82.467,84.443,84.606,85.091,85.532,86.272,89.538,91.152,92.089,92.291,94.286,96.455,100,102.527,103.961,103.002,102.178
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRA3",35.3,38.217,41.548,44.171,46.684,48.516,49.436,51.509,54.673,55.908,58.382,60.286,61.229,62.834,64.299,64.037,66.554,67.919,66.877,67.389,68.694,71.833,66.365,62.601,64.115,67.721,69.679,72.557,75.027,77.593,81.014,85.263,87.062,87.306,89.47,94.156,100,107.108,110.428,109.946,107.985
"13","6","    Food produced and consumed on farms","DFFDRA3",609.16,638.109,602.996,612.377,585.931,700.952,650.642,664.848,648.882,530.489,489.415,466.065,461.367,416.578,408.539,380.478,369.862,352.689,267.835,259.469,226.079,199.578,197.483,194.524,178.924,182.336,171.178,158.455,138.663,143.647,137.533,118.369,99.755,110.571,95.416,90.594,100,125.197,99.097,120.775,134.455
"14","7","  Clothing, footwear, and related services","DCAFRA3",23.957,23.612,24.377,26.003,27.621,26.943,27.469,28.588,30.007,32.908,34.571,35.426,37.394,37.838,40.367,43.621,45.493,48.786,50.617,52.291,55.053,54.754,54.569,57.358,59.615,62.789,65.359,68.374,70.776,74.981,79.732,83.407,83.956,86.214,90.459,94.524,100,104.876,108.593,107.766,102.898
"15","8","    Clothing","DCLTRA3",22.836,22.671,23.489,25.068,26.639,26.138,26.735,27.895,29.277,32.052,33.654,34.577,36.46,37.191,39.731,43.155,44.933,48.157,49.972,51.732,54.378,53.861,53.92,56.919,59.197,62.19,64.67,67.521,69.939,74.021,78.507,82.169,82.838,85.368,89.791,94.03,100,104.93,108.843,108.166,103.459
"16","9","      Garments","DGARRA3",19.718,19.681,20.562,22.041,23.666,23.351,24.128,25.241,26.616,29.422,31.214,32.303,34.44,35.315,37.826,41.217,43.02,46.227,47.868,49.404,51.972,51.451,51.766,54.825,57.25,60.383,62.958,65.913,68.098,72.138,76.62,80.339,81.212,83.97,88.922,93.61,100,105.112,109.211,108.761,104.237
"17","10","        Women's and girls' clothing","DWGCRA3",17.633,17.625,18.528,19.532,20.872,20.612,21.377,22.342,23.463,26.157,27.95,29.264,31.724,32.931,35.79,39.492,41.575,45.432,46.703,47.873,50.572,49.617,49.938,53.23,55.3,57.571,60.052,62.968,64.464,69.119,74.838,79.628,80.789,83.942,88.648,93.293,100,104.645,108.655,109.089,104.417
"18","11","        Men's and boys' clothing","DMBCRA3",23.598,23.239,24.281,26.543,28.505,28.075,29.093,30.351,32.243,34.971,36.452,36.982,38.353,38.313,40.325,43.162,44.589,46.933,49.14,51.217,53.691,54.188,54.625,57.59,60.602,65.28,68.11,71.493,74.767,77.551,80.118,82.147,82.133,84.025,89.475,94.087,100,105.893,109.903,107.985,103.764
"19","12","        Children's and infants' clothing","DCICRA3",16.594,19.714,17.618,21.16,25.274,25.082,23.499,25.724,26.768,31.408,35.293,37.047,39.921,42.859,44.057,47.089,47.785,48.59,50.846,53.164,54.594,52.39,51.76,52.447,55.031,57.834,59.633,59.987,62.514,68.324,72.243,75.816,79.616,83.908,88.193,93.9,100,104.99,110.718,110.363,105.402
"20","13","      Other clothing materials","DOCMRA3",31.749,30.625,35.498,40.038,42.828,43.465,39.541,45.817,46.654,49.121,47.817,48.969,47.629,49.379,50.993,53.554,53.829,57.454,63.352,62.858,63.939,59.746,60.113,61.096,61.83,60.229,54.214,55.389,56.453,62.2,69.462,75.439,79.015,86.589,93.482,95.07,100,106.005,112.525,111.583,106.719
