"","Table 5#7#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"1","[Billions of chained (2005) dollars]; Seasonally adjusted quarterly totals                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1996 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:19:46 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Private inventories \1\","A371RX1",NA,NA,NA,1383.4,1394.2,1420.2,1439,1460.8,1490.1,1500.9,1516,1532.4,1554.7,1565,1576.1,1600.9,1605.6,1630.9,1646.6,1661.1,1652.4,1649.8,1642.1,1619.4,1615.6,1619,1623.9,1632.1,1640,1639.2,1639.9,1649.5,1662.6,1682.2,1697.9,1715.8,1738.7,1742.6,1745.5,1765.8,1782.2,1800.4,1817.2,1825.2,1829.5,1840.7,1849.8,1852.9,1850.9,1845.7,1838.9,1815.3,1783.8,1743.4,1711.3,1702.2,1713.2,1730.4,1760.8,1764.8,1775.8
"10","2","Farm","B372RX1",NA,NA,NA,155.3,152.6,154.7,157.2,159,160.6,159.8,160.5,160.6,160.1,160.4,157.7,156.9,151.9,153.7,153.2,155.2,156.6,155.8,156.5,155.3,156.5,153.2,152.4,152.2,153.2,152.9,153,152.4,153.2,157.6,159.3,160.3,158.5,158.6,159.7,160.4,161.3,159.3,157.7,156.7,158,156.7,156.1,155.9,154,155.1,155.5,156.9,157.4,158.9,158.7,160.3,162.2,164.1,165.4,165.7,165.5
"11","3","Mining, utilities, and construction","N238RX1",NA,NA,NA,47.6,47.7,49.1,50.3,50.1,52.5,54.7,56.4,59.1,59.1,59.2,58.3,57.1,57.9,57,56.7,54.3,57.2,60.8,62.6,65.1,65,63.9,62.1,61,63.1,63.9,65.7,68.2,67.5,67.7,69,69.6,70.5,72.9,72.5,73.4,75.8,81,85.9,90.3,91.7,93.5,91.7,90.3,88.7,87.1,84.9,80.7,81.7,82.2,81.8,77.9,75.2,76.3,75.7,75.5,75
