"","Table 1#4#5# Relation of Gross Domestic Product, Gross Domestic ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 9:20:32 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Gross domestic product","A191RC1",103.6,91.2,76.5,58.7,56.4,66,73.3,83.8,91.9,86.1,92.2,101.4,126.7,161.9,198.6,219.8,223,222.2,244.1,269.1,267.2,293.7,339.3,358.3,379.3,380.4,414.7,437.4,461.1,467.2,506.6,526.4,544.8,585.7,617.8,663.6,719.1,787.7,832.4,909.8,984.4
"9","2","Less: Exports of goods and services","B020RC1",5.9,4.4,2.9,2,2,2.6,2.8,3,4,3.8,4,4.9,5.5,4.4,4,4.9,6.8,14.2,18.7,15.5,14.5,12.4,17.1,16.5,15.3,15.8,17.7,21.3,24,20.6,22.7,27,27.6,29.1,31.1,35,37.1,40.9,43.5,47.9,51.9
"10","3","Plus: Imports of goods and services","B021RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5
"11","4","Equals: Gross domestic purchases","A712RC1",103.2,90.9,76.5,58.7,56.3,65.7,73.5,83.9,91.8,85.2,91.3,100,125.7,162.2,200.9,221.8,223.8,215,233.3,263.6,262,293,336.7,357.1,380,380,414.2,435.1,457,466.6,506.2,522.2,539.8,581.6,612.8,656.7,713.5,783.8,828.9,908.5,983
"12","5","Less: Change in private inventories","A014RC1",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2
"13","6","Equals: Final sales to domestic purchasers","A713RC1",101.7,91.1,77.6,61,57.7,66.2,72.4,82.8,89.2,85.7,91.1,97.6,121.4,160.3,201.6,222.7,225.3,209,233.8,258,264.7,287.2,326.8,353.6,378.1,381.9,409.3,431.1,456.2,467,502.3,519,536.9,575.5,607.2,651.9,704.3,770.2,819,899.4,973.8
"14",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","A190RC1",102.1,91.4,77.6,61.1,57.8,66.6,72.2,82.6,89.2,86.7,92,99,122.4,160,199.4,220.7,224.5,216.2,244.6,263.5,269.9,288,329.4,354.8,377.4,382.3,409.7,433.5,460.3,467.5,502.7,523.2,541.8,579.6,612.1,658.8,709.9,774.1,822.6,900.8,975.3
