"","Table 2#3#7# Percent Change from Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Quarters seasonally adjusted at annual rates]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2011 1:24:35 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Personal consumption expenditures (PCE)","DPCERV1",NA,3.3,7.7,10.3,4.5,4.2,6.3,-1.2,-3.1,-2.4,-2.3,-0.3,-0.6,1.9,8.6,7.3,13.3,3.2,0.5,5.4,1.7,-0.1,2.7,0.7,1.5,0.6,2.2,1.8,2,-0.5,-1.3,-0.4,1.3,0.4,1.6,1.1,1.7,2.7,4,2.4,3.7,2.5,3.3,2.1,5,0.7,0.3,-0.1,2.8,1.6,2.4,2.2,0.5,2.1,1.5,1.8,0.7,0,1.5,0.4,1.8,1.4,1,1.2,1.1,0.6,1.9,1.5,1.9,0.9,1.4,1.4,1.3,2,1.5,1.2,3.1,3.3,3.1,3.1,1.2,1.9,3.8,3.5,4.3,4.1,4.2,4.5,4
"10","2","Goods","DGDSRV1",NA,3.9,6.3,10.9,5.9,4.4,6.3,-2.9,-4.9,-4.5,-4.5,-2.3,-2.1,2.2,10.2,8.7,17.3,3.5,-0.5,4.9,1,-2.3,1.5,-1,-0.4,-1.1,0,0.1,1.8,-1.5,-2.8,-2,0.6,-0.3,1.3,0.1,1.1,3,4.4,2.3,3.6,3.1,3.2,1.4,6.7,0.2,-1,-1.9,2.7,0.5,1.3,1.1,-0.6,2,0.6,1.5,0.5,-1.6,1,-0.7,1.2,0.9,0.6,1.1,0.5,0,2.5,0.9,1.9,-0.1,0.8,1,0.9,2.3,1,0,3.7,2.9,2.5,2.3,-0.3,1,4.3,3.1,3.8,3.4,3.7,4.1,2.8
"11","3","  Durable goods","DDURRV1",NA,3.7,2.3,5.3,3.1,5.4,14.7,0.7,-1.3,-2.6,-4.8,-0.5,-1.2,3.1,5.7,6.8,15.6,2.7,0.2,3.9,2.8,-4.6,4.2,-9.1,3.9,0.5,-2.5,0.8,3.2,-9.7,-6.4,-2.3,2.5,2,3.9,1.1,1.5,0.9,5.9,5.3,3.3,5.6,0,0.8,7.3,-1.6,-0.4,-1.4,7.2,1.5,-0.1,-0.2,-0.6,-0.5,-1.2,-0.7,0.1,1.9,1.8,-0.5,0.1,0.5,1.3,-1.6,0.1,1.2,1.1,1.3,0.6,-0.2,-0.4,-0.8,0.1,-1.2,-2,-2.2,-0.5,1.7,1.8,1.8,-0.8,1.8,4.5,4.1,2.6,2.5,3.4,3.7,2.4
"12","4","    Motor vehicles and parts","DMOTRV1",NA,0.3,6.2,5.9,4.4,4.9,35,-3.2,1.7,1.1,-4.4,0.2,0.6,3.3,-0.6,0.9,13,2.8,1.3,16.5,10,-6.6,11.4,-22.7,12.2,0.6,-8.8,3,10.7,-20.2,-10.2,0.5,6.6,6.4,7.8,2.7,3.8,-0.7,11.2,7.9,8.8,9.1,-2.2,-0.8,15.1,-0.5,2.6,-2.1,20,2.7,-0.6,-0.4,-3.2,-2.7,-3.5,-2,0.2,4.8,5.2,-0.5,0.2,3.1,2.7,-3.1,0.2,2.6,2.1,1.3,1.3,-0.6,0.1,-1,1.4,-2.4,-2.8,-2.4,-1.2,2.1,1.2,0.8,-4.4,3.3,8.6,6.6,0,2,3.2,3.5,0.4
"13","5","    Furnishings and durable household equipment","DFDHRV1",NA,5.5,4,5.4,2.4,5.3,5.6,1.2,-6.3,-7.6,-3.5,-1,-2.1,4.9,13.4,15.2,19.6,5.4,-1.1,-1.3,-0.6,-4.2,1,-1.9,0.3,1.8,2.2,-0.1,-1.4,-0.4,-1.7,-3.2,-0.1,-0.2,1.3,0.1,-0.9,1.5,2.8,4.3,-0.5,2.1,0.9,1,2.2,-4.8,-2.2,0.3,0.6,2,0.6,0.1,1.3,1.2,0.6,0.6,0,0.6,-0.1,-0.2,0.2,-0.5,-0.4,0.1,-0.1,0.1,0.5,1.2,0.2,-0.2,-1.1,-0.9,-0.5,-0.2,-1,-0.3,0.5,1.6,3.3,3.1,1.4,1.5,2.9,2.6,6.2,4.4,3.1,3.5,3.7
"14","6","    Recreational goods and vehicles","DREQRV1",NA,5,-1.4,6.5,4.6,7.4,11.5,7.9,3.4,0.2,-3.4,0.9,-4.5,-2.3,5.9,3.9,10.4,-4.6,-3.6,-5.9,-2.9,-3.7,-0.4,-2.2,-2.7,0,2,-2.3,-2.5,-6.2,-6.9,-5.7,-0.9,-2.9,0.7,-0.8,1,2.7,3,4.3,0.8,6,4.2,5.2,5.6,1,-3.1,-4.5,-5.3,-2,0.1,0.1,1.8,1.5,0.5,-0.5,-0.9,-0.8,-1.2,-1.4,-1.1,-1,-0.9,-0.9,-0.2,0.8,0.7,-0.7,-3.3,-1.1,-1.1,-0.8,-0.7,-1.8,-2.1,-3.6,-0.7,-0.1,0.8,0.8,1.3,-0.3,-0.4,2.4,3,1.5,3,2.7,2.5
"15","7","    Other durable goods","DODGRV1",NA,4.7,-7.9,2.6,0.1,4.3,3.3,2.5,1,-1.4,-11.3,-1.9,-1.9,1.2,3.7,5.2,17.1,0.4,5.8,-3.7,-1.7,-0.7,0,4.9,-1.3,-2,2.4,0,0.9,-6.3,-7.8,-3.8,3.9,-0.8,0.6,0.5,1.2,1.8,2,0.7,-1.9,3.3,0.2,0.1,-1.4,2.3,-1.2,-0.5,2.2,0.4,-0.1,-0.3,0.9,0.4,0.2,-0.2,0.2,-1.2,-0.3,-0.3,0.7,-5,4.9,-1.1,1.4,-0.5,-0.5,4.1,5,3,0.4,0.6,-3,2.2,-1.2,-5.2,-0.4,3.7,1.3,4.1,3.3,0.2,2,1.9,1.8,0,5.7,6.9,6.7
"16","8","  Nondurable goods","DNDGRV1",NA,4,7.4,12.6,6.7,4.1,3.9,-4,-5.9,-5,-4.5,-3,-2.5,1.9,12,9.5,17.9,3.7,-0.8,5.1,0.4,-1.5,0.7,1.7,-1.7,-1.7,0.8,-0.1,1.3,1.3,-1.6,-1.9,0,-1.1,0.4,-0.2,1,3.8,3.9,1.2,3.8,2.2,4.3,1.6,6.5,0.8,-1.2,-2,1.2,0.1,1.7,1.5,-0.6,2.9,1.2,2.3,0.6,-2.8,0.7,-0.8,1.6,1.1,0.4,2.1,0.6,-0.4,3,0.8,2.4,-0.1,1.2,1.6,1.2,3.8,2.2,0.9,5.5,3.4,2.8,2.5,-0.1,0.6,4.3,2.7,4.2,3.8,3.9,4.2,3
"17","9","    Food and beverages purchased for off-premises consumption","DFXARV1",NA,1,8.8,15.3,4,1.9,2.6,-8.7,-5.4,-3.9,-4.4,-2.2,-3.9,3,14,8.5,24.8,3.9,-1.1,9.4,2,-0.1,2.3,-2.1,-5.6,-2.7,0.8,0.2,0.8,2.6,-4.1,-2.9,-0.5,-2.7,-1.4,-1.9,-0.4,5.2,4.3,0.9,3.7,1.5,5.7,1.3,12.3,3.5,-2.9,-1.9,-0.7,-2.3,0.9,-0.4,-0.9,5.2,-0.3,4,1.1,-2.9,-1.3,-1,3.9,0.9,0.6,1.7,1.7,-1.6,3.7,0.2,4.3,0.4,2.9,2.1,-0.8,5.8,3.1,-0.1,9.5,4.4,2,1.3,-4,-1.7,4.9,1.6,3.9,3.1,3.1,4.8,1.6
"18","10","    Clothing and footwear","DCLORV1",NA,8.1,3.9,8.2,8.5,6.6,2.3,0,-8.9,-7.9,-6.9,-5.2,-2.1,0.7,9.7,14.5,15.4,6.3,0.1,-1.4,-2.9,-7.2,-3.9,13.2,0.6,-7.2,-1.8,-1.8,4.7,-0.6,3.1,-2.1,-1.4,-0.4,1.8,-0.1,2.7,2.7,3.4,1.7,1.2,0.6,0.7,1.4,0.2,0.1,0,-0.2,1.5,1.2,1.8,0.9,0.9,2.1,1.5,0.8,0.2,-0.8,1.9,-0.2,-1.5,1.6,1.6,0.5,0.4,0.7,1.1,1.7,1.3,0.9,-0.3,-0.2,1.5,0.9,2.2,1.2,3.3,3.3,4.1,4.1,4.6,3.7,4.5,3.9,6.1,7.6,6.7,5.3,5.3
"19","11","    Gasoline and other energy goods","DGOERV1",NA,11.8,12.7,19.3,19.7,11,7.3,2.9,-1.3,-0.6,-0.7,-1.1,0.4,0.8,7.3,5,4.7,-0.9,-2.7,4.2,2.7,2,3,0.4,4.1,5.1,8.5,3.6,-0.2,0.2,-2.2,-1,2.2,2.1,3.6,2.1,1.9,2.6,8.1,2.8,8.6,4.8,-0.6,-0.2,1.7,-8.1,2.4,-6.5,7.4,3.2,-0.3,9.2,-4.6,0,8.8,1,-0.3,-10.2,9.4,-2.4,-1.4,2.5,-1.3,9.3,-3.7,-4.7,4.2,-1.2,-1.3,-4.1,-0.7,4.8,7.1,3.8,1.2,4.4,0.3,0.9,5.1,5.1,2.9,2.9,2.3,1.2,2.8,-0.6,3.8,1.2,4.7
"20","12","    Other nondurable goods","DONGRV1",NA,3.5,5.4,7.5,6,3.6,8.6,0.5,-6,-6.9,-3.6,-3.3,-0.7,0.9,12.3,8.6,11.2,2.6,-0.2,2.6,-1,-0.3,0.8,-0.2,3.2,4.2,-0.4,-1.1,0,0.9,0.5,0.7,1.6,0.2,1.5,2.4,2,2.1,1,0.6,3.5,3.9,7.9,3.9,1.9,0.4,-0.1,-1.2,2.1,3.1,4.9,2.1,1.2,0.1,0.1,0.4,0.5,0.2,-0.2,0.1,1.2,0.1,-0.3,0.7,0.7,3.4,2.6,2.3,1.6,0.2,0.2,0.8,2.1,2.6,1,1,2.2,2.8,2.4,2.3,2.1,1.4,3.9,4.6,3.9,4.3,3,3.7,2.8
"21","13","Services","DSERRV1",NA,2.2,9.9,9.4,2.4,4,6.1,1.5,-0.3,0.9,1.3,2.9,1.7,1.5,6.2,5.2,7.5,3,2.2,6.2,2.8,3.2,4.3,3.1,4.3,3.1,5.4,4,2.3,0.8,0.7,1.8,2.4,1.5,1.9,2.5,2.3,2.3,3.4,2.5,3.7,1.9,3.4,2.9,2.9,1.4,1.9,2,3,2.9,3.8,3.5,1.8,2.2,2.7,2.1,1,1.8,2,1.7,2.4,2,1.5,1.3,1.9,1.2,1.3,2.1,2,2,2,1.8,1.7,1.7,2,2.6,2.6,3.7,3.7,4,2.8,2.9,3.1,3.8,4.9,4.9,4.7,4.9,5.2
"22","14","  Household consumption expenditures (for services)","DHCERV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,3.6,3.7,2.5,2.8,3.1,2.2,0.9,1.6,1.9,1.7,2.5,2,1.5,1.3,1.8,1.1,1.4,2.1,2,2.1,2,1.8,1.6,1.6,2.1,2.5,2.5,3.7,3.7,4,2.9,2.9,3.1,3.9,4.9,4.9,4.7,4.9,5.1
"23","15","    Housing and utilities","DHUTRV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.2,2.7,1.5,1.3,1.9,1.5,0.9,2,1,0.2,1.7,0.6,1.6,0.4,1.6,1.1,0.4,1.6,0.3,1.2,1.2,0.5,0.7,0.9,0.8,1.5,1.7,1.5,0.7,2.4,2,1.3,1.7,2.2,2.3,2.7,2.3,3,2.9
"24","16","    Health care","DHLCRV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,4.4,8.2,3.8,11.4,8.3,4.5,-0.8,-1.2,0.7,1.8,3.3,4.1,3.1,3.5,2,2.2,3.8,2.5,4.4,3.2,3.1,4.2,2.6,3.3,2.4,2.9,4.1,5.8,6.7,7.3,6.2,5.4,6.6,6.4,6.6,6,5.9,6.7,7.1
"25","17","    Transportation services","DTRSRV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.1,2,2.5,0.7,2.3,3.4,3.3,3.8,2.5,1.6,2.3,3.2,1.2,-0.2,-0.2,0.3,0.5,1.2,2.8,0.5,1.1,1.4,1.7,2.6,1.9,2.2,-0.4,1.3,4.7,4.3,3.3,4,3.9,3.3,5.2,5.1,4.2,6,6.7
"26","18","    Recreation services","DRCARV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,6.7,5,2.6,1.9,3.2,2,3.9,1.9,3,2.8,2.3,2.1,1.8,2.6,0.8,2.3,3.8,3.9,2.4,1.8,3.5,1.5,1.5,2.3,2.4,1.3,3.5,3.5,1.2,4,2.8,3.7,4.8,6.3,6.6,4.6,4.9,3.6,3.7
"27","19","    Food services and accommodations","DFSARV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,4.2,2.5,3.7,1.1,1.4,0.9,2.4,2.6,2.6,3,1.7,2.6,2.9,2.2,2.5,2,0.5,2.6,1.4,2.3,0.4,0.9,2.7,1.3,3.6,4,2.6,4.8,5.8,5.2,6.5,5.9,4.1,5,5.1,5.3,6.2,5.4,5.2
