"","Table 6#19C# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 8:54:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Corporate profits after tax","A055RC0",192658,248293,244385,266263,286795,325713,347989,405890,466458,509268,556342,474522,521730,507379
"9","2","Domestic industries","A3202C0",144646,191309,177256,190175,210326,252623,271059,327924,373511,407297,448786,371760,400214,361755
"10","3","  Agriculture, forestry, and fishing","A3203C0",1382,1274,1073,1069,677,1456,1310,978,1450,2512,2676,2710,4233,4261
"11","4","    Farms","B3204C0",522,595,752,645,340,852,769,136,323,1093,1330,110,1027,960
"12","5","    Agricultural services, forestry, and fishing","B3205C0",860,679,320,423,337,603,542,842,1128,1419,1346,2600,3206,3301
"13","6","  Mining","A3206C0",-2460,-415,-106,1041,-5,990,774,2678,3382,6809,8951,-51,-1031,8400
"14","7","    Metal mining","B3207C0",-662,271,-156,-202,-165,-148,-550,359,152,-962,-439,-810,-935,-641
"15","8","    Coal mining","B3208C0",291,628,616,457,260,150,-83,351,70,404,119,-325,-301,-239
"16","9","    Oil and gas extraction","B3209C0",-2738,-2010,-1122,345,-417,608,1331,1277,2470,6731,8399,-11,1827,9650
"17","10","    Nonmetallic minerals, except fuels","B3210C0",649,696,556,441,316,380,76,690,690,636,872,1094,-1622,-371
"18","11","  Construction","B3211C0",8596,9997,9504,8920,6570,6536,8491,11812,15015,19262,22931,29109,34286,35165
"19","12","  Manufacturing","A3212C0",48720,76895,65291,66772,49960,54922,64783,89880,112440,110304,123360,93833,97013,91788
"20","13","    Durable goods","A3213C0",25018,36045,32961,24612,16158,22943,31873,46517,49549,49795,59014,45972,42220,32013
"21","14","      Lumber and wood products","B3214C0",3654,3046,3091,1721,1045,2544,3446,3635,4321,2397,2590,2862,4339,2387
"22","15","      Furniture and fixtures","B3215C0",1050,844,595,566,710,1018,1508,1450,1539,2084,2544,2538,2707,2174
"23","16","      Stone, clay, and glass products","B3216C0",1423,978,835,1002,339,1263,1386,2973,3770,3328,5306,4972,5719,4291
"24","17","      Primary metal industries","B3217C0",2742,5862,4459,2082,-124,-778,-547,2152,5671,3433,4431,3565,1020,679
"25","18","      Fabricated metal products","B3218C0",3646,5218,4650,4271,3546,4465,5468,8753,9467,10640,12867,12290,12318,12263
"26","19","      Industrial machinery and equipment","B3219C0",2402,8134,9232,8336,2538,3496,3241,4260,7858,7660,8671,8328,3136,7154
"27","20","      Electronic and other electric equipment","B3220C0",3098,4423,4948,3559,5573,5316,8351,13488,11878,8957,10867,1547,-1347,-4128
"28","21","      Motor vehicles and equipment","B3221C0",1437,3036,700,-3374,-5399,-2032,3086,4518,-1985,908,692,1010,2500,-4315
"29","22","      Other transportation equipment","B3222C0",4486,2034,2004,2699,4140,3651,3094,2136,2337,3980,4540,4161,6697,5411
"30","23","      Instruments and related products","B3223C0",294,1285,1231,2201,2242,2195,999,704,2304,4076,3209,1949,1188,2497
"31","24","      Miscellaneous manufacturing industries","B3224C0",785,1186,1217,1548,1549,1806,1841,2447,2389,2332,3298,2749,3944,3599
"32","25","    Nondurable goods","A3225C0",23702,40849,32330,42160,33801,31979,32911,43363,62892,60508,64346,47861,54793,59775
"33","26","      Food and kindred products","B3226C0",5925,4964,4431,8490,11306,11473,10923,12789,20572,14744,15815,13626,16549,17419
"34","27","      Tobacco products","B3227C0",806,3669,869,1789,1281,1393,990,739,847,883,885,332,1162,426
"35","28","      Textile mill products","B3228C0",1415,867,776,797,962,2329,1994,1752,1359,1529,1716,1797,1433,662
"36","29","      Apparel and other textile products","B3229C0",1334,1329,1543,1401,1688,2255,2088,2190,1749,1719,1833,1643,1391,1932
"37","30","      Paper and allied products","B3230C0",4111,6483,5919,4443,2644,1875,2277,3781,10334,6341,3563,3653,4969,6866
"38","31","      Printing and publishing","B3231C0",4736,4201,3967,3785,5430,7278,6639,8213,6109,7725,7566,7920,11686,7717
"39","32","      Chemicals and allied products","B3232C0",7673,11935,10792,9202,8383,8147,8052,12953,15918,14169,17657,12509,11473,3797
"40","33","      Petroleum and coal products","B3233C0",-3929,5600,1986,10528,157,-5104,-2628,-2217,2461,9072,10496,1261,1318,18898
"41","34","      Rubber and miscellaneous plastics products","B3234C0",1247,1377,1624,1238,1383,1866,2324,3169,3206,4120,4475,4846,4577,1839
"42","35","      Leather and leather products","B3235C0",385,423,423,486,567,468,253,-6,337,206,339,275,234,219
"43","36","  Transportation and public utilities","A3236C0",24428,28357,24709,26184,32158,37656,45617,56693,57320,62578,55561,46419,23082,15320
