"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 26, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2011 9:29:35 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9",NA,"Current dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","  Gross domestic product","A939RC0",1657,1672,1692,1752,1786,1826,1863,1863,1820,1788,1790,1765,1824,1879,1986,2052,2145,2187,2221,2239,2251,2248,2279,2350,2385,2399,2382,2339,2325,2320,2339,2381,2451,2491,2532,2559,2562,2586,2604,2644,2686,2686,2717,2676,2622,2636,2703,2766,2815,2877,2870,2879,2933,2918,2921,2879,2891,2940,2984,3043,3105,3132,3156,3161,3199,3235,3290,3328,3402,3439,3487,3502,3596,3650,3726,3828,3937,3974,4029,4086,4131,4144,4206,4273,4399,4510,4574,4645,4758
"11","2","  Gross national product","A791RC0",1663,1679,1700,1761,1795,1836,1873,1873,1830,1797,1798,1773,1832,1888,1996,2062,2155,2199,2234,2253,2264,2261,2291,2362,2397,2412,2394,2350,2338,2332,2352,2395,2466,2506,2547,2574,2579,2603,2621,2659,2704,2706,2735,2691,2637,2651,2718,2781,2829,2892,2886,2896,2949,2934,2938,2897,2910,2959,3003,3062,3124,3154,3178,3187,3223,3258,3314,3352,3428,3465,3514,3526,3624,3679,3753,3852,3963,3999,4054,4113,4157,4169,4234,4301,4428,4540,4605,4676,4789
"12","3","  Personal income","A792RC0",1310,1290,1340,1357,1387,1422,1457,1451,1404,1389,1378,1377,1468,1468,1520,1575,1627,1668,1681,1708,1714,1732,1768,1798,1821,1839,1831,1818,1811,1801,1805,1830,1858,1898,1934,1955,1978,2005,2025,2060,2075,2093,2108,2096,2091,2096,2134,2150,2178,2218,2221,2243,2261,2279,2282,2279,2292,2316,2344,2382,2409,2441,2456,2477,2496,2514,2541,2580,2622,2661,2700,2736,2783,2823,2885,2942,2997,3038,3096,3153,3198,3226,3285,3333,3422,3511,3591,3656,3719
"13","4","  Disposable personal income","A229RC0",1176,1155,1203,1213,1241,1293,1333,1326,1284,1275,1269,1272,1358,1352,1396,1427,1468,1497,1501,1517,1516,1529,1562,1589,1610,1629,1624,1613,1623,1616,1621,1644,1666,1701,1733,1749,1767,1789,1806,1836,1848,1865,1880,1871,1870,1879,1911,1926,1946,1980,1980,1998,2009,2024,2025,2023,2038,2060,2087,2121,2143,2167,2176,2192,2209,2226,2253,2290,2340,2402,2432,2460,2488,2522,2592,2644,2683,2704,2751,2795,2839,2868,2914,2952,3029,3104,3133,3181,3211
"14","5","  Personal consumption expenditures","A794RC0",1092,1114,1133,1156,1170,1191,1206,1206,1193,1200,1190,1201,1214,1235,1320,1297,1366,1333,1344,1363,1366,1387,1397,1442,1459,1465,1463,1453,1459,1470,1479,1501,1533,1558,1576,1593,1595,1605,1616,1640,1659,1666,1685,1687,1678,1689,1710,1724,1761,1789,1810,1814,1819,1845,1837,1840,1835,1855,1863,1895,1916,1940,1953,1979,1991,2007,2036,2053,2097,2132,2170,2176,2225,2255,2295,2359,2406,2426,2465,2487,2503,2542,2572,2602,2687,2749,2822,2859,2914
"15","6","    Goods","AGDSRC0",668,683,695,713,721,732,740,736,723,727,719,728,734,744,816,785,832,794,798,810,805,815,813,848,855,851,840,832,831,833,832,847,870,890,902,904,898,900,902,915,928,928,939,931,920,920,931,940,964,977,983,974,974,989,980,974,962,969,973,989,1000,1009,1014,1028,1036,1041,1054,1056,1082,1101,1125,1115,1151,1163,1186,1227,1259,1258,1280,1281,1280,1303,1309,1320,1372,1401,1445,1453,1480
"16","7","      Durable goods","A795RC0",145,148,151,162,162,164,172,169,165,177,183,189,194,197,246,218,232,200,195,196,197,198,187,213,222,220,216,210,204,208,204,214,234,247,256,249,237,237,235,245,250,247,244,240,228,222,226,232,248,257,261,247,253,257,254,246,231,236,242,252,257,263,265,275,279,285,288,293,304,310,319,308,336,334,343,354,369,355,367,368,359,375,375,379,404,414,436,436,446
"17","8","      Nondurable goods","A796RC0",523,535,544,551,559,568,568,567,558,550,537,539,540,547,570,567,600,594,602,614,607,617,626,635,634,631,624,622,627,625,628,632,636,643,645,655,661,663,667,671,678,682,695,690,692,697,705,708,716,719,722,726,721,732,727,728,730,732,731,736,743,745,749,754,757,756,766,763,778,791,806,808,815,829,843,873,889,903,913,913,921,927,933,941,968,987,1009,1017,1034
"18","9","    Services","A797RC0",424,431,438,443,449,459,466,470,471,472,471,473,479,491,505,512,533,539,546,553,561,572,584,594,604,614,623,621,628,637,647,654,663,668,675,689,697,704,715,725,731,738,746,756,758,769,779,784,797,812,827,840,845,856,857,866,874,887,890,906,917,931,939,950,955,966,982,997,1015,1031,1045,1061,1074,1092,1109,1131,1147,1168,1184,1206,1222,1240,1263,1282,1315,1348,1378,1406,1434
"19",NA,"Chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","10","  Gross domestic product","A939RX0",12380,12305,12239,12367,12509,12689,12702,12663,12433,12338,12424,12251,12692,13032,13484,13660,13777,13950,14163,14120,14203,14163,14197,14599,14815,14872,14715,14414,14285,14245,14340,14556,14913,15099,15232,15243,15109,15166,15077,15247,15275,15176,15254,15025,14563,14597,14874,15151,15396,15724,15638,15624,15847,15717,15677,15406,15437,15665,15852,16106,16336,16459,16547,16520,16681,16836,17088,17151,17482,17627,17802,17788,18175,18371,18681,19070,19490,19504,19572,19670,19795,19750,19852,19948,20316,20613,20698,20732,21015
"21","11","  Gross national product","A791RX0",12447,12375,12309,12440,12589,12773,12786,12746,12513,12415,12498,12319,12764,13108,13572,13748,13861,14048,14264,14226,14303,14263,14295,14695,14910,14972,14804,14503,14380,14339,14435,14662,15021,15205,15338,15351,15227,15283,15195,15352,15397,15306,15378,15125,14665,14700,14974,15249,15493,15821,15742,15733,15952,15824,15787,15521,15558,15780,15969,16225,16454,16587,16676,16667,16821,16971,17224,17292,17634,17773,17951,17927,18332,18533,18832,19207,19631,19645,19710,19814,19936,19888,20003,20093,20465,20765,20854,20886,21170
"22","12","  Disposable personal income","A229RX0",8512,8293,8484,8346,8446,8705,8841,8824,8606,8598,8612,8634,9237,9155,9257,9300,9266,9373,9390,9363,9318,9398,9543,9687,9779,9878,9793,9686,9701,9667,9731,9876,9981,10181,10326,10395,10458,10518,10514,10629,10601,10629,10632,10524,10395,10424,10593,10678,10718,10863,10798,10834,10882,10903,10866,10811,10866,10987,11091,11261,11327,11413,11432,11480,11537,11610,11696,11844,12043,12331,12445,12545,12650,12755,13063,13284,13376,13372,13500,13613,13782,13861,13954,14017,14231,14435,14425,14481,14476
"23","13","  Personal consumption expenditures","A794RX0",7904,7999,7988,7953,7959,8019,7997,8023,8001,8091,8075,8156,8256,8362,8754,8452,8622,8345,8404,8413,8397,8528,8533,8794,8865,8886,8825,8725,8720,8798,8876,9019,9183,9321,9394,9466,9441,9434,9412,9494,9519,9497,9529,9491,9327,9367,9480,9561,9699,9810,9870,9838,9853,9942,9861,9830,9788,9896,9902,10058,10128,10217,10260,10364,10399,10465,10567,10614,10790,10946,11106,11098,11314,11408,11565,11851,11996,11996,12096,12109,12150,12286,12314,12355,12623,12788,12993,13017,13136
"24","14","    Goods","AGDSRX0",2841,2879,2885,2883,2875,2889,2874,2879,2863,2914,2916,2968,3012,3034,3247,3062,3117,2947,2966,2976,2949,3003,2987,3124,3153,3148,3107,3074,3059,3076,3094,3165,3249,3327,3358,3366,3336,3318,3289,3319,3336,3311,3323,3282,3192,3189,3236,3283,3346,3386,3398,3355,3362,3397,3361,3326,3281,3318,3326,3385,3413,3434,3447,3487,3508,3526,3548,3546,3617,3681,3753,3713,3823,3840,3906,4043,4109,4078,4124,4103,4103,4165,4141,4145,4268,4322,4416,4397,4447
"25","15","      Durable goods","A795RX0",351,356,360,381,378,379,384,376,368,398,416,430,445,447,550,480,493,421,411,408,409,415,389,454,467,463,458,443,427,446,446,471,511,537,552,535,508,507,495,509,516,502,496,488,454,445,452,467,490,507,514,488,499,509,503,488,459,467,476,497,506,518,520,541,550,559,564,571,591,605,623,601,655,655,675,701,733,701,722,720,704,733,725,725,768,783,816,809,822
