"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"1","[Millions of chained (2005) dollars];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 27, 2011      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2011 2:05:27 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","S1 QN04472AMG       Retail and food services","T060010",696911,705127,714953,722296,728000,737751,743091,750366,758251,757566,774993,778866,790232,810204,809595,833967,850079,859078,870361,887001,900548,895791,901403,903354,907096,912507,910192,949734,940610,940658,951065,953096,955995,976475,998394,1003137,1013327,1015529,1028407,1043098,1051013,1065387,1066092,1068766,1098501,1092966,1093817,1113712,1113539,1108618,1113810,1115611,1097373,1086540,1052415,1020659,1017899,1010998,1014536,1023124,1037706,1052794,1060566,1088242,1098297
"10","2","S1 QN44ZZZZMG Retail trade","T060020",618242,625735,635051,642464,647987,657133,662077,668297,675200,674464,690491,695042,705312,724057,723153,746027,762673,770830,781949,796366,808304,803240,808610,810965,813533,819520,817107,856174,846036,845742,856055,858229,860513,879132,899271,903358,912567,914896,927112,941032,948331,961336,962085,963940,991025,986658,987240,1005648,1006861,1000389,1003149,1007013,990692,980810,947657,918822,917684,911697,916633,924985,938230,953649,960621,987861,996347
"11","3","S1 QN441ZZZMG   Motor vehicle and parts dealers","T060030",151395,155580,159681,160722,165457,165893,166990,168618,171737,168785,175389,175489,176696,185938,178951,189723,193835,199012,204683,205956,215205,206613,206771,202536,204737,207188,203191,228354,209931,208111,217634,212223,214480,219835,226933,225795,225768,223030,229810,233629,229487,233444,233281,220669,230579,226419,228474,232821,232477,230906,230145,230605,221344,208550,192890,176294,175383,171407,177828,179071,179009,184422,185562,199558,205498
"12","4","S4 QN4411ZZMG     Automobile dealers","T060040",130037,133696,137119,138182,142722,142657,143298,144361,147051,144144,150072,150128,150701,159448,152087,162417,166143,170616,175974,176426,184386,177025,176947,172856,175968,177553,173922,198554,179503,177941,187269,182296,184123,188221,193916,192095,191617,188907,195378,198327,193552,197003,197732,184867,193418,190404,192844,196002,196004,194172,193250,194261,186417,173944,159143,144332,143251,140088,145515,146478,146919,151773,152874,166519,172576
"13","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",7001,7209,7622,7282,7262,7537,7901,8115,8308,8182,8547,8684,9084,9374,9831,10103,10242,10682,10805,11309,12734,11716,11752,11994,11917,12497,12264,12806,13354,12961,13156,12920,13348,14335,15425,15949,16254,16230,16560,17005,17302,17883,17244,16991,17959,17433,17006,18207,17938,18043,17984,17683,16823,16150,15355,13562,13975,13558,14862,15383,14718,15114,14847,15088,15302
"14","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",14467,14787,15055,15376,15569,15816,15919,16292,16528,16638,16931,16835,17093,17246,17234,17332,17570,17823,17979,18330,18138,17956,18173,17792,16866,17167,17047,16870,17091,17238,17192,17006,17008,17282,17594,17754,17898,17895,17871,18297,18638,18561,18307,18800,19190,18574,18626,18614,18543,18685,18898,18686,18133,18349,18130,17956,17702,17310,17089,16879,17033,17232,17513,17761,17540
