"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 24, 2011     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/23/2011 9:47:10 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","Gross domestic product","B191RA3",33.721,33.786,34.92,36.775,38.905,38.691,38.609,40.68,42.55,44.924,46.328,46.2,47.373,46.453,48.552,52.041,54.194,56.071,57.866,60.244,62.397,63.568,63.419,65.571,67.441,70.188,71.953,74.645,77.972,81.367,85.295,88.825,89.783,91.412,93.688,97.036,100,102.673,104.672,104.672,101.917,104.825
"9","2","Less: Exports of goods and services","B020RA3",12.14,13.445,13.674,14.7,17.471,18.852,18.732,19.55,20.021,22.132,24.326,26.946,27.277,25.193,24.543,26.546,27.352,29.451,32.619,37.844,42.193,45.989,49.042,52.41,54.127,58.847,64.805,70.186,78.55,80.343,83.849,91.054,85.946,84.224,85.574,93.698,100,108.962,119.106,126.255,114.228,127.623
"10","3","Plus: Imports of goods and services","B021RA3",11.189,11.666,12.289,13.672,14.306,13.982,12.428,14.858,16.483,17.911,18.208,16.999,17.446,17.226,19.4,24.122,25.687,27.883,29.532,30.693,32.045,33.191,33.142,35.466,38.532,43.129,46.58,50.631,57.45,64.165,71.55,80.871,78.596,81.27,84.857,94.231,100,106.086,108.951,106.113,91.418,102.972
"11","4","Equals: Gross domestic purchases","B712RA3",32.622,32.572,33.731,35.594,37.356,36.87,36.464,38.838,40.898,43.134,44.183,43.332,44.492,43.899,46.465,50.485,52.73,54.661,56.271,58.07,59.807,60.658,60.134,62.193,64.313,67.18,68.775,71.417,74.79,78.885,83.385,87.428,88.508,90.619,93.175,96.942,100,102.579,103.913,102.756,99.045,102.264
"12","5","Plus: Exports of goods and services, command basis \1\","C020RA3",17.633,19.241,19.298,20.789,26.427,31.861,31.917,32.54,32.486,35.576,40.263,44.444,44.242,38.848,36.71,38.71,37.597,38.994,42.933,50.645,55.308,58.321,61.019,63.414,64.124,69.062,76.169,79.957,86.652,86.026,87.836,94.694,87.38,84.069,85.269,93.812,100,109.032,119.637,128.625,110.334,126.752
"13","6","Less: Imports of goods and services, command basis \1\","C021RA3",11.036,11.564,12.297,14.016,16.274,20.637,18.176,21.17,23.937,26.004,28.451,29.933,29.642,26.766,28.031,33.378,33.427,35.479,38.641,40.68,41.813,42.811,41.045,42.923,45.323,50.166,54.497,57.171,61.691,64.758,71.505,82.242,76.537,77.148,81.453,92.026,100,106.87,110.079,114.686,88.393,104.5
"14","7","Equals: Command-basis gross domestic product \1,2\","C191RA3",34.522,34.551,35.663,37.51,39.593,38.952,38.914,41.004,42.737,45.089,46.29,45.573,46.8,46.081,48.372,51.965,54.214,56.062,57.723,60.092,62.228,63.27,63.286,65.407,67.342,70.109,71.832,74.589,78.117,81.892,85.753,89.009,90.308,92.108,94.24,97.409,100,102.551,104.543,103.534,101.917,104.424
"15","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RA3",9.11,9.418,9.78,10.879,14.872,17.085,14.686,16.041,17.272,20.052,27.223,28.513,30.378,31.551,30.751,35.531,31.878,30.772,33.011,39.398,44.354,45.35,39.166,34.526,34.576,40.177,48.986,51.593,57.793,58.789,64.597,75.061,62.549,59.843,65.908,81.202,100,121.716,142.809,133.361,100.273,110.935
"16","9","Less: Income payments to the rest of the world, command basis \1\","C655RA3",5.275,5.691,5.393,6.212,8.309,9.865,9.478,9.261,9.453,12.879,17.46,19.494,23.488,24.258,23.55,30.044,29.323,31.174,34.036,40.131,45.594,44.636,38.772,33.593,33.27,42.052,51.356,54.122,63.752,66.508,71.014,81.418,63.214,60.772,63.933,77.897,100,131.844,147.623,127.184,92.704,97.971
"17","10","Equals: Command-basis gross national product \1,3\","CB22RA3",34.471,34.499,35.63,37.481,39.65,39.055,38.924,41.067,42.835,45.166,46.509,45.78,46.933,46.243,48.507,52.045,54.139,55.854,57.497,59.906,62.046,63.16,63.117,65.206,67.141,69.811,71.569,74.319,77.74,81.428,85.352,88.665,90.072,91.827,94.098,97.409,100,102.319,104.655,103.992,102.188,104.959
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Command-basis net domestic product \4\","C362RA3",36.691,36.558,37.731,39.749,41.968,40.993,40.773,43.08,44.916,47.442,48.555,47.408,48.596,47.453,49.933,53.88,56.129,57.937,59.525,61.96,64.11,64.99,64.741,66.962,68.908,71.758,73.334,76.035,79.532,83.198,86.872,89.819,90.668,92.277,94.339,97.529,100,102.387,104.095,102.484,100.389,103.032
"20","12","  Net domestic product","A362RA3",35.774,35.686,36.887,38.915,41.191,40.723,40.451,42.736,44.737,47.292,48.647,48.197,49.32,47.933,50.184,54.008,56.142,57.983,59.723,62.171,64.337,65.365,64.921,67.178,69.05,71.877,73.501,76.124,79.394,82.624,86.372,89.63,90.087,91.495,93.714,97.103,100,102.53,104.242,103.761,100.363,103.451
"21","13","  Command-basis net national product \4\","C027RA3",36.624,36.49,37.685,39.708,42.027,41.109,40.782,43.151,45.029,47.53,48.813,47.654,48.755,47.65,50.095,53.973,56.04,57.692,59.258,61.742,63.895,64.86,64.543,66.727,68.672,71.409,73.027,75.72,79.093,82.66,86.408,89.423,90.398,91.957,94.177,97.527,100,102.124,104.227,103.011,100.705,103.641
"22","14","  Net national product","A027RA3",35.733,35.644,36.863,38.896,41.266,40.863,40.48,42.82,44.86,47.387,48.913,48.459,49.487,48.139,50.352,54.11,56.058,57.747,59.463,61.959,64.121,65.229,64.721,66.948,68.807,71.519,73.182,75.796,78.949,82.088,85.91,89.235,89.818,91.183,93.557,97.106,100,102.264,104.37,104.288,100.691,104.078
"23",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","    Real gross domestic product","A191RL1",3.1,0.2,3.4,5.3,5.8,-0.6,-0.2,5.4,4.6,5.6,3.1,-0.3,2.5,-1.9,4.5,7.2,4.1,3.5,3.2,4.1,3.6,1.9,-0.2,3.4,2.9,4.1,2.5,3.7,4.5,4.4,4.8,4.1,1.1,1.8,2.5,3.6,3.1,2.7,1.9,0,-2.6,2.9
"25","16","    Command-basis gross domestic product","C191RL1",3.1,0.1,3.2,5.2,5.6,-1.6,-0.1,5.4,4.2,5.5,2.7,-1.5,2.7,-1.5,5,7.4,4.3,3.4,3,4.1,3.6,1.7,0,3.4,3,4.1,2.5,3.8,4.7,4.8,4.7,3.8,1.5,2,2.3,3.4,2.7,2.6,1.9,-1,-1.6,2.5
