"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2011 9:36:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Personal consumption expenditures","DPCERG3",10.513,10.068,8.991,7.93,7.649,7.995,8.19,8.265,8.566,8.372,8.291,8.361,8.879,9.984,10.902,11.529,11.989,12.825,14.126,14.925,14.811,14.989,16.009,16.337,16.555,16.697,16.764,17.1,17.62,18.035,18.305,18.606,18.801,19.023,19.245,19.527,19.81,20.313,20.824,21.636,22.616
"9","2","Goods","DGDSRG3",16.29,15.424,13.3,11.461,11.368,12.489,12.816,12.865,13.328,12.791,12.599,12.71,13.751,16.023,17.863,19.052,19.922,21.443,24.024,25.443,24.853,24.933,26.944,27.204,27.08,26.979,26.821,27.277,28.13,28.77,28.917,29.144,29.253,29.404,29.648,29.971,30.286,30.953,31.499,32.597,33.86
"10","3","  Durable goods","DDURRG3",28.502,26.834,23.96,21.111,20.598,21.835,21.712,21.836,22.736,22.719,22.444,22.67,24.348,28.503,31.091,34.951,36.969,38.496,41.87,44.011,44.312,44.538,47.522,47.818,47.443,46.403,46.224,47.338,49.08,49.971,50.765,50.573,50.701,50.919,51.114,51.344,50.923,50.812,51.628,53.282,54.785
"11","4","    Motor vehicles and parts","DMOTRG3",11.946,11.508,10.735,10.074,9.444,9.891,9.745,9.791,10.037,10.435,10.196,10.212,11.101,14.221,14.978,16.087,16.347,20.462,22.484,24.221,25.069,25.139,26.425,27.513,26.993,26.059,26.361,27.558,29.295,30.403,31.911,31.314,31.491,32.004,32.256,32.519,32.253,32.035,32.472,33.591,34.267
"12","5","      New motor vehicles (55)","DNMVRG3",18.129,17.608,16.802,15.761,14.24,15.077,14.838,14.957,15.239,15.999,15.597,15.637,16.805,19.998,21.255,23.89,18.637,21.844,24.75,27.065,29.647,29.845,31.118,33.977,34.261,34.813,31.477,33.147,35.055,36.325,37.903,37.413,37.421,37.269,37.046,36.95,36.123,35.457,35.784,36.796,37.371
"13","6","      Net purchases of used motor vehicles (56)","DNPVRG3",0.429,0.447,0.552,0.658,0.627,0.567,0.458,0.394,0.418,0.535,0.51,0.773,1.499,2.725,2.935,3.121,3.4,6.932,7.443,8.023,6.456,6.156,6.345,5.273,4.106,1.433,7.607,7.795,8.908,9.555,10.737,10.333,11.043,12.545,13.495,14.504,14.943,15.451,15.857,16.868,17.406
"14","7","      Motor vehicle parts and accessories (58)","DMVPRG3",37.451,34.846,29.788,27.435,27.994,28.814,29.052,29.191,30.719,30.114,29.719,28.146,28.552,32.718,33.682,36.044,36.099,36.947,38.283,39.043,38.949,40.026,45.222,45.14,44.523,43.56,43.671,44.223,44.606,44.735,44.446,43.091,41.831,41.922,42.603,42.631,44.249,45.169,46.275,47.973,49.526
"15","8","    Furnishings and durable household equipment","DFDHRG3",24.634,23.688,21.038,18.156,18.208,19.678,19.803,19.938,21.271,20.888,20.732,20.933,22.501,26.014,29.744,34.169,37.074,37.213,39.831,41.508,40.524,41.234,45.442,44.986,45.064,44.851,44.519,44.886,45.641,45.546,45.574,45.976,46.131,46.076,46.098,46.149,45.852,46.232,47.272,49.128,50.883
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRG3",19.619,18.863,16.447,13.78,14.276,15.694,15.514,15.879,17.37,16.807,16.686,17.178,18.858,22.01,25.517,29.732,32.782,32.893,35.083,36.502,35.203,36.248,40.67,39.757,39.741,39.566,39.487,40.259,41.212,41.273,41.289,41.942,42.419,42.519,42.629,42.794,42.812,43.596,45.002,46.723,48.585
"17","10","      Household appliances (part of 33)","DAPPRG3",61.915,59.159,54.669,47.378,44.614,45.022,44.308,44.967,46.586,46.762,46.159,44.504,46.772,53.853,59.766,63.713,67.307,67.167,73.872,78.031,75.759,74.814,80.167,80.107,79.555,78.307,75.755,72.266,71.269,69.531,69.357,68.412,67.015,65.468,64.228,63.51,62.02,60.981,61.03,62.318,63.687
"18","11","      Glassware, tableware, and household utensils (34)","DUTERG3",13.605,13.204,11.971,11.165,10.915,12.095,13.172,12.405,12.6,12.596,12.602,12.608,12.897,14.528,16.344,18.432,19.165,19.034,19.505,19.851,20.531,21.274,23.294,23.852,24.459,24.794,25.266,27.354,28.831,29.654,29.646,30.577,30.956,31.754,32.816,33.421,33.408,34.117,35.114,37.844,39.42
"19","12","      Tools and equipment for house and garden (35)","DTOORG3",25.366,24.309,21.438,19.162,19.066,21.092,21.156,21.392,23.264,22.931,22.636,23.147,25.174,28.624,31.047,34.022,35.623,37.574,41.558,43.403,42.272,43.088,47.283,46.463,47.108,47.627,48.783,50.783,52.845,54.013,55.545,55.925,57.53,58.499,58.777,58.364,57.322,56.254,56.143,58.441,60.766
"20","13","    Recreational goods and vehicles","DREQRG3",203.641,169.626,134.45,110.509,103.062,106.919,105.803,104.616,107.277,106.848,104.313,105.93,108.131,123.146,123.323,134.212,137.9,141.37,163.182,172.637,179.146,177.569,181.246,174.947,172.724,167.176,161.959,163.788,169.564,174.207,169.191,170.344,169.432,167.575,167.24,165.214,162.937,161.129,162.104,165.285,169.092
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRG3",1203.671,935.944,674.614,506.477,462.801,494.802,487.162,481.637,492.848,480.594,463.253,469.224,482.19,571.658,572.918,622.27,625.816,636.641,773.193,818.35,856.796,850.292,847.908,786.148,763.197,726.121,692.088,695.081,719.277,733.83,701.399,702.212,690.831,670.293,661.644,659.22,638.567,613.069,604.374,601.586,600.969
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRG3",43.645,43.574,41.147,37.078,35.936,36.993,36.782,36.077,37.506,38.028,37.034,38.371,38.61,43.909,41.927,48.814,51.13,52.269,56.535,59.139,59.309,58.027,62.714,62.799,62.737,61.889,61.316,62.977,64.12,65.617,64.437,65.054,65.605,66.163,66.411,63.787,63.794,65.535,67.965,71.677,74.762
"23","16","      Sports and recreational vehicles (79)","DWHLRG3",20.771,20.784,19.759,17.664,16.688,16.851,16.552,15.841,16.395,16.929,16.591,17.118,17.43,19.533,17.93,20.482,21.153,21.914,24.273,25.136,25.437,24.764,26.8,27.23,27.141,26.865,26.116,26.711,27.365,28.149,27.538,28.169,28.067,28.347,28.718,28.915,29.015,29.465,30.204,31.264,32.539
"24","17","      Recreational books (part of 90)","DRBKRG3",8.857,8.549,8.147,7.822,7.419,7.347,7.348,7.418,7.536,7.655,7.725,7.699,7.796,7.822,8.409,8.644,8.975,9.303,10.055,10.998,11.726,11.893,12.176,12.952,13.52,13.661,13.921,14.108,15.122,16.086,16.348,16.435,16.561,16.671,16.907,16.459,16.801,17.359,17.844,18.766,19.961
"25","18","      Musical instruments (part of 80)","DMSCRG3",78.974,60.464,42.567,31.273,28.354,30.553,30.07,29.797,30.492,29.483,28.322,28.643,29.497,35.276,35.632,38.46,38.453,38.86,47.918,51.016,53.843,53.515,52.998,48.723,47.159,44.636,42.354,42.474,44.039,44.896,42.751,43.699,44.441,45.2,45.78,45.529,45.182,45.09,46.055,48.616,52.167
"26","19","    Other durable goods","DODGRG3",21.033,20.652,19.719,17.727,17.774,18.449,18.095,18.479,18.649,18.037,18.187,18.724,20.373,23.499,24.679,27.554,28.645,28.633,30.256,30.594,30.444,30.006,31.848,31.774,31.92,31.262,30.869,31.192,31.397,31.436,31.584,31.671,31.605,31.472,31.637,32.448,32.282,32.273,33.04,33.767,35.439
"27","20","      Jewelry and watches (part of 119)","DJRYRG3",32.339,32.084,31.957,29.968,29.993,29.043,27.896,29.624,28.798,26.925,27.844,29.548,33.53,40.893,42.021,47.813,48.843,47.284,50.39,48.801,48.52,47.064,50.364,50.039,50.511,48.903,47.455,47.775,47.018,46.423,46.439,46.423,46.397,46.424,46.692,49.563,48.179,45.925,46.482,47.924,50.639
"28","21","      Therapeutic appliances and equipment (42)","DTAERG3",17.371,17.242,17.104,16.261,15.567,15.516,15.486,15.434,15.523,15.558,15.702,15.813,15.906,16.064,16.567,16.921,17.121,17.495,18.262,19.05,19.625,19.801,20.713,20.971,20.782,20.636,20.944,21.294,22.11,22.421,22.716,23.041,23.32,23.359,23.357,23.491,23.749,24.18,24.831,25.363,26.123
"29","22","      Educational books (96)","DEBKRG3",4.707,4.544,4.33,4.157,3.944,3.905,3.906,3.943,4.006,4.068,4.106,4.092,4.144,4.157,4.469,4.595,4.77,4.945,5.344,5.845,6.232,6.321,6.471,6.884,7.186,7.261,7.399,7.498,8.038,8.55,8.689,8.731,8.725,8.547,8.537,8.54,8.959,9.401,9.707,10.208,10.776
"30","23","      Luggage and similar personal items (part of 119)","DLUGRG3",21.249,20.496,18.057,14.623,15.359,17.869,17.608,17.563,18.559,18.049,17.585,17.775,19.559,23.315,25.68,29.933,32.685,33.956,35.46,37.37,35.959,35.571,37.933,37.181,37.124,36.449,36.116,36.533,36.797,36.84,36.953,36.915,36.356,35.916,36.294,35.988,36.209,38.243,39.79,39.76,41.722
"31","24","      Telephone and facsimile equipment (67)","DTCERG3",12.088,11.411,9.947,8.491,8.728,9.914,9.978,10.356,11.477,11.307,11.576,11.885,13.31,15.552,18.23,21.63,24.045,23.771,23.599,23.565,22.782,23.332,25.672,25.365,25.676,25.262,25.303,26.377,27.026,27.643,28.215,28.38,28.363,27.785,27.751,27.76,29.131,30.553,31.562,33.182,35.02
