"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 29, 2011     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/8/2011 9:21:15 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Government consumption expenditures and gross investment","B822RA3",6.181,6.812,7.095,6.86,6.633,7.482,7.687,8.971,8.592,9.252,10.067,10.35,17.205,40.483,60.224,67.771,59.168,20.344,17.281,18.542,20.755,20.779,28.386,34.178,36.627,34.132,32.885,32.912,34.379,35.484,36.688,36.751,38.6,40.977,42.032,42.958,44.25,48.149,51.844,53.472,53.347
"9","2","      Consumption expenditures \1\","A955RA3",6.411,6.829,7.09,7.11,7.291,8.053,8.188,8.894,8.784,9.333,10.131,10.688,15.142,32.943,52.517,63.402,60.528,24.983,20.48,20.987,22.358,22.229,28.879,34.432,36.647,33.999,33.32,33.333,35.126,35.614,36.064,36.532,37.746,40.287,41.708,42.672,44.171,48.084,52.153,54.612,55.404
"10","3","      Gross investment \2\","A782RA3",5.825,6.922,7.265,6.376,5.091,6.142,6.509,9.088,8.116,9.018,9.866,9.545,21.421,55.924,76.032,76.3,54.193,7.133,8.177,11.415,15.766,16.201,26.089,32.291,35.269,33.277,30.479,30.542,31.065,33.851,37.146,36.045,39.688,41.489,41.402,42.172,42.766,46.466,48.814,47.643,44.49
"11","4","        Structures","A760RA3",19.118,23.207,24.138,21.154,16.361,18.676,19.541,29.24,25.467,27.948,30.606,29.207,44.942,74.758,40.057,19.35,14.73,8.735,13.185,18.274,25.277,29.112,34.573,38.975,41.052,43.911,43.534,44.34,47.058,52.746,53.735,53.554,58.016,58.84,62.034,64.709,68.442,72.153,73.71,75.902,71.754
"12","5","        Equipment and software","A871RA3",0.603,0.566,0.659,0.586,0.604,1.045,1.182,1.056,1.154,1.397,1.519,1.599,10.014,40.898,81.688,91.412,64.443,4.888,3.875,5.485,7.554,6.057,16.408,22.465,25.417,21.024,17.444,17.094,16.323,16.999,20.848,19.492,21.953,23.878,22.112,21.733,20.544,23.531,25.887,23.018,20.985
"13","6","Federal","B823RA3",2.851,3.158,3.266,3.34,4.13,5.541,5.639,8.514,7.666,8.465,9.077,10.163,26.817,82.37,130.288,148.703,127.726,34.335,25.367,27.378,30.046,28.399,47.155,61.369,66.331,57.637,52.422,51.508,53.343,53.32,54.992,53.496,55.739,60.488,60.526,59.725,59.697,66.303,72.903,73.491,70.969
"14","7","    Consumption expenditures","B957RA3",3.621,3.86,3.76,3.616,4.238,5.691,5.213,9.223,8.15,9.267,10.306,10.831,20.357,60.553,106.273,132.108,124.986,42.155,30.901,31.914,33.573,32.023,48.292,61.695,66.397,58.717,55.321,54.366,57.309,56.201,55.967,55.15,56.176,61.508,63.11,62.714,63.529,70.498,78.516,81.222,79.449
"15","8","    Gross investment","B787RA3",0.968,1.4,1.98,2.611,3.842,5.144,6.632,6.695,6.417,6.412,5.943,8.365,40.6,129.01,181.624,183.028,128.343,9.575,7.829,12.607,17.911,16.105,40.145,55.314,60.563,49.794,39.837,39.113,37.73,40.739,47.576,44.324,49.78,52.484,48.057,46.144,43.584,48.592,50.288,44.069,39.269
"16","9","      Structures","B801RA3",22.978,32.56,46.399,67.045,94.587,101.583,134.581,143.654,136.411,125.14,109.954,165.082,552.548,1221.552,658.551,291.946,194.709,27.18,37.091,74.812,102.514,120.044,204.703,276.053,275.628,234.392,175.531,180.286,192.798,223.988,223.131,217.222,235.743,224.883,214.474,203.515,203.463,205.791,165.642,153.312,143.283
"17","10","      Equipment and software","B872RA3",0.104,0.168,0.229,0.164,0.335,1.097,1.321,1.135,1.124,1.464,1.544,1.864,16.131,68.048,136.613,152.931,107.681,7.413,5.288,7.693,11.136,8.555,26.169,36.378,41.304,33.534,27.462,26.55,24.636,25.782,32.08,29.413,33.447,36.443,32.941,31.752,29.414,33.907,37.64,32.536,28.612
"18","11","  National defense","B824RA3",2.207,2.368,2.376,2.385,2.311,2.045,2.497,2.973,2.994,3.127,3.444,6.023,32.57,118.968,193.814,221.237,190.581,45.571,30.703,30.979,32.534,32.108,62.009,82.391,87.671,75.095,67.893,67.389,70.237,69.881,68.485,67.385,70.368,74.623,72.838,69.951,68.481,78.306,88.567,90.001,85.556
"19","12","    Consumption expenditures","B997RA3",2.905,3.031,2.936,2.981,2.802,2.397,3.056,3.2,3.111,3.313,3.718,5.772,23.447,85.456,157.281,194.337,186.016,56.207,38.382,36.679,36.707,37.523,63.848,82.528,86.241,75.141,70.247,70.419,75.205,73.546,67.967,68.785,70.49,75.345,76.168,74.181,74.436,84.941,96.109,100.214,96.286
"20","13","    Gross investment","B788RA3",0.304,0.551,0.85,0.751,0.999,1.139,1.008,2.498,2.837,2.787,2.878,6.961,56.586,207.112,295.384,300.858,208.072,12.448,6.713,13.043,19.073,15.007,53.312,77.13,86.433,70.427,56.927,54.483,51.642,55.043,65.606,59.129,65.581,67.845,58.568,53.156,46.435,53.651,60.558,53.098,47.039
"21","14","      Structures","B808RA3",9.038,15.204,22.992,23.053,23.678,32.302,27.118,76.414,90.982,80.301,69.901,230.812,1262.665,3078.095,1616.027,711.524,468.379,71.894,30.963,69.186,68.323,88.126,335.515,530.004,538.887,454.961,349.874,326.24,333.654,372.075,359.518,317.726,338.179,279.663,228.883,175.463,155.978,164.069,150.8,147.185,158.119
"22","15","      Equipment and software","B873RA3",0.085,0.176,0.281,0.201,0.384,0.34,0.328,0.645,0.655,0.805,1.06,1.449,22.926,116.547,238.049,268.396,186.329,9.707,5.516,10.402,16.343,11.727,40.918,57.644,66.563,53.679,43.995,42.394,39.376,41.425,52.159,47.216,52.83,56.907,49.53,46.006,40.1,46.876,54.095,46.899,40.506
"23","16","  Nondefense","B825RA3",4.065,4.661,4.974,5.183,7.785,12.621,11.986,19.712,17.132,19.265,20.48,18.747,16.69,13.315,10.481,11.891,9.15,13.158,15.392,21.082,26.152,21.973,18.679,20.945,25.293,24.081,22.706,20.938,20.768,21.42,29.138,26.83,27.642,33.377,36.946,40.157,42.878,43.32,42.913,41.897,43.019
"24","17","    Consumption expenditures","B542RA3",4.762,5.22,5.122,4.579,6.883,12.157,9.289,21.018,18.02,20.926,23.206,20.818,14.891,12.802,9.371,13.904,8.754,15.415,16.621,23.354,28.473,22.089,18.441,21.663,28.24,27.156,26.667,23.415,22.684,22.661,32.777,28.741,28.447,34.662,37.746,40.393,42.261,42.467,44.434,44.473,46.77
"25","18","    Gross investment","B798RA3",2.153,2.934,4.037,5.927,8.889,12.21,16.461,14.318,13.019,13.087,11.644,11.618,18.098,12.63,11.489,6.401,8.733,5.35,10.64,12.965,17.404,19.773,17.73,17.218,15.099,13.626,9.752,12.446,13.891,16.481,16.504,19.461,23.548,27.479,32.323,37.079,42.341,43.528,35.365,30.937,28.082
"26","19","      Structures","B830RA3",26.069,35.765,50.327,77.618,113.729,118.918,164.999,153.627,137.185,127.347,112.199,108.048,112.461,85.545,74.417,36.327,28.192,-0.594,41.871,80.174,126.398,142.944,123.829,115.517,109.069,94.847,65.197,88.285,104.121,131.006,137.815,155.332,172.897,192.621,208,224.198,236.509,235.219,177.425,159.348,135.334
"27","20","      Equipment and software","B880RA3",0.164,0.211,0.23,0.165,0.37,2.43,3.038,2.128,2.084,2.796,2.563,2.807,7.583,4.93,4.659,2.859,5.032,4.24,4.999,3.673,3.328,3.834,3.786,4.067,2.908,2.943,2.35,2.524,2.267,1.964,1.399,2.183,3.72,4.996,7.172,9.185,11.817,12.727,11.344,9.622,9.426
"28","21","State and local","B829RA3",10.62,11.69,12.197,11.629,10.421,10.956,11.306,11.371,11.369,12.035,13.229,12.794,11.982,10.867,9.876,9.525,9.855,10.837,12.329,13.112,15.108,16.349,16.475,16.749,17.578,19.115,20.494,21.156,22.408,24.312,25.232,26.338,27.961,28.818,30.552,32.626,34.813,36.998,38.868,41.168,42.557
"29","22","  Consumption expenditures","B991RA3",9.961,10.608,11.221,11.389,11.208,11.486,12.182,9.912,10.747,10.807,11.482,12.153,12.589,12.894,12.779,12.529,12.824,13.222,14.113,14.262,15.525,16.489,16.437,16.66,17.224,17.954,19.137,19.831,20.886,22.518,23.459,24.803,26.163,26.91,28.228,30.09,32.063,34.024,35.589,37.896,40.299
"30","23","  Gross investment","B799RA3",12.683,14.837,15.082,12.363,8.125,9.325,8.772,14.688,12.707,14.801,17.219,14.113,10.338,6.074,3.219,2.647,3.068,5.498,8.446,10.703,14.459,16.406,16.973,17.374,18.883,22.555,24.486,25.074,26.875,29.544,30.41,30.818,33.232,34.418,37.446,40.157,42.992,45.858,48.691,50.888,48.766
"31","24","    Structures","B842RA3",17.899,21.481,21.671,17.533,11.211,13.128,12.284,21.378,18.028,21.113,24.602,20.159,14.734,8.461,4.321,3.463,4.112,7.472,11.514,14.603,20.254,23.211,24.002,24.457,26.637,32.015,35.079,35.641,37.741,41.836,42.923,43.092,46.656,48.18,52.162,55.635,59.557,63.311,67.354,70.399,66.653
"32","25","    Equipment and software","B881RA3",2.004,1.721,1.93,1.806,1.485,1.411,1.405,1.364,1.753,1.909,2.175,1.788,1.347,1.032,0.766,0.757,0.745,1.2,1.799,2.265,2.385,2.426,2.523,2.723,2.889,3.209,3.118,3.505,4.3,4.302,4.602,5.177,5.345,5.716,6.55,7.419,7.95,8.773,9.133,9.539,10.294
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
