"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 26, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2011 1:41:37 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","Personal income","A065RC1",5347.3,5568.1,5874.8,6200.9,6591.6,7000.7,7525.4,7910.8,8559.4,8883.3,9060.1
"9","2","  Compensation of employees, received","W209RC1",3647.2,3790.6,3980.9,4178.8,4387.7,4668.6,5023.9,5348.8,5788.8,5979.3,6110.8
"10","3","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3
"11","4","  Rental income of persons with capital consumption adjustment","A048RC1",84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7
"12","5","  Personal income receipts on assets","W210RC1",909.7,900.5,947.7,1005.4,1080.7,1165.5,1269.2,1246.8,1360.7,1346,1309.6
"13","6","    Personal interest income","A064RC1",722.2,698.1,712.7,751.9,784.4,835.8,919.3,910.9,984.2,976.5,911.9
"14","7","    Personal dividend income","B703RC1",187.6,202.3,235,253.4,296.4,329.7,349.8,335.9,376.5,369.5,397.7
"15","8","  Personal current transfer receipts","A577RC1",745.8,790.8,826.4,878.9,924.1,949.2,977.9,1021.6,1083,1188.1,1282.1
"16","9","    Government social benefits to persons","A063RC1",729.5,776.7,813.1,860.2,901.2,929.8,951.9,987.6,1040.6,1141.3,1247.9
"17","10","    Other current transfer receipts, from business (net)","B931RC1",16.3,14.1,13.3,18.7,22.9,19.4,26,34,42.4,46.8,34.2
"18","11","  Less: Contributions for government social insurance, domestic","A061RC1",455,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5
"19","12","Less: Personal current taxes","W055RC1",610.5,646.5,690.5,743.9,832,926.2,1026.4,1107.5,1232.3,1234.8,1050.4
