"","Table 5#2#5U# Gross and Net Domestic Investment by Major Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2000 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 30, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/29/2011 3:03:34 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","      Gross domestic investment","W170RC1",1992.2,2111.8,2097,2105.1,2013.7,2030.3,1984.7,1907.2,1965.8,1988.9,1997.2,2009.8,2020.4,2030.1,2106.8,2184.4,2214.9,2328.2,2379.2,2441.3,2508.5,2502.7,2563.3,2682.7,2746.2,2779.5,2761,2722,2721.2,2784.7,2773.6,2727.3,2660.6,2661.3,2594.3,2422.8,2123.2,2005,1990.7,2089.9,2193.1,2316.5,2363.6,2328.5,2336.7,2373.5
"10","2","      Less: Consumption of fixed capital","A262RC1",1151.6,1174.4,1195.8,1215.4,1233.5,1250,1264.4,1277.1,1288.3,1299.5,1310.5,1321.7,1333.2,1345.9,1360.4,1376.8,1396.7,1419.5,1444.4,1470.4,1495.7,1524.2,1556,1589.6,1618,1648.2,1675.2,1701.3,1733.9,1757.6,1778.2,1800.3,1817.4,1842.7,1869.6,1886.5,1885.2,1868.4,1854.1,1857.1,1858.6,1866.9,1878.2,1896.1,1914.3,1939.9
"11","3","      Equals: Net domestic investment","W171RC1",840.6,937.4,901.1,889.7,780.3,780.3,720.3,630.1,677.6,689.4,686.7,688.2,687.3,684.3,746.4,807.6,818.3,908.7,934.8,970.8,1012.8,978.5,1007.3,1093.1,1128.3,1131.3,1085.8,1020.7,987.2,1027,995.4,927,843.2,818.5,724.7,536.3,238,136.6,136.6,232.8,334.5,449.7,485.5,432.4,422.4,433.6
"12","4","Gross private domestic investment","A006RC1",1688.8,1810.9,1791.7,1797.4,1701.3,1699.4,1670.4,1576.6,1628,1648.1,1650.4,1661.3,1671.5,1678.5,1745.1,1823.6,1853.6,1956,2001.3,2063.3,2130.8,2115.3,2166.7,2276.3,2336.6,2352.1,2333.4,2286.5,2277.4,2329.6,2313.4,2260.5,2185.7,2165.4,2086.3,1913,1620.1,1493.8,1481.2,1592.2,1702.3,1809.7,1850.5,1818,1853.1,1895.3
"13","5","Less: Consumption of fixed capital","A024RC1",957.7,978,997,1014.7,1031.2,1045.9,1059,1070.3,1079.8,1089.4,1098.8,1108.1,1117.4,1128.6,1141.5,1156.2,1172.8,1190.7,1209.8,1230.2,1251.9,1276.1,1302.9,1332.3,1357.4,1381.1,1403.2,1423.9,1449.6,1468.6,1484.8,1501.8,1515,1534.6,1555.5,1566.5,1562.6,1545.2,1530.5,1531.4,1529.6,1534.4,1542.6,1557,1570.5,1590.5
"14","6","Equals: Net private domestic investment","A557RC1",731.1,833,794.8,782.7,670.1,653.5,611.4,506.3,548.1,558.8,551.6,553.2,554,550,603.6,667.3,680.8,765.4,791.5,833.1,879,839.2,863.8,944,979.1,971,930.2,862.6,827.8,861,828.6,758.7,670.7,630.8,530.8,346.4,57.5,-51.4,-49.4,60.8,172.7,275.3,307.9,260.9,282.6,304.8
"15","7","  Fixed investment","A007RC1",1672.8,1720.5,1734.5,1742.9,1732,1711,1700.5,1657.4,1641.4,1634.9,1632.1,1631.4,1642.8,1681.6,1740.9,1787.8,1802.2,1880,1940.5,1991.8,2040.1,2099.4,2155.6,2194.1,2270.6,2279.7,2264.3,2254.1,2260.3,2282.1,2274,2247.9,2205.2,2183.7,2130.5,1995.5,1799.6,1694.3,1678.3,1658.3,1658,1731.6,1743.8,1779.3,1791.1,1841.7
"16","8","  Less: Consumption of fixed capital","A024RC1",957.7,978,997,1014.7,1031.2,1045.9,1059,1070.3,1079.8,1089.4,1098.8,1108.1,1117.4,1128.6,1141.5,1156.2,1172.8,1190.7,1209.8,1230.2,1251.9,1276.1,1302.9,1332.3,1357.4,1381.1,1403.2,1423.9,1449.6,1468.6,1484.8,1501.8,1515,1534.6,1555.5,1566.5,1562.6,1545.2,1530.5,1531.4,1529.6,1534.4,1542.6,1557,1570.5,1590.5
"17","9","  Equals: Net fixed investment","A560RC1",715.1,742.6,737.5,728.2,700.8,665.1,641.5,587.1,561.5,545.5,533.3,523.2,525.4,553.1,599.4,631.5,629.4,689.3,730.7,761.6,788.2,823.3,852.7,861.8,913.2,898.6,861.1,830.2,810.7,813.5,789.2,746.2,690.2,649.1,574.9,429,237,149.1,147.7,126.9,128.4,197.2,201.2,222.2,220.6,251.2
