"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2011 9:10:35 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Personal consumption expenditures","DPCERG3",10.517,10.073,8.995,7.934,7.652,7.999,8.194,8.268,8.57,8.376,8.295,8.365,8.883,9.989,10.907,11.534,11.995,12.831,14.132,14.932,14.818,14.996,16.016,16.345,16.563,16.704,16.772,17.108,17.628,18.043,18.314,18.615,18.81,19.032,19.254,19.536,19.819,20.322,20.834,21.645,22.626
"9","2","Goods","DGDSRG3",16.312,15.445,13.318,11.477,11.384,12.506,12.834,12.883,13.347,12.808,12.616,12.728,13.77,16.045,17.888,19.078,19.95,21.473,24.057,25.478,24.887,24.968,26.981,27.241,27.117,27.016,26.857,27.314,28.168,28.809,28.957,29.184,29.294,29.444,29.689,30.013,30.328,30.996,31.542,32.642,33.907
"10","3","  Durable goods","DDURRG3",28.569,26.896,24.015,21.16,20.646,21.886,21.762,21.887,22.789,22.772,22.496,22.723,24.404,28.569,31.163,35.032,37.055,38.586,41.967,44.114,44.415,44.641,47.633,47.929,47.553,46.511,46.331,47.448,49.194,50.087,50.883,50.691,50.819,51.037,51.232,51.463,51.041,50.93,51.748,53.406,54.912
"11","4","    Motor vehicles and parts","DMOTRG3",11.946,11.509,10.735,10.074,9.445,9.891,9.746,9.791,10.038,10.436,10.197,10.213,11.102,14.222,14.979,16.088,16.348,20.464,22.486,24.223,25.07,25.14,26.427,27.515,26.995,26.06,26.363,27.56,29.298,30.405,31.913,31.317,31.494,32.006,32.258,32.522,32.256,32.037,32.474,33.593,34.27
"12","5","      New motor vehicles (55)","DNMVRG3",18.129,17.608,16.802,15.761,14.24,15.077,14.838,14.957,15.239,15.999,15.597,15.637,16.805,19.998,21.255,23.89,18.637,21.844,24.75,27.065,29.647,29.845,31.118,33.977,34.261,34.813,31.477,33.147,35.055,36.325,37.903,37.413,37.421,37.269,37.046,36.95,36.123,35.457,35.784,36.796,37.371
"13","6","      Net purchases of used motor vehicles (56)","DNPVRG3",0.429,0.447,0.552,0.658,0.627,0.567,0.458,0.394,0.418,0.535,0.51,0.773,1.499,2.725,2.935,3.121,3.4,6.932,7.443,8.023,6.456,6.156,6.345,5.273,4.106,1.433,7.607,7.795,8.908,9.555,10.737,10.333,11.043,12.545,13.495,14.504,14.943,15.451,15.857,16.868,17.406
"14","7","      Motor vehicle parts and accessories (58)","DMVPRG3",37.454,34.849,29.79,27.437,27.996,28.816,29.054,29.193,30.721,30.116,29.721,28.148,28.555,32.72,33.684,36.047,36.101,36.95,38.286,39.046,38.952,40.029,45.225,45.143,44.527,43.563,43.674,44.226,44.609,44.738,44.449,43.094,41.834,41.925,42.606,42.634,44.252,45.172,46.279,47.977,49.53
"15","8","    Furnishings and durable household equipment","DFDHRG3",24.629,23.684,21.034,18.153,18.205,19.675,19.799,19.934,21.267,20.884,20.728,20.929,22.496,26.009,29.738,34.163,37.067,37.206,39.824,41.5,40.517,41.226,45.433,44.978,45.056,44.843,44.51,44.877,45.632,45.537,45.566,45.968,46.123,46.067,46.09,46.141,45.844,46.223,47.263,49.119,50.873
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRG3",19.613,18.857,16.443,13.776,14.271,15.69,15.509,15.874,17.364,16.802,16.681,17.173,18.852,22.004,25.51,29.723,32.773,32.883,35.073,36.491,35.192,36.238,40.658,39.745,39.729,39.555,39.475,40.247,41.2,41.261,41.276,41.93,42.406,42.506,42.616,42.781,42.8,43.583,44.988,46.709,48.571
"17","10","      Household appliances (part of 33)","DAPPRG3",61.957,59.199,54.706,47.411,44.644,45.052,44.338,44.997,46.618,46.794,46.19,44.535,46.804,53.889,59.807,63.757,67.353,67.213,73.922,78.084,75.811,74.865,80.221,80.161,79.609,78.361,75.806,72.315,71.318,69.578,69.404,68.458,67.06,65.512,64.272,63.553,62.062,61.023,61.072,62.36,63.731
"18","11","      Glassware, tableware, and household utensils (34)","DUTERG3",13.586,13.186,11.955,11.15,10.9,12.078,13.154,12.388,12.582,12.578,12.585,12.591,12.879,14.508,16.321,18.407,19.139,19.008,19.478,19.824,20.503,21.245,23.262,23.819,24.425,24.76,25.232,27.316,28.792,29.613,29.605,30.535,30.914,31.71,32.771,33.375,33.362,34.071,35.065,37.793,39.366
"19","12","      Tools and equipment for house and garden (35)","DTOORG3",25.408,24.349,21.473,19.194,19.097,21.126,21.191,21.427,23.302,22.969,22.673,23.185,25.216,28.67,31.098,34.077,35.681,37.636,41.625,43.473,42.342,43.159,47.36,46.539,47.185,47.704,48.862,50.866,52.931,54.101,55.636,56.016,57.624,58.595,58.873,58.46,57.415,56.346,56.235,58.537,60.866
"20","13","    Recreational goods and vehicles","DREQRG3",204.723,170.527,135.164,111.096,103.609,107.487,106.365,105.172,107.847,107.416,104.867,106.492,108.705,123.801,123.979,134.925,138.633,142.121,164.049,173.554,180.098,178.512,182.209,175.876,173.642,168.064,162.82,164.658,170.465,175.132,170.09,171.249,170.332,168.465,168.129,166.091,163.802,161.985,162.965,166.162,169.99
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRG3",1205.017,936.99,675.368,507.043,463.318,495.355,487.707,482.176,493.399,481.131,463.771,469.749,482.729,572.297,573.558,622.966,626.516,637.353,774.057,819.265,857.754,851.243,848.856,787.027,764.05,726.932,692.861,695.858,720.081,734.651,702.183,702.997,691.603,671.042,662.384,659.957,639.281,613.754,605.049,602.258,601.641
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRG3",43.644,43.573,41.146,37.077,35.935,36.992,36.781,36.076,37.505,38.027,37.033,38.37,38.609,43.908,41.926,48.813,51.129,52.268,56.534,59.137,59.308,58.025,62.713,62.797,62.736,61.887,61.314,62.976,64.118,65.615,64.435,65.053,65.603,66.161,66.41,63.785,63.792,65.534,67.963,71.675,74.76
"23","16","      Sports and recreational vehicles (79)","DWHLRG3",20.768,20.78,19.755,17.661,16.685,16.848,16.549,15.838,16.392,16.926,16.588,17.115,17.427,19.529,17.927,20.479,21.15,21.91,24.269,25.132,25.433,24.76,26.795,27.225,27.136,26.86,26.112,26.706,27.361,28.144,27.534,28.164,28.062,28.343,28.713,28.91,29.01,29.46,30.199,31.259,32.534
"24","17","      Recreational books (part of 90)","DRBKRG3",8.856,8.549,8.147,7.822,7.419,7.347,7.348,7.418,7.536,7.654,7.725,7.699,7.796,7.822,8.409,8.644,8.974,9.303,10.055,10.998,11.726,11.893,12.175,12.952,13.52,13.661,13.921,14.108,15.122,16.086,16.347,16.435,16.56,16.671,16.907,16.458,16.801,17.359,17.844,18.766,19.961
"25","18","      Musical instruments (part of 80)","DMSCRG3",78.967,60.459,42.563,31.27,28.352,30.55,30.067,29.794,30.489,29.481,28.32,28.64,29.495,35.273,35.629,38.457,38.45,38.857,47.914,51.011,53.838,53.51,52.993,48.719,47.155,44.632,42.35,42.47,44.036,44.892,42.747,43.695,44.437,45.196,45.776,45.525,45.178,45.086,46.051,48.612,52.163
"26","19","    Other durable goods","DODGRG3",21.105,20.722,19.786,17.788,17.835,18.512,18.156,18.542,18.713,18.099,18.249,18.788,20.443,23.58,24.764,27.648,28.743,28.731,30.36,30.698,30.548,30.109,31.957,31.883,32.029,31.369,30.975,31.299,31.504,31.544,31.692,31.78,31.713,31.579,31.745,32.559,32.392,32.383,33.153,33.882,35.56
"27","20","      Jewelry and watches (part of 119)","DJRYRG3",32.329,32.075,31.947,29.959,29.984,29.034,27.888,29.615,28.789,26.916,27.835,29.539,33.519,40.881,42.008,47.798,48.828,47.269,50.374,48.786,48.505,47.05,50.349,50.023,50.496,48.888,47.44,47.76,47.004,46.409,46.425,46.409,46.383,46.41,46.678,49.548,48.164,45.911,46.467,47.909,50.623
"28","21","      Therapeutic appliances and equipment (42)","DTAERG3",17.375,17.246,17.108,16.264,15.571,15.519,15.49,15.438,15.526,15.562,15.706,15.817,15.909,16.068,16.57,16.925,17.125,17.499,18.266,19.055,19.629,19.806,20.718,20.976,20.787,20.641,20.949,21.299,22.115,22.427,22.721,23.046,23.326,23.365,23.363,23.496,23.754,24.185,24.837,25.369,26.129
"29","22","      Educational books (96)","DEBKRG3",4.706,4.542,4.329,4.156,3.942,3.904,3.904,3.941,4.004,4.067,4.104,4.091,4.142,4.156,4.468,4.593,4.768,4.943,5.342,5.843,6.23,6.319,6.469,6.882,7.183,7.258,7.396,7.496,8.035,8.546,8.686,8.727,8.722,8.544,8.534,8.537,8.956,9.398,9.704,10.204,10.772
"30","23","      Luggage and similar personal items (part of 119)","DLUGRG3",21.255,20.502,18.062,14.627,15.363,17.874,17.612,17.568,18.564,18.054,17.59,17.78,19.564,23.322,25.687,29.942,32.694,33.966,35.47,37.38,35.969,35.581,37.944,37.191,37.134,36.459,36.126,36.543,36.807,36.85,36.963,36.925,36.366,35.926,36.304,35.998,36.219,38.254,39.801,39.771,41.733
"31","24","      Telephone and facsimile equipment (67)","DTCERG3",12.094,11.417,9.952,8.495,8.733,9.92,9.984,10.361,11.483,11.314,11.582,11.891,13.318,15.56,18.24,21.642,24.058,23.783,23.612,23.578,22.795,23.345,25.686,25.379,25.69,25.275,25.317,26.391,27.041,27.658,28.23,28.395,28.378,27.8,27.766,27.775,29.147,30.569,31.579,33.2,35.039
