"","Table 6#6C# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Dollars]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2011 9:17:09 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Wage and salary accruals per full-time equivalent employee","A4401C0",23188,24365,25138,26385,27484,28853,29637,30422,31292,32351,33765,35504,37108,39243
"9","2","Domestic industries","A4402C0",23186,24355,25130,26387,27489,28860,29565,30343,31213,32279,33685,35422,37016,39157
"10","3","  Private industries \1\","A4403C0",22894,24084,24804,25986,26985,28352,29002,29730,30615,31705,33193,35032,36661,38862
"11","4","    Agriculture, forestry, and fishing","A4404C0",12093,12806,14023,15910,16051,16583,17252,17805,18129,19231,20374,20666,21109,22649
"12","5","      Farms","B4405C0",10156,11021,12579,14814,14503,14914,16240,16980,17596,19303,19872,21090,20457,22275
"13","6","      Agricultural services, forestry, and fishing","B4406C0",14636,15024,15639,17134,17759,18329,18246,18545,18597,19174,20793,20351,21599,22912
"14","7","    Mining","A4407C0",34188,35151,36488,38032,39730,42207,43614,44590,46760,48699,50818,52681,55653,59198
"15","8","      Metal mining","B4408C0",32791,34930,35926,37021,39300,41197,43112,44947,49386,49630,50392,51034,56577,55132
"16","9","      Coal mining","B4409C0",36478,37347,38413,40733,41608,43467,44243,45390,46797,49700,50125,51500,52075,53856
"17","10","      Oil and gas extraction","B4410C0",34993,35899,37654,39120,41299,44585,46421,47162,49794,52080,54757,56947,61598,67000
"18","11","      Nonmetallic minerals, except fuels","B4411C0",28513,29622,30293,31182,31591,32996,33765,35184,36262,37265,39398,41342,42325,43032
"19","12","    Construction","B4412C0",24775,26026,26822,27934,28631,29447,29523,30346,30591,31798,33098,34883,36378,38127
"20","13","    Manufacturing","A4413C0",26774,28036,28924,30138,31336,32936,33809,34893,36051,37332,39168,41081,43110,46015
"21","14","      Durable goods","A4414C0",28391,29593,30514,31741,32984,34627,35632,36901,37926,39211,41002,42864,45128,48263
"22","15","        Lumber and wood products","B4415C0",19460,20764,21158,21802,22281,23469,24045,24587,25360,26365,27647,28549,29279,30345
"23","16","        Furniture and fixtures","B4416C0",19011,19807,20449,21489,22169,23517,24121,24509,25367,26300,27835,29130,29920,30997
"24","17","        Stone, clay, and glass products","B4417C0",27374,27008,27518,28447,29179,30881,31152,32472,33598,35006,36022,37234,39002,41069
"25","18","        Primary metal industries","B4418C0",29918,31487,32792,33678,34041,36208,37328,38880,40290,41006,42152,43006,44803,45758
"26","19","        Fabricated metal products","B4419C0",25450,26622,27295,28296,29434,30811,31296,32597,33098,34138,35351,36508,37360,38581
"27","20","        Industrial machinery and equipment","B4420C0",29661,31635,32570,34088,35272,37290,37916,39225,40327,41852,44186,46418,49857,54965
"28","21","        Electronic and other electric equipment","B4421C0",33465,28647,29757,31126,32739,34512,36309,37428,39260,40439,43071,45892,50610,57590
"29","22","        Motor vehicles and equipment","B4422C0",35305,37603,38132,38320,39885,41095,44719,47707,46694,48703,49900,52445,54140,55638
"30","23","        Other transportation equipment","B4423C0",34352,34292,35617,37407,39038,41112,42142,43794,44827,45669,47411,48867,50342,52100
"31","24","        Instruments and related products","B4424C0",21266,33215,34405,35947,37898,39624,40986,42673,45023,46956,48842,51681,55260,59286
"32","25","        Miscellaneous manufacturing industries","B4425C0",21029,22267,22821,24525,25093,26584,27056,27487,28369,29017,30765,32107,33440,34950
"33","26","      Nondurable goods","A4426C0",24433,25766,26619,27864,29076,30666,31387,32189,33454,34659,36494,38408,40054,42554
"34","27","        Food and kindred products","B4427C0",23562,24476,25158,25969,26972,28176,28766,29271,30367,30754,32071,33602,34379,36300
"35","28","        Tobacco products","B4428C0",35508,38039,41186,40128,41844,45309,44549,48631,55267,56191,59938,55769,60429,68994
"36","29","        Textile mill products","B4429C0",18449,18961,19787,20297,21456,22760,23148,23819,24112,25127,26539,27519,28705,29730
"37","30","        Apparel and other textile products","B4430C0",14208,14950,15545,16218,16977,17760,17949,18223,18946,19959,21018,22268,23533,25515
"38","31","        Paper and allied products","B4431C0",30259,31428,32343,33592,34560,36251,37143,38463,39783,41005,42392,43447,45158,46796
"39","32","        Printing and publishing","B4432C0",25588,27095,27565,28960,29976,31803,32610,33413,34799,36023,37635,39554,41354,43563
"40","33","        Chemicals and allied products","B4433C0",35423,37452,39011,41036,43028,45526,47203,49139,51522,53442,57078,60698,63291,68749
"41","34","        Petroleum and coal products","B4434C0",40325,41101,42774,45059,47314,50426,52051,53605,55077,55587,60236,63675,63931,65081
"42","35","        Rubber and miscellaneous plastics products","B4435C0",21888,23876,24523,25572,26403,28048,28640,29406,30088,31066,32444,33813,34787,35970
"43","36","        Leather and leather products","B4436C0",15457,16344,17096,18153,19229,20308,20813,21562,22405,23812,25103,26174,28038,29938
"44","37","    Transportation and public utilities","A4437C0",30106,30931,31728,33115,34363,36108,36615,37753,38661,39560,41369,43147,45815,47816
"45","38","      Transportation","A4438C0",26534,27204,27799,29139,30184,31780,31601,32197,32560,33357,34708,36234,37539,38899
"46","39","        Railroad transportation","B4439C0",42000,41863,42334,43624,45941,50332,50495,51970,50687,55355,57525,60724,60757,62991
"47","40","        Local and interurban passenger transit","B4440C0",15464,16698,17043,18008,18651,19509,19491,20043,20550,21194,21916,22891,23666,24643
"48","41","        Trucking and warehousing \2\","B4441C0",23635,24548,25095,26371,26999,28456,28425,29290,29793,30539,31938,33154,34226,35289
"49","42","        Water transportation","B4442C0",30052,30779,32089,33944,34813,36458,36933,37489,38044,39123,40645,42514,43633,45220
"50","43","        Transportation by air \2\","B4443C0",32540,30808,31610,32944,34597,36220,36027,36463,36632,37242,38950,40724,42847,44218
"51","44","        Pipelines, except natural gas","B4444C0",40179,43019,42747,46198,47038,51571,50727,54997,58565,55152,58407,63460,63777,65120
"52","45","        Transportation services","B4445C0",22066,23505,24355,26172,27285,28704,28951,29777,31062,31770,33028,34784,36511,38937
"53","46","      Communications","A4446C0",35145,36360,37338,38808,40237,42343,43997,47203,49415,50707,53736,56236,62715,64534
"54","47","        Telephone and telegraph","B4447C0",21217,29577,29913,31738,32496,34182,35516,37498,41785,41826,44007,48353,52948,54932
"55","48","        Radio and television","B4448C0",40090,38841,40207,41551,43226,45599,47445,51216,52702,54623,57802,59495,66660,68307
"56","49","      Electric, gas, and sanitary services","B4449C0",35415,36741,38522,39676,41403,43375,45647,47011,49339,50708,52874,55417,58473,62964
"57","50","    Wholesale trade","B4450C0",27254,29307,30160,31599,32941,34519,35597,36928,38148,39523,41505,43901,46323,49166
