"","Table 6#3B# Wage and Salary Accruals by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/26/2012 9:20:48 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Wage and salary accruals","A034RC0",518333,551560,584549,638785,708762,772282,814838,899745,994158,1120570,1253314,1373422,1511373,1587517,1677513,1844915,1982550,2102335,2256266
"9","2","Domestic industries","A4102C0",518311,551537,584528,638786,708775,772304,814881,899782,994220,1120669,1253385,1373520,1511529,1587709,1677686,1845126,1982765,2104117,2257622
"10","3","  Private industries","A4103C0",412711,434305,457748,500899,559976,611792,638641,710876,791632,900651,1016249,1112059,1225680,1280172,1352891,1496988,1608902,1706897,1834505
"11","4","    Agriculture, forestry, and fishing","J4104C0",5086,5371,5461,5767,6833,7844,8336,9426,10051,10873,12132,12976,13305,14690,14768,15478,16338,16503,17599
