"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"1","[Index numbers, 2005=100; quarters and months are seasonally adjusted]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 01, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2012 2:19:14 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Personal consumption expenditures","DPCERG3",18.314,18.615,18.81,19.032,19.254,19.536,19.819,20.322,20.834,21.645,22.626,23.685,24.692,25.536,26.913,29.716,32.198,33.966,36.171,38.705,42.137,46.663,50.833,53.64,55.948,58.065,59.965,61.427,63.618,66.151,69.025,72.18,74.789,76.989,78.679,80.302,82.078,83.864,85.433,86.246,87.636,89.818,91.53,92.778,94.658,97.121,100,102.723,105.499,108.943,109.169,111.112,113.848
"9","2","Goods","DGDSRG3",28.957,29.184,29.294,29.444,29.689,30.013,30.328,30.996,31.542,32.642,33.907,35.2,36.258,37.186,39.404,44.322,47.903,49.777,52.435,55.653,60.916,67.737,72.769,74.753,76.102,77.541,78.785,78.417,80.939,83.072,86.268,89.801,91.996,93.106,93.915,94.87,95.757,96.809,96.696,95.237,95.735,97.655,97.563,96.563,96.492,97.929,100,101.441,102.764,105.912,103.209,104.837,108.807
"10","3","  Durable goods","DDURRG3",50.883,50.691,50.819,51.037,51.232,51.463,51.041,50.93,51.748,53.406,54.912,56.096,58.033,58.673,59.542,63.451,69.129,72.91,76.177,80.441,85.773,93.216,99.45,103.329,105.421,106.98,108.112,109.301,112.446,114.301,116.384,117.54,119.263,120.087,121.269,123.642,124.544,123.287,120.593,117.181,114.005,111.953,109.733,106.92,103.113,101.124,100,98.361,96.43,94.628,92.901,91.348,90.449
"11","4","    Motor vehicles and parts","DMOTRG3",31.913,31.317,31.494,32.006,32.258,32.522,32.256,32.037,32.474,33.593,34.27,35.304,37.011,37.104,37.273,39.569,43.479,46.803,49.538,52.971,56.965,61.187,65.921,69.046,71.193,73.227,74.923,76.989,80.512,81.777,84.193,84.464,86.84,88.479,91.964,96.233,100.045,102.051,102.436,101.321,101.625,102.001,102.401,101.863,99.078,98.401,100,100.108,99.622,97.822,98.159,103.05,106.187
"12","5","      New motor vehicles (55)","DNMVRG3",37.903,37.413,37.421,37.269,37.046,36.95,36.123,35.457,35.784,36.796,37.371,38.436,40.036,39.744,39.756,41.974,45.749,48.596,51.158,55.019,59.269,63.909,67.702,70.349,72.153,74.253,76.742,80.066,82.432,83.751,85.644,87.484,90.896,93.243,95.952,99.462,101.936,103.924,104.61,104.08,104.012,103.888,103.323,101.639,100.176,99.509,100,99.356,98.256,96.832,97.825,99.854,102.71
"13","6","        New autos","DNEARG3",39.613,39.101,39.109,38.951,38.717,38.617,37.755,37.057,37.405,38.459,39.062,40.173,41.857,41.544,41.556,43.864,47.806,50.784,53.459,57.507,61.943,66.775,70.689,73.469,75.295,77.323,79.697,83.104,85.94,87.48,89.141,90.323,93.521,95.65,97.923,101.048,103.151,104.749,104.85,104.047,103.192,103.203,102.732,101.535,99.618,99.055,100,100.907,100.348,100.181,101.118,102.146,105.214
