"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"1","[Billions of chained (1972) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1969 To 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/26/2012 3:37:46 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Gross domestic product","A191CX1",1130.4,1133.7,1140.8,1135.5,1133.7,1135.8,1145.9,1133.7,1165,1171.6,1180.9,1184.2,1205.4,1234,1245.8,1266.3,1298.7,1313.8,1306.7,1319.2,1307.6,1311,1298,1292.9,1277.2,1286.9,1308.6,1325.7,1355.9,1366.1,1372.7,1382.7,1398.8,1426.6,1452.1,1451.8,1456.7,1514,1528.9,1549.1,1551.7,1553.2,1564.3,1568.6,1573.7,1541.4,1538.6,1567,1599.6,1586.8,1606.1,1586.1,1560.1,1568.5,1562.5,1563.7
"10","2","Personal consumption expenditures","DPCECX1",676.7,681,684.3,689.8,694,697.2,703.3,701.4,714.8,721.3,727.1,739.2,749.1,763.4,775.2,793.3,807.8,807.4,810.3,808,800.9,803.7,807,795.2,801.8,815.2,826.8,835.6,852.3,860.1,869.2,880.5,890.6,895.5,904,917.7,923,942.8,946.7,954.3,959.2,958.6,968,970.6,968.9,946.9,957.1,969.8,975.2,975.1,979.1,971.7,978,981.5,989,1007
"11","3","  Goods","DGDSCX1",333.4,333.6,334.2,335.4,335.9,336.9,339,335.3,346.1,348.9,351.2,357.3,360.7,370.2,376.7,387.7,397,393.1,393.3,389.4,383,381.8,383,367.5,370.2,378.1,387.4,390,401.5,406.3,409.9,414.8,419.3,422.4,425.8,434.9,432.5,444.9,445.3,450.3,449.9,446.1,453.6,451.6,449.3,430.8,435.3,440.2,446.5,443,447.4,439.4,443.8,443.7,446.1,455.1
