"","Table 5#8#6A# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA
"2","Annual data from 1995 To 1997",NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA
"5","File created 6/26/2012 2:38:28 PM",NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1996","1997"
"19","1","      Gross government fixed investment \1\","A782RX1","283,863.0","294,587.0","302,714.0"
"20","2","        Federal","A787RX1","79,885.0","81,654.0","75,768.0"
"21","3","          National defense","A788RX1","52,770.0","52,298.0","46,766.0"
"22","4","          Nondefense","A798RX1","27,103.0","29,340.0","28,988.0"
"23","5","        State and local","A799RX1","201,907.0","211,133.0","227,125.0"
"24","6","Structures \2\","A760RX1","201,304.0","209,551.0","219,252.0"
"25","7","  Federal","A801RX1","25,773.0","25,149.0","22,476.0"
"26","8","    National defense","A808RX1","10,065.0","9,205.0","8,684.0"
"27","9","      New","A814RX1","10,071.0","9,210.0","8,690.0"
"28","10","        Buildings","B815RX1","3,192.0","3,015.0","2,791.0"
"29","11","          Residential","B816RX1","2,321.0","2,106.0","2,146.0"
"30","12","          Industrial","B817RX1","873.0","908.0","652.0"
"31","13","        Military facilities \3\","B818RX1","6,894.0","6,213.0","5,913.0"
"32","14","      Net purchases of used structures","B819RX1","-6.0","-6.0","-6.0"
"33","15","    Nondefense","A830RX1","15,711.0","15,928.0","13,789.0"
"34","16","      New","A831RX1","16,524.0","16,005.0","14,150.0"
"35","17","        Buildings","B832RX1","6,636.0","6,673.0","6,485.0"
"36","18","          Residential","ZZZZZZ1",".....",".....","....."
"37","19","          Industrial","B834RX1","1,254.0","972.0","615.0"
"38","20","          Educational \4\","B835RX1","38.0","17.0","25.0"
"39","21","          Hospital","B836RX1","1,107.0","1,266.0","1,447.0"
"40","22","          Other \5\","B837RX1","4,243.0","4,420.0","4,399.0"
"41","23","        Highways and streets \6\","B838RX1","451.0","516.0","354.0"
"42","24","        Conservation and development","B839RX1","6,041.0","5,423.0","4,674.0"
"43","25","        Other \7\","B840RX1","3,395.0","3,393.0","2,637.0"
"44","26","      Net purchases of used structures","B841RX1","-875.0","-109.0","-380.0"
"45","27","  State and local","A842RX1","175,437.0","184,328.0","196,736.0"
"46","28","    New","A843RX1","170,744.0","179,968.0","192,453.0"
"47","29","      Buildings","B844RX1","78,060.0","84,146.0","90,865.0"
"48","30","        Residential","B845RX1","6,085.0","6,320.0","6,511.0"
"49","31","        Industrial","ZZZZZZ1",".....",".....","....."
"50","32","        Educational \8\","B847RX1","38,281.0","41,531.0","47,241.0"
"51","33","        Hospital","B848RX1","4,573.0","4,423.0","4,597.0"
"52","34","        Other \5\","B849RX1","29,117.0","31,872.0","32,515.0"
"53","35","      Highways and streets \9\","B851RX1","56,949.0","57,219.0","59,658.0"
