"","Table 1#9#4# Price Indexes for Net Value Added by Sector        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 7:39:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Net domestic product","A362RG3",22.331,23.517,24.687,25.758,27.198,29.59,32.287,34.132,36.27,38.775,41.977,45.765,50.05,53.117,55.476,57.787,59.699,61.074,62.903,65.132,67.723,70.514,73.187,75.164,76.926,78.623,80.314,82.055,83.715,84.855,86.25,88.232,90.42,92.049,94.16,96.855,100,103.145,106.206,108.588,109.85,111.609,114.04
"9","2","Business \1\","A363RG3",25.452,26.545,27.657,28.645,30.16,33.053,36.132,38.003,40.228,43.038,46.686,50.864,55.538,58.68,60.946,62.909,64.518,65.583,67.187,69.355,72.023,74.754,77.33,79.032,80.737,82.218,83.767,85.307,86.901,87.693,88.552,90.317,92.093,92.925,94.333,96.86,100,102.833,105.562,107.397,108.095,110.042,112.561
"10","3","  Nonfarm \2\","A364RG3",24.769,25.862,26.968,27.819,28.783,31.732,35.046,36.953,39.248,41.832,45.382,49.776,54.562,57.959,60.062,61.971,63.9,65.014,66.606,68.66,71.274,74.063,76.817,78.571,80.274,81.823,83.351,84.705,86.543,87.419,88.451,90.333,92.02,92.955,94.248,96.573,100,102.939,105.346,107.195,108.308,110.067,112.161
"11","4","  Farm","A365RG3",140.376,140.479,141.603,170.388,296.163,279.401,227.037,219.558,203.069,254.286,275.051,220.635,197.325,160.77,192.875,205.557,151.373,144.67,147.867,169.084,180.321,173.377,148.971,143.504,145.6,137.502,142.077,173.133,139.587,128.257,102.29,87.167,101.316,87.462,104.046,130.903,100,89.877,138.422,137.931,92.188,113.593,170.634
"12","5","Households and institutions","W503RG3",16.772,17.948,19.001,19.793,20.789,21.755,23.102,24.775,26.656,28.4,30.32,32.992,36.383,39.329,42.039,44.746,47.768,50.339,53.128,55.849,58.307,61.417,63.975,66.508,68.032,70.32,72.641,75.121,76.947,79.514,82.391,84.707,88.38,92.769,96.256,98.363,100,103.83,107.261,111.705,115.766,115.241,116.921
"13","6","  Households","W504RG3",20.502,21.442,22.422,23.108,23.863,24.453,25.877,27.626,29.754,31.06,32.942,35.404,39.195,43.024,46.152,48.772,52.104,55.346,58.097,61.039,63.912,67.509,69.436,71.43,73.602,75.632,78.224,81.062,83.108,86.241,87.913,89.767,93.579,97.743,99.781,99.414,100,102.132,105.365,109.866,113.277,111.281,113.131
"14","7","  Nonprofit institutions serving households \3\","W505RG3",12.643,14.076,15.212,16.126,17.397,18.797,20.065,21.66,23.27,25.528,27.512,30.468,33.41,35.329,37.572,40.396,43.081,44.897,47.735,50.215,52.228,54.82,58.008,61.081,61.934,64.476,66.505,68.598,70.187,72.152,76.297,79.121,82.642,87.28,92.329,97.153,100,105.877,109.55,113.92,118.799,120.106,121.577
"15","8","General government \4\","A194RG3",12.17,13.483,14.73,16.089,17.354,18.51,20.324,21.955,23.711,25.285,27.254,29.897,32.846,35.392,37.626,40.913,43.238,45.071,47.13,49.169,51.38,54.077,57.144,59.871,62.032,64.262,66.091,68.219,70.081,71.927,75.215,78.264,81.612,85.587,90.892,95.291,100,104.647,109.722,113.811,115.917,118.831,121.464
