"","Table 4#3BU# Relation of Foreign Transactions in the National In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108"
"1","[Millions of dollars]; Quarters seasonally adjusted at annual rates                                                        ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1986 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 30, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/29/2012 11:13:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","Exports of goods, ITAs","B1232C0",214144,227312,222580,229340,226784,240808,256868,276372,302620,318168,323764,336368,345288,365928,362972,365476,380280,385092,388908,395324,405032,410696,416952,423652,432248,431764,443388,451124,448396,453028,451928,474420,475332,489004,515788,531312,553480,570080,586144,591112,602208,611444,607424,627376,650680,680996,692620,689168,684240,662236,656216,678972,671616,681080,705396,734780,753788,778500,807080,799756,787044,753948,703668,680092,674688,702728,713152,699192,709708,713656,728744,767160,791292,815656,828792,852200,876860,910520,912444,946920,997228,1031172,1047964,1081256,1105968,1142496,1181368,1225996,1293428,1370480,1387640,1178448,1016368,1015400,1080424,1166740,1216128,1261912,1300792,1376700,1443668,1488640,1528644,1528668,1554004
"10","2","Less: Gold, ITAs \1\","B1087C0",1076,12404,6756,2528,1928,1964,2832,3784,8856,7876,3648,2864,2696,3624,3236,2756,2632,3556,3676,5056,4052,3264,3412,3592,3792,3524,3608,7236,6368,7536,9248,13104,9360,5748,4656,3496,5624,7736,3380,3748,6308,12512,5228,3712,6744,9292,3448,3420,5296,4376,5212,7056,2956,3244,6084,8768,9616,3712,4264,6520,6700,7640,2384,2860,2560,3456,3568,3844,3760,5436,5312,4656,4400,3508,4928,4964,5520,5512,5352,5816,7708,8824,9600,9000,10464,16492,14280,11996,24599,19040,17730,13387,13834,12322,14287,15286,17927,14685,20012,17621,30891,27598,42113,36416,41277
"11","3","      Statistical differences \2\","B1233C0",2,0,0,-2,-1,-4,0,1,0,-1,-1,0,-2,-6,5,-1,-1,-8,1,-2,-29,-35,-29,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14408,16504,13440,12660,12776,13592,11836,12944,11140,13828,13080,11861,11268,11328,13572,12908,13400,13556,15236,13684,14748,16304,15388,16856,17732,18176,20248,21240,23448,22828,24264,23836,4684,3524,2948,3208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12","4","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1234C0",7458,8132,8679,9123,9463,9802,10132,10462,10821,11142,11530,11968,12210,12468,12640,12734,13055,13041,12942,12812,13471,13822,12353,12475,12475,13329,12961,12672,10161,12968,11689,13401,11618,13171,12896,14367,14370,13269,12828,12314,12260,13012,13245,14099,14328,15335,15485,15043,15506,14977,15747,17478,19269,19181,18016,17514,18125,15879,19874,19626,19724,17298,16247,16372,18620,18326,19586,17468,16498,15934,15297,15357,14934,15471,15641,15025,18017,19184,20501,19492,19017,16949,16523,16959,14545,15872,15128,14352,10283,12276,4612,7519,9481,7480,7522,11066,7931,10035,7354,3538,13035,10711,11946,9604,13092
"13","5","Equals: Exports of goods, NIPAs","A253RC0",220524,223040,224503,235937,234320,248650,264168,283049,304585,321435,331647,345472,354804,374778,372371,375455,390704,394585,398173,403082,414480,421289,425922,432562,440930,441565,452738,456567,452190,458460,454363,474716,477592,496429,524037,542189,562222,575619,595591,599678,608166,611943,615444,637769,658267,687046,704663,700792,694450,672834,666751,689398,673516,680510,703885,730856,749526,777073,810853,799917,788930,749776,704452,681747,679476,706271,715597,699904,709046,710600,723499,764181,787089,811313,824123,845401,871626,906012,907353,939352,985093,1016461,1030628,1065376,1105367,1138345,1179276,1225140,1279114,1363717,1374525,1172584,1012016,1010554,1073661,1162516,1206131,1257263,1288129,1362615,1425813,1471757,1498477,1501861,1525818
"14","6","Exports of services, ITAs","B1235C0",84208,83648,87876,91044,94408,98960,99944,101316,106392,110268,113812,113208,122304,124440,129264,132348,140064,143952,149608,157712,151564,162980,167440,175064,176656,176532,178436,177372,183936,185828,186828,187064,193448,199912,202668,205564,208692,212652,225744,229632,229768,237400,234656,256116,250060,257168,259420,257716,258760,264696,259144,268424,262440,265196,271584,275936,281776,289488,289292,291456,290048,284996,272260,258844,275268,280820,284856,292804,284028,280740,296244,313796,330336,337036,340264,357008,368180,369884,376780,388180,401928,417544,417520,444680,458760,473704,501348,528608,526740,544616,545200,524176,497516,500900,507856,530572,533208,544736,561084,575380,591576,607356,620760,604148,617680
"15","7","Less: Statistical differences \2\","B1236C0",-184,-303,-382,-415,-364,-349,-335,-325,-320,-313,-303,-292,-301,-297,-304,-320,-310,-338,-351,-358,-336,-346,-377,-399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12580,-15354,-13157,-11431,-10667,-11773,-10071,-10376,-8130,-11366,-10580,-8811,-7920,-8271,-10079,-9349,-9774,-10520,-11617,-10654,-11404,-12257,-10777,-13214,-12583,-12647,-14288,-13946,-16842,-11323,-17230,-16424,-845,3967,1797,4295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","8","      Other items \4\","B1237C0",0,0,0,0,0,0,0,0,0,8,20,12,48,48,60,40,52,48,48,76,172,864,484,260,168,192,320,1404,1760,788,300,360,460,492,920,444,724,596,892,688,604,672,984,572,496,488,476,712,588,408,604,980,596,686,793,655,943,765,2027,597,858,770,1240,479,595,726,970,509,869,908,658,726,948,997,1066,1065,1311,1331,1520,1618,1350,1093,1237,992,1464,1353,1611,1402,1400,1622,1844,1598,1630,1460,1536,1338,2027,2257,1983,1537,1535,1330,1823,1516,1436
"17","9","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1238C0",2280,2300,2328,2364,2412,2456,2500,2536,2572,2612,2656,2700,2667,2677,2695,2725,2724,2765,2805,2898,2943,2980,3020,3061,3093,3135,3174,3210,3241,3277,3315,3355,3420,3469,3508,3539,3569,3598,3625,3652,3676,3702,3728,3754,3791,3806,3810,3805,3778,3772,3773,3784,3802,3838,3888,3949,4040,4101,4151,4188,4219,4251,4287,4328,4372,4426,4490,4562,4656,4744,4828,4908,4982,5038,5075,5094,5093,5087,5075,5057,5033,5031,5050,5091,5049,5011,4976,4945,4833,4742,4670,4618,4365,4177,4056,4002,4014,4011,3993,3960,3912,3877,3853,3841,3787
"18","10","      Financial services furnished without payment","B1607C0",4781,4905,5067,5243,5158,4574,4633,4599,4482,4315,4263,3928,3980,3705,3584,3739,3853,4803,4821,4807,5574,5613,5887,6282,6810,6851,7370,7477,7376,7505,7176,6919,7170,6964,7782,7416,6934,6468,6397,6341,6616,6617,6866,7273,7511,7472,7255,7282,7355,6939,6935,7231,6930,7012,7098,7020,7770,7555,6739,6472,6603,6934,6809,6870,6991,6872,6511,6066,5909,5873,5835,5831,5922,6158,6237,6247,6188,6160,6181,6351,6462,6744,6770,7572,6971,7398,8072,8855,10049,11371,11242,11362,11205,11092,10691,10520,10526,10509,9939,9938,10699,11107,12040,11926,12029
"19","11","Equals: Exports of services, NIPAs","A646RC0",91453,91156,95653,99066,102342,106339,107412,108776,113766,117500,121014,120116,129204,131071,135787,139092,146899,151810,157537,165699,160245,171055,176240,184546,186391,186330,188664,186651,192797,195818,197019,196974,203574,209857,213038,216075,218471,222122,234878,238937,239456,247047,244266,266571,260862,267954,270005,268087,269305,274999,269248,278459,285156,290714,294934,297681,303310,312152,308226,311896,308142,306777,292696,278374,293955,299662,304965,312272,303497,300969,317867,334463,351696,359492,361288,380497,390729,392443,400804,411912,428911,439550,445328,472779,470162,480791,510993,536708,540222,559105,559270,538553,511459,514711,521069,543755,545723,556999,573032,587740,604652,621014,634830,618395,632061
"20","12","Income receipts, ITAs","B1239C0",102976,97864,94696,92716,97808,106800,109940,118184,130716,131500,137940,146696,155820,163372,162004,163952,167080,168020,167348,184520,168588,148832,142196,137256,136872,139196,130684,128308,133356,133820,137856,139196,148180,158332,172724,186844,202296,212088,210092,216496,220908,219136,225336,239128,248376,260552,262128,256164,265780,268452,257100,255944,269964,285480,304600,321664,334720,356616,348808,369772,329308,305000,277100,258320,267492,280804,297192,285332,301132,312152,323484,352860,386748,402216,423472,450736,500736,516000,546600,586012,623192,680204,704732,730352,763520,826964,869812,875040,863156,856532,833416,702508,587004,573028,599104,647300,647856,665168,685240,706864,723124,757996,749796,747564,730024
"21","13","Less: Statistical differences \2\","B1240C0",-373,-630,-813,-912,-844,-845,-840,-838,-742,-760,-791,-836,-923,-977,-1026,-1069,-974,-1024,-1086,-1160,-1131,-1210,-1283,-1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,1456,1552,1524,1508,1636,1520,1576,1512,1688,1632,1704,1656,1800,1784,1796,1988,2048,1920,1864,2080,2160,2020,1960,2124,2052,2048,2068,2342,2365,2445,2440,4844,5712,5312,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
