"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2005) dollars; quarters and months are seasonally adjusted at annual rates]                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2012  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/26/2012 5:04:20 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8",NA,"Personal consumption expenditures by major type of product (From NIPA table 2.3.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Personal consumption expenditures (PCE)","DPCERX0",6076241,6288295,6520426,6862347,7237648,7604649,7810331,8018254,8244499,8515775,8803525,9054454,9262896,9211714,9032601,9196162,9428842
"10","2","Goods","DGDSRX0",1895984,1980882,2075335,2215543,2392012,2518195,2597293,2702854,2827208,2953276,3076726,3178921,3273454,3192897,3098183,3209148,3330964
"11","3","  Durable goods","DDURRX0",510453,548555,593341,665643,752033,818004,862409,927892,989131,1060938,1123352,1174215,1232443,1171809,1109109,1178250,1262592
"12","4","    Motor vehicles and parts","DMOTRX0",255593,267989,286114,316030,345121,356103,374302,394008,404755,410435,408191,394384,401435,346828,322635,329453,347441
"13","5","    Furnishings and durable household equipment","DFDHRX0",133059,138824,145328,157311,175550,192480,202267,217009,229124,247209,261281,272543,274350,262773,240696,257498,272526
"14","6","    Recreational goods and vehicles","DREQRX0",75204,86842,100350,120546,146266,171745,188808,211747,238769,274678,312815,356212,400878,416204,410214,455465,508603
"15","7","    Other durable goods","DODGRX0",69982,74631,78367,86066,96336,104896,102643,109429,119122,129492,141064,151883,159034,153717,145746,152125,158428
"16","8","  Nondurable goods","DNDGRX0",1437660,1479205,1522722,1580176,1660683,1714532,1745421,1780054,1840711,1892805,1953375,2004995,2042909,2019070,1982816,2029325,2075196
"17","9","    Food and beverages purchased for off-premises consumption","DFXARX0",548435,553943,558768,565464,587297,600516,607519,608935,616529,623852,644493,662998,673193,666030,654796,668846,685267
"18","10","    Clothing and footwear","DCLORX0",201095,210848,217783,231059,246231,258146,260587,268565,282640,296019,314018,328651,340129,338093,320958,338144,349959
"19","11","    Gasoline and other energy goods","DGOERX0",264298,268478,273896,283738,292425,287095,289167,293952,301933,305870,303787,296867,294404,280601,282371,281291,271546
"20","12","    Other nondurable goods","DONGRX0",442805,462443,487876,514149,546036,574002,592650,612199,641990,668154,691077,717341,737483,739680,727718,745573,777445
"21","13","Services","DSERRX0",4208499,4331735,4465338,4662148,4853132,5093627,5219051,5318489,5418176,5562676,5726799,5875642,5990150,6016986,5930570,5987569,6101475
"22","14","  Household consumption expenditures (for services)","DHCERX0",4068903,4183608,4327593,4510997,4690785,4918222,5029259,5109773,5199400,5345065,5515091,5640641,5745200,5745636,5656254,5710205,5814324
"23","15","    Housing and utilities","DHUTRX0",1234771,1261587,1290299,1329650,1371664,1413561,1451383,1461884,1480151,1512796,1582576,1616848,1626566,1637808,1655207,1668671,1677682
"24","16","    Health care","DHLCRX0",947595,967189,997218,1029614,1045699,1081640,1135567,1202448,1228331,1267439,1308891,1332957,1364035,1396473,1420800,1439031,1488517
"25","17","    Transportation services","DTRSRX0",213861,231388,248842,259199,273516,286252,283615,275869,276885,283763,285961,285456,287898,272000,245956,243498,248874
"26","18","    Recreation services","DRCARX0",245291,256379,264518,273331,286666,295270,294939,296786,306145,322098,328234,339942,353191,348601,333948,337409,345889
"27","19","    Food services and accommodations","DFSARX0",416022,418766,428030,439180,450019,470532,469875,477215,494981,515078,533906,551635,559071,553892,531686,545079,565249
"28","20","    Financial services and insurance","DIFSRX0",489868,508223,525705,559144,606175,665987,661334,658934,659160,675475,698429,716423,739820,732307,680583,683681,681783
"29","21","    Other services","DOTSRX0",524276,541953,574061,621672,656741,704164,732627,737043,753870,768437,777094,797421,814950,804995,788176,792960,806116
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",142245,150877,140509,153872,164936,177782,191341,208977,218717,217643,211707,235135,245219,272865,276416,279538,290075
"31","23","    Gross output of nonprofit institutions \2\","DNPERX0",636432,653411,663792,696719,720961,748985,785296,831103,844098,860458,874298,902477,926038,954929,971279,984582,1010790
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",497163,505371,526787,545989,558626,573063,595172,622527,625248,642814,662591,667518,681122,683443,696163,706271,722469
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRX0",5123934,5319407,5540655,5860117,6199505,6545474,6742493,6938627,7145151,7401787,7665289,7911533,8110365,8087217,7913396,8057968,8292423
"35","26","  Energy goods and services \5\","DNRGRX0",428093,438219,440969,453984,463418,465410,463923,473602,485330,490986,493743,481101,481745,464099,467890,473009,459531
