"","Table 6#5B# Full-Time Equivalent Employees by Industry          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2012 2:20:34 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Full-time equivalent employees \1\","A4301C0",71718,71225,70846,72674,76034,77142,75376,77712,80417,84512,87302,87222,87984,85821,86351,90627,92981,94655,97302
"9","2","Domestic industries","A4302C0",71740,71245,70865,72695,76058,77163,75401,77737,80440,84540,87324,87246,88046,85885,86421,90700,93053,94722,97368
"10","3","  Private industries","A4303C0",57024,56554,56206,58018,61172,62005,59937,62195,64770,68531,71180,70958,71881,69714,70366,74436,76436,77767,80131
"11","4","    Agriculture, forestry, and fishing","J4304C0",1274,1280,1276,1293,1368,1458,1440,1532,1490,1496,1546,1593,1582,1463,1569,1488,1394,1381,1455
"12","5","      Farms","B4305C0",1032,1041,1034,1032,1070,1146,1152,1206,1141,1081,1088,1116,1076,1022,1106,995,863,816,826
"13","6","      Agricultural services, forestry, and fishing","J4306C0",242,239,242,261,298,312,288,326,349,415,458,477,506,441,463,493,531,565,629
"14","7","    Mining","J4307C0",611,615,602,612,626,685,739,767,811,858,930,1012,1128,1108,939,958,915,766,706
"15","8","      Metal mining","B4308C0",91,95,89,86,88,96,93,93,92,82,89,88,93,74,58,56,47,43,45
"16","9","      Coal mining","J4309C0",133,143,145,158,158,176,211,225,236,232,252,249,234,237,190,196,187,173,159
"17","10","      Oil and gas extraction","J4310C0",274,264,256,258,266,296,320,335,368,425,465,553,685,689,586,598,571,441,394
"18","11","      Nonmetallic minerals, except fuels","B4311C0",113,113,112,110,114,117,115,114,115,119,124,122,116,108,105,108,109,108,109
"19","12","    Construction","J4312C0",3562,3481,3538,3739,4011,3928,3442,3510,3772,4206,4459,4231,4074,3740,3797,4257,4514,4667,4755
"20","13","    Manufacturing","J4313C0",19789,18906,18087,18571,19605,19538,17783,18546,19245,20092,20611,19813,19749,18247,17935,18888,18753,18462,18570
"21","14","      Durable goods","J4314C0",11786,11064,10445,10824,11666,11729,10488,10916,11450,12143,12614,12016,11956,10844,10558,11340,11309,11039,11011
"22","15","        Lumber and wood products","J4315C0",686,672,695,719,744,702,598,666,708,746,758,672,645,572,632,685,673,682,723
"23","16","        Furniture and fixtures","J4316C0",453,422,420,460,490,470,398,433,453,480,481,450,449,413,442,473,475,485,501
"24","17","        Stone, clay, and glass products","J4317C0",653,633,622,646,682,672,619,634,654,692,703,654,633,560,556,585,577,573,575
