"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 29, 2012 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/30/2012 8:48:03 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19","1","    Gross domestic product","A191RX1","9,085,963.0","9,425,844.0","9,845,924.0","10,274,741.0","10,770,650.0","11,216,398.0","11,337,473.0","11,543,115.0","11,836,427.0","12,246,929.0","12,622,956.0","12,958,492.0","13,206,365.0","13,161,939.0","12,757,933.0","13,062,966.0","13,299,103.0"
"20","2","Personal consumption expenditures","DPCERX1","6,076,241.0","6,288,295.0","6,520,426.0","6,862,347.0","7,237,648.0","7,604,649.0","7,810,331.0","8,018,254.0","8,244,499.0","8,515,775.0","8,803,525.0","9,054,454.0","9,262,896.0","9,211,714.0","9,032,601.0","9,196,162.0","9,428,842.0"
"21","3","  Goods","DGDSRX1","1,895,984.0","1,980,882.0","2,075,335.0","2,215,543.0","2,392,012.0","2,518,195.0","2,597,293.0","2,702,854.0","2,827,208.0","2,953,276.0","3,076,726.0","3,178,921.0","3,273,454.0","3,192,897.0","3,098,183.0","3,209,148.0","3,330,964.0"
"22","4","    Durable goods","DDURRX1","510,453.0","548,555.0","593,341.0","665,643.0","752,033.0","818,004.0","862,409.0","927,892.0","989,131.0","1,060,938.0","1,123,352.0","1,174,215.0","1,232,443.0","1,171,809.0","1,109,109.0","1,178,250.0","1,262,592.0"
"23","5","      Motor vehicles and parts","DMOTRX1","255,593.0","267,989.0","286,114.0","316,030.0","345,121.0","356,103.0","374,302.0","394,008.0","404,755.0","410,435.0","408,191.0","394,384.0","401,435.0","346,828.0","322,635.0","329,453.0","347,441.0"
"24","6","      Furnishings and durable household equipment","DFDHRX1","133,059.0","138,824.0","145,328.0","157,311.0","175,550.0","192,480.0","202,267.0","217,009.0","229,124.0","247,209.0","261,281.0","272,543.0","274,350.0","262,773.0","240,696.0","257,498.0","272,526.0"
"25","7","      Recreational goods and vehicles","DREQRX1","75,204.0","86,842.0","100,350.0","120,546.0","146,266.0","171,745.0","188,808.0","211,747.0","238,769.0","274,678.0","312,815.0","356,212.0","400,878.0","416,204.0","410,214.0","455,465.0","508,603.0"
"26","8","      Other durable goods","DODGRX1","69,982.0","74,631.0","78,367.0","86,066.0","96,336.0","104,896.0","102,643.0","109,429.0","119,122.0","129,492.0","141,064.0","151,883.0","159,034.0","153,717.0","145,746.0","152,125.0","158,428.0"
"27","9","    Nondurable goods","DNDGRX1","1,437,660.0","1,479,205.0","1,522,722.0","1,580,176.0","1,660,683.0","1,714,532.0","1,745,421.0","1,780,054.0","1,840,711.0","1,892,805.0","1,953,375.0","2,004,995.0","2,042,909.0","2,019,070.0","1,982,816.0","2,029,325.0","2,075,196.0"
"28","10","      Food and beverages purchased for off-premises consumption","DFXARX1","548,435.0","553,943.0","558,768.0","565,464.0","587,297.0","600,516.0","607,519.0","608,935.0","616,529.0","623,852.0","644,493.0","662,998.0","673,193.0","666,030.0","654,796.0","668,846.0","685,267.0"
"29","11","      Clothing and footwear","DCLORX1","201,095.0","210,848.0","217,783.0","231,059.0","246,231.0","258,146.0","260,587.0","268,565.0","282,640.0","296,019.0","314,018.0","328,651.0","340,129.0","338,093.0","320,958.0","338,144.0","349,959.0"
"30","12","      Gasoline and other energy goods","DGOERX1","264,298.0","268,478.0","273,896.0","283,738.0","292,425.0","287,095.0","289,167.0","293,952.0","301,933.0","305,870.0","303,787.0","296,867.0","294,404.0","280,601.0","282,371.0","281,291.0","271,546.0"
"31","13","      Other nondurable goods","DONGRX1","442,805.0","462,443.0","487,876.0","514,149.0","546,036.0","574,002.0","592,650.0","612,199.0","641,990.0","668,154.0","691,077.0","717,341.0","737,483.0","739,680.0","727,718.0","745,573.0","777,445.0"
"32","14","  Services","DSERRX1","4,208,499.0","4,331,735.0","4,465,338.0","4,662,148.0","4,853,132.0","5,093,627.0","5,219,051.0","5,318,489.0","5,418,176.0","5,562,676.0","5,726,799.0","5,875,642.0","5,990,150.0","6,016,986.0","5,930,570.0","5,987,569.0","6,101,475.0"
"33","15","    Household consumption expenditures (for services)","DHCERX1","4,068,903.0","4,183,608.0","4,327,593.0","4,510,997.0","4,690,785.0","4,918,222.0","5,029,259.0","5,109,773.0","5,199,400.0","5,345,065.0","5,515,091.0","5,640,641.0","5,745,200.0","5,745,636.0","5,656,254.0","5,710,205.0","5,814,324.0"
"34","16","      Housing and utilities","DHUTRX1","1,234,771.0","1,261,587.0","1,290,299.0","1,329,650.0","1,371,664.0","1,413,561.0","1,451,383.0","1,461,884.0","1,480,151.0","1,512,796.0","1,582,576.0","1,616,848.0","1,626,566.0","1,637,808.0","1,655,207.0","1,668,671.0","1,677,682.0"
"35","17","      Health care","DHLCRX1","947,595.0","967,189.0","997,218.0","1,029,614.0","1,045,699.0","1,081,640.0","1,135,567.0","1,202,448.0","1,228,331.0","1,267,439.0","1,308,891.0","1,332,957.0","1,364,035.0","1,396,473.0","1,420,800.0","1,439,031.0","1,488,517.0"
"36","18","      Transportation services","DTRSRX1","213,861.0","231,388.0","248,842.0","259,199.0","273,516.0","286,252.0","283,615.0","275,869.0","276,885.0","283,763.0","285,961.0","285,456.0","287,898.0","272,000.0","245,956.0","243,498.0","248,874.0"
"37","19","      Recreation services","DRCARX1","245,291.0","256,379.0","264,518.0","273,331.0","286,666.0","295,270.0","294,939.0","296,786.0","306,145.0","322,098.0","328,234.0","339,942.0","353,191.0","348,601.0","333,948.0","337,409.0","345,889.0"
"38","20","      Food services and accommodations","DFSARX1","416,022.0","418,766.0","428,030.0","439,180.0","450,019.0","470,532.0","469,875.0","477,215.0","494,981.0","515,078.0","533,906.0","551,635.0","559,071.0","553,892.0","531,686.0","545,079.0","565,249.0"
"39","21","      Financial services and insurance","DIFSRX1","489,868.0","508,223.0","525,705.0","559,144.0","606,175.0","665,987.0","661,334.0","658,934.0","659,160.0","675,475.0","698,429.0","716,423.0","739,820.0","732,307.0","680,583.0","683,681.0","681,783.0"
"40","22","      Other services","DOTSRX1","524,276.0","541,953.0","574,061.0","621,672.0","656,741.0","704,164.0","732,627.0","737,043.0","753,870.0","768,437.0","777,094.0","797,421.0","814,950.0","804,995.0","788,176.0","792,960.0","806,116.0"
"41","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1","142,245.0","150,877.0","140,509.0","153,872.0","164,936.0","177,782.0","191,341.0","208,977.0","218,717.0","217,643.0","211,707.0","235,135.0","245,219.0","272,865.0","276,416.0","279,538.0","290,075.0"
"42","24","      Gross output of nonprofit institutions \2\","DNPERX1","636,432.0","653,411.0","663,792.0","696,719.0","720,961.0","748,985.0","785,296.0","831,103.0","844,098.0","860,458.0","874,298.0","902,477.0","926,038.0","954,929.0","971,279.0","984,582.0","1,010,790.0"
"43","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1","497,163.0","505,371.0","526,787.0","545,989.0","558,626.0","573,063.0","595,172.0","622,527.0","625,248.0","642,814.0","662,591.0","667,518.0","681,122.0","683,443.0","696,163.0","706,271.0","722,469.0"
"44","26","Gross private domestic investment","A006RX1","1,254,334.0","1,365,298.0","1,535,190.0","1,688,886.0","1,837,572.0","1,963,109.0","1,825,223.0","1,800,376.0","1,870,127.0","2,058,214.0","2,172,282.0","2,231,844.0","2,159,499.0","1,939,758.0","1,458,124.0","1,658,037.0","1,743,991.0"
