"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 29, 2013    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/26/2013 6:13:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","S1 EN04472AMA       Retail and food services","T050010",2106113,2249744,2434717,2560793,2720076,2845446,2979321,3221946,3430032,3521858,3605673,3767153,4004272,4267409,4498664,4644918,4589326,4260691,4494325,4843875,5086423
"9","2","S1 EN44ZZZZMA Retail trade","T050020",1890975,2021442,2196262,2313804,2463311,2572981,2691820,2920640,3107361,3186344,3255645,3397590,3610896,3848573,4050928,4173384,4107062,3782244,4000304,4321073,4526806
"10","3","S1 EN441ZZZMA   Motor vehicle and parts dealers","T050030",432529,488558,558959,598868,648151,674878,710749,788303,822979,843141,847147,871347,896494,920882,937827,943934,813234,707075,783527,866615,931126
