"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Millions of chained (2005) dollars];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 27, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/26/2013 7:50:59 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","S1 QN04472AMG       Retail and food services","T060010",697002,705218,715045,722390,728094,737847,743187,750463,758349,757664,775093,778967,790335,810309,809699,834075,850189,859189,870473,887116,900665,895907,901520,903471,907213,912625,910310,949859,940737,940784,951188,953212,956358,978353,999869,1004774,1012454,1014917,1029051,1043791,1052119,1069597,1072224,1073468,1102640,1100075,1103646,1119549,1123745,1120762,1126262,1124605,1106517,1102008,1072852,1036425,1031563,1021702,1027314,1027147,1038359,1058075,1064072,1086005,1095577,1095950,1101324,1124476,1136410,1137508,1148252,1162827,1177848
"10","2","S1 QN44ZZZZMG Retail trade","T060020",618346,625840,635158,642572,648095,657243,662188,668410,675313,674577,690607,695159,705431,724178,723274,746152,762801,770960,782080,796500,808440,803375,808746,811100,813669,819656,817244,856320,846182,845888,856198,858365,860872,880840,900581,904659,911691,914247,927625,941158,948983,964939,967376,967275,994386,992646,995535,1009167,1014033,1010592,1015941,1013688,997860,993007,964756,929736,926474,917846,924188,923944,933953,952400,957741,979048,987654,987028,991681,1013308,1023113,1023891,1035077,1047236,1062164
"11","3","S1 QN441ZZZMG   Motor vehicle and parts dealers","T060030",150925,155098,159186,160224,164944,165379,166473,168096,171205,168262,174845,174945,176148,185362,178396,189134,193234,198395,204048,205318,214538,205972,206130,201908,204102,206546,202561,227646,209280,207466,216960,211565,213750,219619,227052,225728,225643,223211,229895,232723,229081,234179,235454,222168,232646,230180,232482,233608,234147,234006,235078,230872,223416,213168,198550,174756,173545,171992,180579,173883,174076,182899,186357,194548,198833,193469,194167,204336,206155,205651,209930,214984,218981
"12","4","S4 QN4411ZZMG     Automobile dealers","T060040",129589,133236,136647,137706,142231,142166,142805,143865,146545,143648,149555,149611,150183,158899,151564,161858,165571,170029,175368,175819,183751,176415,176338,172261,175362,176942,173323,197871,178885,177329,186624,181668,183420,188230,194086,191776,191607,189434,195726,198104,193666,198331,200230,186939,196406,194892,197531,197944,198755,198332,199182,195461,189000,179036,165767,144707,144486,143992,152300,146038,146687,154910,158366,166041,170843,165315,165591,175937,177049,177221,181675,186955,190736
"13","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",6991,7198,7610,7271,7251,7525,7888,8103,8295,8169,8533,8671,9070,9360,9816,10088,10227,10665,10788,11291,12714,11698,11734,11975,11898,12477,12245,12787,13333,12941,13136,12900,13377,14155,15366,16229,16212,15985,16360,16506,16958,17438,17006,16662,17450,17147,16751,17523,17193,17394,17612,17259,16725,16158,15000,12158,11495,10828,11587,11217,10378,10515,10357,10664,10490,10497,10599,10632,11199,11006,11042,10983,11193
"14","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",14457,14776,15044,15365,15557,15804,15907,16280,16516,16626,16919,16823,17080,17233,17221,17319,17557,17810,17966,18317,18125,17942,18160,17779,16854,17154,17034,16857,17078,17226,17179,16993,16951,17233,17599,17724,17825,17794,17806,18110,18464,18414,18220,18554,18782,18143,18217,18146,18210,18285,18301,18171,17717,17890,17581,17423,17137,16794,16485,16350,16705,17207,17386,17650,17392,17474,17764,17679,17818,17390,17249,17158,17206
"15","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",22099,22340,22863,23659,23637,24506,24749,24930,25173,25956,26744,27354,28135,28392,29377,30274,30964,32070,33492,34428,35787,36195,36404,36022,36702,36906,37718,39327,40600,40972,40998,42056,41826,43950,46055,47666,48536,49950,51710,52864,54224,55325,57122,58498,60611,61161,62420,63590,64700,64777,66078,67617,66142,67362,65002,62238,61395,59295,60057,61818,64136,65385,66344,66942,68304,68983,70264,72972,74124,75128,76953,78675,79505
"16","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",15846,15896,16121,16559,16400,17038,17225,17440,17704,17920,18397,18828,19126,19064,19219,19891,20183,20667,21488,22143,22711,23120,23115,22482,22978,22910,23039,23532,24258,24141,23963,24485,24229,25300,25872,26503,26797,27071,27923,28160,28339,28683,29357,29721,30306,30163,30289,30036,30447,30102,30036,29808,28615,28469,26783,25425,24153,23603,23658,23917,24648,24980,25390,25381,25543,25532,25945,26591,27546,27815,28239,28565,28808
"17","9","S4 QN4421ZZMG       Furniture Stores","T060090",9125,9145,9314,9478,9390,9762,9756,9857,10097,10137,10424,10756,10910,10829,10851,11114,11298,11397,11845,12177,12452,12841,12817,12419,12647,12662,12769,13098,13380,13291,12994,13188,12799,13204,13457,13828,13960,14170,14586,14850,14873,15114,15643,15697,15787,15578,15796,15684,15800,15665,15561,15518,14974,14764,13843,13078,12703,12252,12417,12638,13015,13333,13541,13631,13678,13632,13859,14089,14576,14643,14755,14606,14308
"18","10","S4 QN4422ZZMG       Home furnishings stores","T060100",6703,6734,6788,7066,6995,7259,7459,7573,7593,7772,7961,8055,8201,8222,8358,8770,8878,9268,9641,9964,10259,10274,10292,10058,10327,10244,10265,10429,10874,10846,10966,11295,11429,12097,12417,12678,12839,12903,13338,13309,13465,13568,13714,14024,14520,14587,14493,14353,14649,14438,14477,14291,13642,13706,12942,12349,11450,11353,11241,11278,11632,11646,11849,11750,11865,11900,12086,12500,12968,13171,13485,13965,14512
"19","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",7508,7648,7898,8233,8295,8584,8660,8677,8713,9156,9469,9678,10082,10306,10952,11238,11593,12154,12753,13075,13790,13848,14018,14136,14350,14567,15163,16177,16730,17149,17313,17836,17835,18871,20323,21273,21832,22928,23832,24728,25889,26641,27763,28777,30320,31036,32212,33730,34446,34931,36428,38397,38228,39784,39275,37896,38625,36939,37763,39490,41203,42216,42768,43506,44924,45779,46728,49099,48996,49835,51479,53168,53833
"20","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",45762,45011,45880,47714,47515,48861,49497,49685,50426,50935,52014,53012,54017,55629,56588,59310,60245,60013,60122,63070,64947,63207,64086,64977,66804,68315,67035,68341,69884,71190,71013,71356,71826,74014,76111,76411,77017,78432,79108,81609,82959,84886,85162,87453,92484,88215,86742,86692,86212,84341,83898,82881,81036,81412,80550,75366,72596,71434,69900,68340,68394,71211,69863,72376,70252,71979,72921,74851,76833,73076,74225,75514,76021
"21","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",39339,38651,39170,41029,41056,42143,42490,42544,43064,43670,44248,45001,45766,47173,48415,50438,51469,51384,51450,54079,55475,55073,55469,56035,57707,58701,58595,59974,60973,62315,62371,62768,63199,65262,67317,68080,68403,70119,70526,72782,74246,75915,76404,78694,83735,79189,77755,77708,77212,75988,75108,73748,72179,72405,70961,66136,63656,62537,61907,60601,60012,62054,60611,62443,60563,62035,62799,63813,65533,62884,63389,64482,64530
"22","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",6430,6368,6725,6699,6478,6735,7016,7145,7364,7270,7771,8018,8260,8466,8170,8881,8772,8618,8663,8974,9468,8085,8577,8904,9061,9574,8403,8331,8876,8838,8606,8552,8591,8720,8768,8323,8596,8314,8576,8822,8713,8971,8759,8759,8747,9028,8988,8983,8995,8374,8778,9082,8816,8955,9458,9077,8786,8730,7919,7675,8237,8958,9029,9666,9425,9672,9841,10688,10943,9901,10502,10691,11122
"23","15","S1 QN445ZZZMG   Food and beverage stores","T060150",128414,127179,126986,127228,127169,126816,126509,126078,126538,126130,126758,126675,126109,126448,126910,127307,127625,128375,128581,129727,127208,128877,128096,128949,128717,129184,129202,129919,128776,126792,126988,127690,128363,127496,128149,126800,127911,127511,127923,128539,129977,129916,130574,131225,131490,132679,132739,134602,134062,133140,133183,133850,132628,131831,130355,128478,127278,127693,128035,128899,129780,128900,128998,130408,131225,131513,130931,130421,131249,131877,132373,133150,133941
"24","16","S1 QN4451ZZMG     Grocery stores","T060160",117336,116271,115910,115966,115751,115473,115264,114998,115278,114874,115241,115107,114414,114750,115165,115542,115969,116573,116936,117836,115177,116646,115686,116546,116151,116707,116751,117360,116271,114251,114452,115196,115926,114918,115273,113812,114787,114294,114749,115429,116764,116536,117138,117614,117585,118869,118822,120381,119800,118909,118919,119488,118629,117626,116013,114384,113279,113670,114030,114862,115530,114536,114650,115921,116785,117037,116403,115742,116355,116855,117434,117800,118369
"25","17","S3 QN4452ZZMG     Specialty food stores","T060170",3965,3842,3911,3994,3975,3943,3858,3889,3962,3833,4012,3934,3945,3992,3944,3893,3903,3914,3796,3917,3979,4059,4049,4016,4139,4132,4178,4170,4092,4196,4301,4312,4272,4345,4415,4418,4540,4546,4491,4401,4471,4551,4495,4443,4488,4380,4441,4626,4570,4429,4463,4617,4322,4419,4424,4263,4244,4343,4335,4323,4372,4437,4489,4460,4298,4286,4213,4301,4438,4458,4523,4601,4721
"26","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",7150,7101,7197,7297,7468,7426,7413,7220,7326,7448,7528,7654,7766,7724,7817,7888,7772,7905,7869,7992,8063,8183,8364,8391,8430,8351,8281,8395,8417,8348,8241,8190,8174,8240,8463,8570,8584,8670,8684,8709,8743,8829,8941,9168,9418,9431,9478,9596,9694,9806,9806,9746,9679,9792,9934,9851,9774,9693,9684,9726,9892,9946,9876,10045,10159,10209,10345,10416,10494,10607,10444,10801,10907
"27","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",29557,30050,30140,30551,31065,31696,32017,32087,32246,31770,33152,33798,34769,35554,35429,36394,37757,38573,38791,39212,39696,40910,41620,41787,41061,41354,41106,42050,43283,43425,43274,44960,44984,46353,47602,48300,49670,49101,49548,50816,51734,53149,52767,54902,55734,55875,56689,57582,58072,58342,58964,58653,58058,58814,57194,54041,53475,52691,53400,53492,54700,55280,55568,57297,57333,58114,57443,57649,58824,58488,59393,59580,60038
"28","20","S2 QN4481ZZMG     Clothing stores","T060200",20671,20715,20865,21023,21270,21699,22000,22108,22247,21955,23095,23482,24114,24741,24628,25176,26210,26848,26828,26861,27392,28397,28825,29262,28811,29153,29060,29858,30512,30713,30689,32033,32069,33125,33933,34314,35472,35119,35611,36599,37308,38354,38323,39764,40214,40536,41218,42142,42893,43054,43601,43476,43077,43852,42619,41103,41100,40272,40838,41088,41994,42752,42958,44389,44468,44875,44318,44768,45544,45222,45985,45866,46102
