"","Table 5#3#6# Real Private Fixed Investment by Type, Chained Doll","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 4:06:27 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Private fixed investment","A007RX1",2165.9,2316.2,2280,2201.1,2289.5,2443.9,2611,2662.5,2609.6,2432.6,2025.7,2056.2,2184.6,2365.3
"9","2","Nonresidential","A008RX1",1510.1,1647.7,1608.4,1498,1526.1,1605.4,1717.4,1839.6,1948.4,1934.4,1633.4,1673.8,1800.5,1931.8
"10","3","  Structures","B009RX1",494.9,533.5,525.4,432.5,415.8,414.1,421.2,451.5,509,540.2,438.2,366.3,374.1,421.6
"11","4","    Commercial and health care","W001RX1",199,212.3,202,171.1,160.3,164.2,162.8,172.6,189.9,182.8,126.7,95.2,94.8,102.3
"12","5","    Manufacturing","C307RX1",53.9,55.6,54.1,31.6,29.2,30.1,34.2,36.5,43.1,53.8,56.3,40.8,39.1,45
"13","6","    Power and communication","W003RX1",62.8,72.5,74.7,72.9,67.2,56.1,58.1,61.7,85.9,94.5,95.8,80.4,74.1,88
"14","7","    Mining exploration, shafts, and wells \1\","E318RX1",64.5,80.5,94.9,69.4,79.3,84.2,92.1,99.5,97.9,105,75,87.8,109,124.1
"15","8","    Other structures \2\","W004RX1",94.7,97.5,93,78.6,75.6,76.7,72.7,79.7,91.8,103.4,84.5,62,57.3,61.9
"16","9","  Equipment","Y033RX1",662.4,726.9,695.7,658,679,731.2,801.6,870.8,898.3,836.1,644.3,746.7,841.7,905.9
"17","10","    Information processing equipment","Y034RX1",149.5,180.4,178.2,169.9,185.8,204.5,222.2,250.9,279.9,281,256.1,281.4,287.9,295.7
"18","11","      Computers and peripheral equipment \3\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","12","      Other \4\","A937RX1",127.3,153.2,148.5,135,147.3,160.7,172.6,187.5,207.9,204.2,179.3,196.8,204.3,207.8
"20","13","    Industrial equipment","A680RX1",182.8,198.5,183.9,171.6,172.2,169.1,183.6,199.1,205.3,195.5,152.1,151.3,175,184.6
"21","14","    Transportation equipment","A681RX1",208.4,204.1,184.9,167.2,154.8,176.5,197.9,212.6,203.6,156.9,70.6,136.9,181,221
"22","15","    Other equipment \5\","A862RX1",161.4,170.5,169.2,167.9,179.3,192.4,210.9,219.6,217,206.5,165.6,179.8,201.8,209.7
"23","16","  Intellectual property products","Y001RX1",391.1,426.1,428,425.9,442.2,464.9,495,517.5,542.4,558.8,550.9,561.3,586.1,605.8
"24","17","    Software \6\","B985RX1",154.5,175.9,177.1,176.9,189,207.9,221.2,230.3,244.2,256.2,256.8,254.2,269.8,285.9
"25","18","    Research and development \7\","Y006RX1",183.9,193,195.6,190.5,189.1,191,202.3,215,227.9,235.5,229,234.4,241.8,245.7
"26","19","    Entertainment, literary, and artistic originals","Y020RX1",55.9,59.3,57.5,60.3,64.8,65.8,71.3,72.1,70.3,67.1,65.1,72.7,74.6,74.8
"27","20","Residential","A011RX1",633.8,637.9,643.7,682.7,744.5,818.9,872.6,806.6,654.8,497.7,392.2,382.4,384.3,433.7
"28","21","  Structures","A012RX1",626.5,630.1,635.7,674.5,735.9,809.2,862.5,796.3,644.9,488.4,383.9,373.6,375.1,424.2
"29","22","    Permanent site","A943RX1",357.7,360.6,362.7,377.3,414.2,462.2,494.8,451.6,336.1,223.1,133.9,128.5,123.9,154
"30","23","      Single family","A944RX1",311.2,314.6,315.1,327.3,362.2,405.7,433,390.7,283.7,178.2,105.3,114.4,109.2,132.1
"31","24","      Multifamily","C292RX1",43.6,42.8,44.7,47.1,48.3,52,57.2,57.6,51,44.9,28.5,14.3,15,22.1
"32","25","    Other structures \8\","A863RX1",269.4,270.1,273.5,297.2,321.9,347.6,368.3,345.2,309.3,265.6,250.1,245.1,251.1,270.4
