"","Table 6#4D# Full-Time and Part-Time Employees by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 4:09:16 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Full-time and part-time employees","A4201C0",131563,134350,137228,136890,135937,135602,137067,139006,141440,142928,142000,136170,134846,136542,138756
"9","2","Domestic industries","A4202C0",132031,134864,137691,137522,136578,136293,137812,139770,142241,143774,143283,137105,135804,137506,139741
"10","3","  Private industries","A4203C0",109709,112253,114597,114095,112679,112290,113761,115633,117941,119259,118414,112139,110848,112910,115357
"11","4","    Agriculture, forestry, fishing, and hunting","N4204C0",1325,1359,1331,1296,1284,1299,1235,1201,1298,1266,1251,1241,1274,1284,1318
"12","5","      Farms \1\","N4205C0",856,903,877,873,872,885,824,780,752,750,732,739,754,763,780
"13","6","      Forestry, fishing, and related activities","N4206C0",469,456,454,423,413,414,411,421,546,516,519,502,519,522,539
"14","7","    Mining","N4207C0",570,531,521,537,509,502,523,558,615,658,717,640,648,726,793
"15","8","      Oil and gas extraction","N4208C0",140,130,125,125,122,121,122,126,135,146,162,161,159,171,188
"16","9","      Mining, except oil and gas","N4209C0",246,235,223,221,210,201,206,213,221,221,226,207,204,214,218
"17","10","      Support activities for mining","N4210C0",183,166,173,191,176,181,195,219,260,291,329,272,285,341,387
"18","11","    Utilities","N4211C0",608,604,602,600,588,568,559,551,548,551,559,562,552,551,551
"19","12","    Construction","N4212C0",6238,6607,6884,7043,6991,7013,7282,7606,7951,7893,7438,6249,5700,5686,5796
"20","13","    Manufacturing","N4213C0",17606,17383,17288,16457,15267,14509,14305,14235,14167,13883,13425,11856,11524,11740,11946
"21","14","      Durable goods","N4214C0",10959,10857,10881,10353,9488,8966,8919,8958,8984,8815,8489,7290,7063,7285,7487
"22","15","        Wood products","N4215C0",613,624,618,575,558,539,554,564,559,519,457,362,342,338,341
"23","16","        Nonmetallic mineral products","N4216C0",539,548,559,545,519,498,499,506,513,501,464,390,368,364,366
"24","17","        Primary metals","N4217C0",640,623,616,568,507,476,468,466,467,455,446,364,362,392,405
"25","18","        Fabricated metal products","N4218C0",1752,1742,1760,1679,1549,1480,1493,1520,1551,1560,1541,1312,1281,1346,1408
"26","19","        Machinery","N4219C0",1502,1463,1453,1368,1225,1150,1141,1160,1181,1187,1184,1026,994,1056,1100
"27","20","        Computer and electronic products","N4220C0",1828,1756,1799,1756,1499,1353,1317,1308,1304,1273,1246,1136,1100,1106,1093
"28","21","        Electrical equipment, appliances, and components","N4221C0",593,585,590,555,497,459,444,435,433,428,421,372,357,365,373
"29","22","        Motor vehicles, bodies and trailers, and parts","N4222C0",1270,1309,1310,1214,1157,1118,1118,1103,1069,996,883,675,681,725,785
