"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Millions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 29, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/28/2013 6:30:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","    Gross domestic product","A191RX1","4,707,931.0","4,717,667.0","4,873,010.0","5,128,774.0","5,418,206.0","5,390,187.0","5,379,527.0","5,669,275.0","5,930,551.0","6,260,390.0","6,459,211.0","6,443,411.0","6,610,640.0","6,484,313.0","6,784,705.0","7,277,229.0","7,585,699.0","7,852,072.0","8,123,937.0","8,465,447.0","8,776,978.0","8,945,439.0","8,938,883.0","9,256,661.0","9,510,774.0","9,894,702.0","10,163,690.0","10,549,488.0","11,022,879.0","11,513,417.0","12,071,355.0","12,565,164.0","12,684,428.0","12,909,717.0","13,270,043.0","13,773,988.0","14,235,557.0","14,615,196.0","14,876,787.0","14,833,557.0","14,417,943.0","14,779,350.0","15,052,373.0","15,470,712.0"
"20","2","Business \1\","A195RX1","3,107,673.0","3,106,275.0","3,223,766.0","3,433,127.0","3,670,710.0","3,614,555.0","3,579,415.0","3,820,053.0","4,037,283.0","4,292,935.0","4,441,950.0","4,399,787.0","4,529,813.0","4,393,969.0","4,634,528.0","5,042,575.0","5,275,181.0","5,468,550.0","5,661,840.0","5,904,481.0","6,131,387.0","6,231,657.0","6,194,867.0","6,457,299.0","6,642,017.0","6,964,416.0","7,181,081.0","7,516,265.0","7,915,452.0","8,321,939.0","8,801,842.0","9,197,122.0","9,253,435.0","9,418,412.0","9,805,741.0","10,248,906.0","10,634,672.0","10,948,104.0","11,155,145.0","11,049,640.0","10,596,709.0","10,929,263.0","11,191,504.0","11,597,975.0"
"21","3","  Nonfarm \2\","A358RX1","3,085,172.0","3,081,211.0","3,196,411.0","3,410,523.0","3,657,229.0","3,602,236.0","3,542,434.0","3,794,811.0","4,010,916.0","4,276,573.0","4,418,445.0","4,379,077.0","4,480,609.0","4,337,490.0","4,619,627.0","5,005,947.0","5,219,700.0","5,418,611.0","5,612,384.0","5,867,954.0","6,084,369.0","6,178,094.0","6,140,812.0","6,390,197.0","6,588,420.0","6,893,363.0","7,132,832.0","7,455,536.0","7,844,792.0","8,257,933.0","8,735,293.0","9,116,508.0","9,179,732.0","9,341,344.0","9,719,342.0","10,155,830.0","10,535,783.0","10,848,649.0","11,074,586.0","10,957,416.0","10,486,909.0","10,817,910.0","11,088,678.0","11,499,113.0"
"22","4","  Farm","B359RX1","27,308.0","28,067.0","29,545.0","29,549.0","29,226.0","28,565.0","34,040.0","32,487.0","34,257.0","33,053.0","35,996.0","34,864.0","46,052.0","48,355.0","31,503.0","42,701.0","52,591.0","50,473.0","51,038.0","45,489.0","51,744.0","55,490.0","55,602.0","64,442.0","56,777.0","69,040.0","54,921.0","63,611.0","71,154.0","67,693.0","70,734.0","83,897.0","77,692.0","80,927.0","89,831.0","96,079.0","101,647.0","102,414.0","86,173.0","94,713.0","109,800.0","111,455.0","105,818.0","104,636.0"
"23","5","Households and institutions","A193RX1","632,319.0","644,513.0","673,475.0","700,788.0","725,381.0","755,909.0","783,075.0","794,799.0","802,014.0","836,929.0","866,295.0","895,922.0","915,274.0","941,145.0","971,100.0","999,815.0","1,027,038.0","1,060,511.0","1,104,427.0","1,163,065.0","1,209,077.0","1,248,038.0","1,275,435.0","1,310,876.0","1,376,198.0","1,420,443.0","1,463,113.0","1,492,633.0","1,537,958.0","1,590,053.0","1,635,175.0","1,699,392.0","1,738,357.0","1,766,571.0","1,705,878.0","1,748,692.0","1,805,352.0","1,854,857.0","1,883,194.0","1,909,529.0","1,913,615.0","1,930,730.0","1,949,147.0","1,960,891.0"
"24","6","  Households","B701RX1","352,995.0","361,705.0","379,553.0","395,887.0","409,773.0","428,760.0","441,597.0","448,336.0","449,113.0","475,092.0","490,416.0","507,597.0","515,054.0","520,419.0","532,756.0","548,602.0","570,164.0","582,895.0","601,629.0","626,306.0","644,814.0","657,569.0","669,298.0","687,196.0","718,611.0","752,866.0","779,236.0","795,390.0","817,312.0","839,011.0","873,183.0","912,827.0","943,505.0","951,284.0","976,904.0","1,015,453.0","1,066,392.0","1,092,611.0","1,084,728.0","1,115,657.0","1,110,087.0","1,115,450.0","1,118,982.0","1,115,985.0"
"25","7","  Nonprofit institutions serving households \3\","B702RX1","279,021.0","281,589.0","291,984.0","302,530.0","313,157.0","324,085.0","338,978.0","343,893.0","351,167.0","358,397.0","372,641.0","384,882.0","397,533.0","420,402.0","439,212.0","452,083.0","456,196.0","478,337.0","504,883.0","540,694.0","569,870.0","598,257.0","614,753.0","632,690.0","667,660.0","675,537.0","691,264.0","704,684.0","728,826.0","760,944.0","769,744.0","793,456.0","799,820.0","821,912.0","728,921.0","732,920.0","738,605.0","761,885.0","798,849.0","793,853.0","803,528.0","815,269.0","830,116.0","844,785.0"
