"","Table 5#5#6U# Real Private Fixed Investment in Equipment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"1","[Millions of chained (2009) dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 27, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2013 3:44:01 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","      Private fixed investment in equipment","Y032RX0",642313,665139,687622,683256,714000,740152,742692,741378,735751,705530,687451,684883,673464,665958,667374,657206,657497,679584,699648,713235,701985,729203,754141,777131,783892,800830,827670,833450,876822,879675,881869,885010,896004,905993,910656,919675,908843,886253,840809,745393,662281,639745,648154,660316,706272,744050,774980,796813,819616,828397,867308,888577,906367,917894,909062,928581,932435,940086
"10","2","Nonresidential equipment","Y033RX0",635448,658042,680323,675917,706447,732546,735070,733678,728067,697840,679725,676998,665500,657936,659441,649218,649522,671273,690958,704330,692838,719857,744629,767404,774156,790997,817865,823400,866526,869558,871863,875225,886118,896238,900939,910048,899371,876633,831612,736752,653898,631603,639852,651880,697659,735152,766159,787840,810551,819226,857996,879105,896906,908467,899469,918839,922487,929905
"11","3","  Information processing equipment","Y034RX0",138812,149323,155328,154368,167901,179047,184170,190340,189151,178888,172147,172618,169589,168893,171952,169120,175373,178892,189133,199690,198717,204185,206112,209184,214293,217995,226219,230304,246295,247633,255061,254744,270554,272689,279510,296713,294558,294142,281198,254128,245603,246356,261420,270948,275961,277804,282512,289487,283573,288958,288584,290386,300013,291951,288645,302082,300039,306779
"12","4","    Computers and peripheral equipment \1\","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","5","    Communication equipment","C275RX0",55383,59667,62892,62411,72989,77318,78499,82588,78839,73758,71157,67659,60691,59857,59273,56991,60273,61120,66364,71382,70503,74229,72445,70081,74033,72521,76733,75245,88363,84935,85265,82314,92972,93096,96411,102482,95869,95046,92961,82179,74693,77047,82328,83429,83802,87065,92486,97476,92933,91435,91728,92923,96237,94283,106534,105314,103119,114758
"14","6","    Medical equipment and instruments","W176RX0",32110,32816,33379,33480,34209,35151,37272,38346,39282,39037,39045,40313,42289,44364,45423,46220,46800,47790,49215,50959,51338,51670,52934,55594,59161,61406,62581,62963,62885,63568,64846,66137,68235,72003,74033,77246,75719,76262,73267,69073,68404,66317,69214,69231,71215,70635,72154,73279,73537,74414,73708,72891,74453,72819,71007,72571,74440,74183
"15","7","      Electro-medical equipment","W878RX0",11428,11779,12089,12212,12545,12582,14087,14772,15174,14619,14362,14836,16921,18337,19479,19460,19341,20106,20591,21511,23169,23311,24945,25671,27640,29309,30024,30041,28672,28589,29570,31018,32759,36295,36621,38652,36216,35135,32997,29850,29346,27503,30179,29915,31425,30601,31670,32742,32213,32886,32147,31706,32281,31350,29342,29942,31214,30592
"16","8","      Medical instruments","W879RX0",21139,21483,21722,21683,22074,23046,23563,23918,24458,24838,25144,25951,25666,26256,26081,26948,27696,27885,28845,29656,28233,28423,27974,29945,31521,32057,32510,32886,34249,35038,35314,35112,35432,35598,37327,38500,39458,41108,40265,39232,39062,38815,39033,39313,39791,40034,40487,40548,41327,41534,41561,41184,42169,41462,41643,42605,43212,43563
"17","9","    Nonmedical instruments","W177RX0",19640,19729,19661,19997,19632,20087,21713,22583,22561,21820,21203,21779,22016,22256,22554,21488,20391,20734,20819,21133,22806,21978,22594,22544,22854,23409,23511,23674,23025,23805,24652,25988,25959,27805,26789,27952,28413,28353,27589,23789,23142,20807,22499,22285,23664,23543,25504,26999,27419,28155,27070,26378,26467,26728,21980,22857,24041,22976
"18","10","    Photocopy and related equipment","C285RX0",9141,9148,9545,9676,9887,9447,8402,8117,6885,6257,6380,5804,5013,4553,4448,4491,4992,5341,5617,5464,5666,5669,5073,5048,4771,5149,5143,5244,4479,4306,4321,4746,6775,6260,6045,8117,9162,7656,6441,5527,5305,5081,6145,6101,6165,6771,5902,6488,7274,6994,7261,7243,7638,7398,7364,7611,7978,8005
"19","11","    Office and accounting equipment","B936RX0",3831,3758,3731,3608,3406,3499,4128,4505,5058,4751,5023,4721,4906,5032,5227,6040,7147,8375,8652,8769,8098,8667,8719,8484,8279,8887,8810,8847,8514,9200,9393,9230,5712,4536,4085,3844,4629,5100,4888,4839,4269,3844,3658,3421,3652,3496,3450,3474,3979,4068,3949,3741,3241,2903,2537,2529,2612,2659
"20","12","  Industrial equipment","A680RX0",179522,182109,184510,184892,193710,198817,202378,199267,199714,185538,177729,172629,174119,169661,171711,170707,170126,176977,172845,168999,162536,166541,171882,175432,179397,177420,185028,192607,190819,202610,201176,201663,197719,210571,211738,201230,200963,199351,195552,185950,160972,152499,148483,146315,143011,151129,152828,158281,166694,166761,178982,187707,180519,184911,185047,187841,187974,187513
"21","13","    Fabricated metal products","C263RX0",15765,16047,16627,17061,17025,17249,17084,16903,17114,16750,16906,16387,15583,15357,14485,14121,15084,16265,16497,17181,16730,15951,16269,16524,16691,16988,18165,18496,19539,19912,19902,19912,20492,21512,21997,21452,22392,22789,22282,21366,18894,17731,16910,16356,15803,15784,16082,16736,16788,17098,17425,17574,16868,16670,17127,16968,16402,16244
"22","14","    Engines and turbines","A668RX0",5657,6297,7285,7546,10686,8244,7599,8003,13932,12250,14027,12195,16313,13482,12924,13027,12062,14198,12859,9978,6822,5190,5352,6064,6036,5657,7183,8670,6747,7790,9767,10092,8797,12683,16974,12394,10259,13235,12998,14542,8826,11511,10280,9127,5752,7755,7224,7451,7321,6405,11752,12091,9169,8945,8027,6703,9422,9238
"23","15","      Steam engines","BA13RX0",3216,3645,4469,4885,8308,5781,5366,5580,11426,9657,11410,9497,14136,11104,10506,11088,9670,11691,10466,7474,4303,2613,2654,3405,3159,2691,4091,5404,3312,4329,6271,6394,5533,9031,12841,7955,5617,9231,9612,11679,6220,9397,8164,6896,3607,5499,4633,4413,4227,2968,8128,8655,5113,5152,4323,3144,5790,5711
"24","16","      Internal combustion engines","BA14RX0",2394,2603,2769,2623,2398,2446,2220,2404,2573,2626,2677,2721,2312,2445,2472,2028,2432,2577,2449,2495,2447,2464,2578,2556,2748,2817,2978,3189,3262,3326,3432,3619,3190,3637,4200,4366,4520,4015,3414,2893,2612,2115,2113,2226,2131,2253,2586,3037,3099,3443,3605,3414,4057,3790,3705,3569,3619,3513
"25","17","    Metalworking machinery","C271RX0",32822,32485,33223,33998,33837,33896,34343,32958,31811,29566,27573,25616,25018,25638,26246,26785,25645,26131,25701,25014,25457,24841,26741,25848,27076,26762,28415,29049,30462,28862,28518,28436,28804,30124,29676,29838,29795,29908,29167,26817,23421,19961,19534,19814,20366,19888,20566,19999,20493,23673,25071,28505,28284,29107,29158,30113,31003,31483
"26","18","    Special industry machinery, n.e.c.","C272RX0",40622,41427,40136,40227,39647,46036,49837,49009,45230,41456,37895,39016,38251,34345,35924,35001,35203,37497,33400,28783,29128,32480,33693,34301,33968,33298,33115,35132,31718,39735,37180,35500,34478,39290,36685,34978,34903,33068,32972,32200,28908,26469,23211,22399,22684,26312,24108,24822,31169,28184,31320,30735,30165,33002,35583,38590,37446,35491
"27","19","    General industrial, including materials handling, equipment","C273RX0",58453,58575,58821,57554,62032,63152,62181,60138,61018,56469,55030,53328,53908,55546,57110,57137,57955,58287,59581,61908,57918,60496,61814,64694,67117,65873,68145,69965,70561,72852,71992,73198,71088,72250,72015,68467,69709,67762,66347,62515,54728,51645,52875,52961,53202,55353,57211,58311,60973,61545,63926,66305,67075,67480,66370,65316,65341,66519
"28","20","    Electrical transmission, distribution, and industrial apparatus","C276RX0",24826,25905,27111,27153,29209,28741,29562,30525,29224,27877,25502,25282,24236,24581,24125,23694,23460,23899,24326,25984,26190,27114,27429,27493,27976,28358,29603,30930,31411,33044,33580,34358,33858,34569,34556,34004,33727,32629,31820,28594,26197,25184,25671,25655,25158,26033,27588,30862,29883,29786,29598,32573,28990,29738,28820,30177,28474,28611
"29","21","  Transportation equipment","A681RX0",199288,205915,217922,210403,208821,210969,203481,193249,185960,186291,180914,186549,178366,169046,163965,157587,144681,155937,159005,159621,156091,170172,183218,196390,189688,196680,206917,198375,219622,209939,208950,211828,212800,201813,199192,200533,198450,175759,147680,105532,68610,67200,69951,76504,109686,130924,151971,155121,166029,167683,185488,204630,216972,229114,218752,219357,215064,218487
