"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Index numbers, 2009=100]; Seasonally adjusted                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1967 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2013     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 2:45:02 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2
"9","1","    Exports of goods and services","B020RA3",9.515,9.429,9.2,9.462,9.737,9.931,10.514,10.38,9.135,11.182
"10","2","Exports of goods \1\","B253RA3",8.966,8.949,8.814,8.965,9.267,9.401,10.051,9.803,8.485,10.747
"11","3","  Foods, feeds, and beverages","B638RA3",22.146,21.938,21.404,22.57,23.433,20.549,21.06,21.613,14.645,23.712
"12","4","  Industrial supplies and materials","B639RA3",18.401,18.2,17.641,17.908,18.577,20.081,22.64,20.787,16.228,23.485
"13","5","    Durable goods","B686RA3",22.068,21.874,19.389,19.959,21.474,24.449,26.455,25.788,20.485,28.397
"14","6","    Nondurable goods","B687RA3",16.863,16.658,16.994,17.122,17.401,18.232,21.075,18.649,14.394,21.414
"15","7","  Capital goods, except automotive","B640RA3",3.559,3.626,3.567,3.61,3.665,3.578,3.866,3.691,3.474,4.051
"16","8","    Civilian aircraft, engines, and parts","B688RA3",6.048,6.544,9.366,10.402,11.347,12.674,17.229,14.517,14.15,9.627
"17","9","    Computers, peripherals, and parts","B850RA3",0.013,0.013,0.013,0.014,0.013,0.013,0.015,0.015,0.016,0.017
"18","10","    Other","B689RA3",6.837,6.935,6.6,6.579,6.638,6.365,6.598,6.438,5.96,7.47
"19","11","  Automotive vehicles, engines, and parts","B641RA3",17.824,18.204,19.049,18.473,20.412,23.016,22.618,24.608,22.747,25.038
