"","Table 6#20B# Net Corporate Dividend Payments by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 3:08:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Net corporate dividends","B056RC0",7036,7238,8838,8570,8560,8886,9282,10478,11280,11742,11566,12570,13366,13901,15027,16236,18194,20205,20670,21510,23535,24239
"9","2","Domestic industries","A3302C0",6200,6406,7854,7408,7461,7751,7860,8899,9467,9856,9832,10708,11410,11506,12356,13562,14991,16874,17828,18330,20167,20403
"10","3","  Agriculture, forestry, and fishing","A3303C0",47,45,51,60,39,31,31,28,25,30,33,10,40,37,47,127,52,77,63,55,69,60
"11","4","    Farms","B3304C0",45,43,48,57,37,30,28,27,24,30,33,10,40,37,47,117,40,62,46,35,40,39
"12","5","    Agricultural services, forestry, and fishing","B3305C0",2,2,3,3,2,1,3,1,1,0,0,0,0,0,0,10,12,15,17,20,29,21
"13","6","  Mining","A3306C0",215,196,306,306,316,341,437,426,450,294,409,384,465,482,499,598,416,372,543,536,641,666
"14","7","    Metal mining","B3307C0",92,67,104,107,72,76,92,138,159,95,67,82,100,87,77,43,48,57,91,54,108,109
"15","8","    Coal mining","B3308C0",69,58,57,47,45,31,23,31,42,34,54,34,31,37,34,40,44,53,38,46,19,30
"16","9","    Oil and gas extraction","B3309C0",21,40,104,111,152,194,278,205,197,119,259,222,288,308,331,461,258,200,348,383,449,459
"17","10","    Nonmetallic minerals, except fuels","B3310C0",33,31,41,41,47,40,44,52,52,46,29,46,46,50,57,54,66,62,66,53,65,68
"18","11","  Construction","B3311C0",62,68,75,67,74,64,62,71,69,82,69,97,109,125,116,127,171,212,151,235,217,277
"19","12","  Manufacturing","A3312C0",3254,3462,4265,3861,3833,4038,3959,4681,5005,5245,4932,5300,5559,5445,6282,6682,7770,9330,9391,9426,10357,10308
"20","13","    Durable goods","A3313C0",1539,1702,2378,2026,2027,2101,2159,2649,2749,2813,2604,2785,2864,2945,3166,3633,3955,4625,4885,4962,5390,5394
"21","14","      Lumber and wood products","B3314C0",87,72,98,95,83,70,74,89,87,76,77,96,95,90,105,98,120,145,111,156,164,175
"22","15","      Furniture and fixtures","B3315C0",31,29,39,30,29,29,28,34,35,39,28,30,34,29,39,37,38,54,50,70,62,52
