"","Table 6#20D# Net Corporate Dividend Payments by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/6/2013 2:50:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Net corporate dividends","B056RC0",357072,347896,384684,370577,400180,433972,564089,580527,726006,818909,808614,568739,563949,701580,770335
"9","2","Domestic industries","A3302C0",314802,306370,355444,329910,352279,401878,501771,319666,648104,678479,628101,456867,442534,545148,613555
"10","3","  Agriculture, forestry, fishing, and hunting","N3303C0",2241,2819,2704,2961,2847,3193,3833,4205,6530,5927,5436,4897,5299,7405,8167
"11","4","    Farms \1\","N3304C0",1446,1941,1822,1947,1996,2115,2751,2878,5282,4179,3532,3468,3677,NA,NA
"12","5","    Forestry, fishing, and related activities","N3305C0",795,878,882,1013,851,1078,1082,1326,1248,1748,1904,1429,1622,NA,NA
"13","6","  Mining","N3306C0",4242,2403,4382,4307,3017,4753,6356,3833,19373,9526,11227,11044,11360,11147,15278
"14","7","    Oil and gas extraction","N3307C0",1865,1195,2618,3250,2497,3051,4688,1100,13587,4881,4110,4261,6448,NA,NA
"15","8","    Mining, except oil and gas","N3308C0",1092,973,1600,830,652,1361,1435,1462,4247,3483,3884,3609,2455,NA,NA
"16","9","    Support activities for mining","N3309C0",1285,235,165,227,-132,341,233,1270,1540,1162,3233,3174,2457,NA,NA
"17","10","  Utilities","N3310C0",13887,13108,12475,10568,10843,9602,10524,12814,15164,20975,16993,15567,16308,23838,26878
"18","11","  Construction","N3311C0",14585,17555,20195,21167,23423,22430,27012,35283,40808,43616,42582,34214,29836,26525,26654
"19","12","  Manufacturing","N3312C0",82825,65881,74841,71008,78747,94781,111480,-73954,153579,126493,126965,66786,77009,102847,105670
"20","13","    Durable goods","N3313C0",30774,25688,29442,27317,26077,31305,35671,-31909,48993,45289,70023,54508,36501,49925,63327
"21","14","      Wood products","N3314C0",1468,2980,3098,1331,1279,1261,1783,1532,2709,1809,1263,971,1278,NA,NA
"22","15","      Nonmetallic mineral products","N3315C0",1042,1028,888,926,967,1496,1338,743,1784,1036,2090,903,496,NA,NA
"23","16","      Primary metals","N3316C0",742,1328,827,800,771,575,2151,2506,3938,3068,5579,3112,2298,NA,NA
"24","17","      Fabricated metal products","N3317C0",5956,6138,5827,4918,4816,7110,5526,3371,7679,9175,8787,6119,8388,NA,NA
"25","18","      Machinery","N3318C0",11,3386,2483,2716,2452,2434,3164,718,4804,7029,7037,6135,4816,NA,NA
"26","19","      Computer and electronic products","N3319C0",-764,-5094,-4936,-771,-4076,1463,250,-45312,2564,8167,17571,9353,5778,NA,NA
"27","20","      Electrical equipment, appliances, and components","N3320C0",5704,6622,8952,8085,9149,9464,10596,6401,13420,5964,13644,13504,2525,NA,NA
"28","21","      Motor vehicles, bodies and trailers, and parts","N3321C0",10498,3772,6206,3621,3699,-471,621,-1342,551,-2588,276,3797,-1176,NA,NA
"29","22","      Other transportation equipment","N3322C0",1562,1224,1259,1176,2364,2653,3682,1885,5579,5359,8456,6634,5394,NA,NA
"30","23","      Furniture and related products","N3323C0",668,837,800,757,1078,884,1031,1193,1328,1572,1154,1349,1185,NA,NA
"31","24","      Miscellaneous manufacturing","N3324C0",3887,3465,4036,3759,3578,4437,5529,-3605,4637,4698,4166,2632,5520,NA,NA
"32","25","    Nondurable goods","N3325C0",52050,40193,45399,43691,52670,63476,75809,-42046,104586,81204,56942,12279,40508,52922,42343
"33","26","      Food and beverage and tobacco products","N3326C0",16177,6845,10588,11422,15115,14479,21031,-3953,15280,17499,13076,18538,20661,NA,NA
"34","27","      Textile mills and textile product mills","N3327C0",1017,548,556,417,518,428,418,412,620,722,1237,439,538,NA,NA
"35","28","      Apparel and leather and allied products","N3328C0",1161,1185,1098,1279,2217,1368,1637,1459,2286,2141,1438,1322,1649,NA,NA
"36","29","      Paper products","N3329C0",3360,2899,3429,3425,2827,2589,3214,-2000,3918,4756,178,2319,3004,NA,NA
"37","30","      Printing and related support activities","N3330C0",1825,1994,1695,1476,1491,1652,1944,2108,2831,1842,2121,1376,1672,NA,NA
"38","31","      Petroleum and coal products","N3331C0",6630,7232,6814,5555,12311,28210,22142,25844,35319,12957,-1155,-7885,-23210,NA,NA
"39","32","      Chemical products","N3332C0",19893,16727,18889,18480,16657,13218,23476,-69755,41173,38794,37425,-5681,31082,NA,NA
"40","33","      Plastics and rubber products","N3333C0",1986,2763,2330,1637,1535,1532,1947,3840,3159,2492,2623,1849,5112,NA,NA
"41","34","  Wholesale trade","N3334C0",22048,19184,23694,24555,22375,22591,32427,37479,41822,43714,51583,35805,43216,52790,52385
"42","35","    Durable goods","N3335C0",13322,11701,15340,14737,11772,11651,16113,16310,24971,27539,26610,19482,20365,NA,NA
"43","36","    Nondurable goods","N3336C0",8726,7484,8355,9818,10603,10939,16315,21169,16852,16175,24972,16323,22851,NA,NA
"44","37","  Retail trade","N3337C0",17847,21669,18790,20496,21898,25648,27604,26424,34918,36378,31457,27319,35315,38908,43649
"45","38","  Transportation and warehousing","N3338C0",4656,5085,4734,5784,4356,6015,7101,8277,11129,14151,13433,11433,11920,13549,15991
"46","39","    Air transportation","N3339C0",364,385,357,803,232,318,574,311,491,785,410,238,203,NA,NA
"47","40","    Rail transportation","N3340C0",507,952,359,695,193,810,843,1004,1245,2537,2994,2105,2747,NA,NA
"48","41","    Water transportation","N3341C0",276,221,239,376,328,291,354,233,938,1484,1165,704,711,NA,NA
"49","42","    Truck transportation","N3342C0",1311,1230,1257,1343,1106,1547,1544,2684,3543,4024,3135,3582,2676,NA,NA
"50","43","    Transit and ground passenger transportation","N3343C0",201,214,198,515,345,275,205,271,299,256,335,257,344,NA,NA
"51","44","    Pipeline transportation","N3344C0",542,525,616,347,355,428,593,637,411,569,678,437,452,NA,NA
"52","45","    Other transportation and support activities \2\","N3345C0",1127,1126,1302,1329,1385,1875,2497,2557,3656,3667,3937,3548,3883,NA,NA
"53","46","    Warehousing and storage","N3346C0",328,431,406,376,412,470,491,581,546,829,778,563,904,NA,NA
"54","47","  Information","N3347C0",20345,22590,26796,17864,16867,26083,48869,11753,24936,33691,35585,26379,21992,26630,33719
"55","48","    Publishing industries (includes software)","N3348C0",2289,1352,3882,2939,3457,5454,37221,3195,8098,12388,12876,6863,6861,NA,NA
"56","49","    Motion picture and sound recording industries","N3349C0",674,634,836,725,742,928,2090,-580,1068,2328,1463,2088,1649,NA,NA
"57","50","    Broadcasting and telecommunications","N3350C0",16348,19447,20580,14233,12187,19190,9435,8022,13411,17577,18955,16304,12238,NA,NA
"58","51","    Information and data processing services","N3351C0",1033,1157,1498,-32,482,511,124,1116,2359,1397,2291,1125,1244,NA,NA
"59","52","  Finance and insurance","N3391C0",51914,52862,75857,58084,65115,72788,72634,103028,114012,128359,103150,67905,50047,69348,78727
"60","53","    Federal Reserve banks","N3353C0",343,374,410,428,484,518,582,781,871,992,1189,1400,1583,NA,NA
"61","54","    Credit intermediation and related activities","N3392C0",7592,8946,12139,8123,9551,11998,15833,14701,15605,11246,6070,10814,5515,NA,NA
"62","55","    Securities, commodity contracts, and investments","N3393C0",11062,6490,10070,10700,7824,9960,9722,9280,15302,23622,27126,14407,17060,NA,NA
"63","56","    Insurance carriers and related activities","N3356C0",11033,4525,11342,9099,12359,12634,7424,11153,10580,10423,5355,-78,-7440,NA,NA
"64","57","    Funds, trusts, and other financial vehicles","N3357C0",21884,32527,41895,29734,34897,37679,39073,67113,71654,82076,63409,41362,33329,NA,NA
"65","58","  Real estate and rental and leasing","N3358C0",14314,13044,15580,15714,16959,18594,22981,29772,31039,39804,30414,20586,21681,23253,24706
"66","59","    Real estate","N3359C0",12037,11401,13652,14167,15272,16588,20981,27880,28708,35822,27192,17889,18775,NA,NA
"67","60","    Rental and leasing services and lessors of intangible assets \3\","N3360C0",2277,1643,1928,1546,1687,2007,2001,1892,2330,3982,3222,2696,2907,NA,NA
"68","61","  Professional, scientific, and technical services","N3361C0",19050,17849,21407,22657,22162,24177,25622,28302,38409,42503,45984,39934,42793,49790,50781
"69","62","    Legal services","N3362C0",1804,2367,2950,4563,4310,5392,5021,6136,5742,7109,7449,7259,7835,NA,NA
"70","63","    Computer systems design and related services","N3363C0",3028,2668,2648,2309,2991,2289,3225,3262,5943,7146,6309,7268,6890,NA,NA
"71","64","    Miscellaneous professional, scientific, and technical services \4\","N3364C0",14217,12814,15808,15785,14861,16496,17375,18903,26724,28248,32225,25407,28068,NA,NA
"72","65","  Management of companies and enterprises \5\","N3365C0",21855,28841,28260,26407,32373,35724,64655,45835,63018,65538,50782,37221,17013,35500,56061
