"","Table 5#3#6# Real Private Fixed Investment by Type, Chained Doll","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"1","[Billions of chained (2009) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1999 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 05, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/4/2013 12:54:37 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Private fixed investment","A007RX1",2101.6,2151.2,2200.4,2210.5,2272,2322.9,2332.4,2337.5,2325.4,2294.7,2276.1,2223.8,2210.7,2205.2,2197.8,2190.9,2206.8,2254.4,2325.9,2370.9,2362.5,2422.8,2472,2518.2,2558.8,2599.2,2640.4,2645.5,2700.7,2676.8,2649.6,2622.8,2618.2,2624.9,2609,2586.3,2539.1,2503.4,2424.1,2263.8,2089.3,2011,2008.4,1994.1,1997.9,2062.8,2060.8,2103.1,2100.7,2144.4,2219.8,2273.4,2320.8,2347.9,2363.5,2429.1,2420,2458.4,2490.7
"10","2","Nonresidential","A008RX1",1459,1497.3,1539.3,1544.9,1599.9,1650.5,1667.9,1672.3,1658.8,1621.2,1600,1553.6,1522.1,1501.9,1493,1475.1,1478.6,1514.3,1544.7,1566.8,1549.4,1583.8,1626.9,1661.4,1681.9,1706.1,1737.4,1744.3,1808.7,1831.3,1853.1,1865.2,1897.2,1934.4,1964.4,1997.6,1998.1,1986.6,1933,1820.1,1688.3,1634,1613.1,1598.4,1615,1659.3,1692.8,1728.1,1724.1,1765.3,1835,1877.3,1903.8,1925,1926.4,1971.9,1949,1971.3,1988.3
"11","3","  Structures","B009RX1",497.6,492.4,492.2,497.3,507.8,529,547.6,549.5,534,536.9,541.2,489.4,463.4,438,417.3,411.4,408.5,419.3,417.5,418,409.3,411.6,417.9,417.7,423.1,420.9,418.6,422.3,437.8,450.9,458.9,458.4,474.8,500.6,524,536.8,539,547.7,543.7,530.3,490.5,453.3,422.6,386.5,359.7,369.8,364.4,371.2,339.8,365.3,388.9,402.2,409,416,422,439.4,407.9,424.8,438.7
