"","Table 9#2U# Final Sales of Domestic Computers                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2009) dollars; quarters seasonally adjusted at annual rates]:                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 06, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/5/2013 2:55:20 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","Gross domestic product (GDP)","A191RX1",12071.4,12565.2,12684.4,12909.7,13270,13774,14235.6,14615.2,14876.8,14833.6,14417.9,14779.4,15052.4,15470.7
"9","2","GDP less final sales of domestic computers \1\","BB00RX1",12117.5,12582.3,12687.1,12910.9,13258.1,13760.6,14210.1,14571.6,14820.7,14764,14345.5,14709.8,14976.7,15386.9
"10","3","Final sales of domestic computers","BB01RX1",18.7,24.5,27.6,28.5,33.4,35,41.1,51.3,59.6,69.9,72.5,69.3,76.3,86.2
"11","4","  Personal consumption expenditures \2\","DCPPRX1",4.1,5.7,7.5,10.4,13.7,17.1,21.7,27.1,32,36.9,41.6,48.5,58.1,67.2
"12","5","  Private fixed investment \3\","B935RX1",29.2,35.4,36.3,38,41.7,46.8,52.1,64.3,72.7,77.1,76.8,84.7,83.4,87.9
"13","6","  Exports \2\","B850RX1",27,33.8,29.9,25.8,27.4,29.8,34.3,37.6,38.9,40.9,37.7,45,52.4,53
"14","7","  Imports \2\","B852RX1",40.2,47,42.8,47.1,51.4,63.7,72.9,85.5,93.9,95.5,94.2,119.6,128.4,133.4
