"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 20, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2013 11:19:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Current receipts from the rest of the world","A120RC1",63.7,72.5,77,87.1,118.8,156.5,166.7,181.9,196.6,233.1,298.5,359.9,397.3,384.2,378.9,424.2,415.9,432.3,487.2,596.7,682,740.7,763.3,785.1,810.4,905.5,1042.6,1114,1233.8,1239.7,1310.6,1477,1354.1,1320.5,1399.5,1634.6,1886.1,2202.7,2541.3,2699.9,2227.5,2563.5,2904,3014.5
"9","2","Exports of goods and services","B020RC1",51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,303.2,321,363.9,444.6,504.3,551.9,594.9,633,654.8,720.9,812.8,867.6,953.8,952.9,989.2,1094.3,1028.8,1004.7,1043.4,1183.1,1310.4,1478.5,1665.7,1843.1,1583.8,1843.5,2101.2,2195.9
"10","3","  Goods \1\","A253RC1",38.3,44.5,45.6,51.8,73.9,101,109.6,117.8,123.7,145.4,184,225.8,239.1,215,207.3,225.6,222.2,226,257.5,325.8,369.4,396.6,423.6,448,459.9,510.1,583.3,618.3,687.7,680.9,711.4,797.1,743.7,712.6,740.8,832.8,925.3,1048.1,1165.3,1297.6,1064.7,1278.4,1473.6,1536
"11","4","    Durable","A332RC1",23.7,27.1,27.5,31,41.4,56.5,63.8,69,72,85.3,108,133.3,140.1,124.7,120.4,132.4,137.2,142.6,162.9,208.8,239.8,262,282.3,300.5,314,349.6,394,421.1,482.3,486.6,508.7,573.4,525.3,492.8,501.8,565.7,629.8,715,783.2,829.4,671.9,801.2,897.4,946.1
"12","5","    Nondurable","A339RC1",14.6,17.4,18,20.8,32.6,44.5,45.8,48.7,51.6,60.1,76,92.5,99,90.3,86.9,93.2,85,83.4,94.6,117,129.5,134.7,141.3,147.4,146,160.4,189.3,197.2,205.4,194.3,202.7,223.7,218.4,219.8,239,267.1,295.5,333.1,382.1,468.2,392.8,477.2,576.2,589.9
"13","6","  Services \1\","A646RC1",13.7,15.2,17.4,19,21.3,25.7,29.1,31.7,35.7,41.5,46.1,55,66.1,68.2,69.7,76.7,81,95,106.4,118.8,134.9,155.2,171.3,185.1,194.8,210.8,229.5,249.2,266.1,272.1,277.7,297.2,285.1,292.1,302.6,350.3,385.1,430.4,500.4,545.5,519.1,565.1,627.6,659.9
"14","7","Income receipts","B645RC1",11.8,12.8,14,16.3,23.5,29.8,28,32.4,37.2,46.3,68.3,79.1,92,101,101.9,121.9,112.7,111.3,123.3,152.1,177.7,188.8,168.4,152.1,155.6,184.5,229.8,246.4,280.1,286.8,321.4,382.7,325.3,315.8,356.1,451.4,575.8,724.2,875.5,856.8,643.7,720,802.8,818.6
"15","8","  Wage and salary receipts","B4188C1",0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.9,1,1,1,1.2,1.3,1.8,1.8,1.9,2.2,2.2,2.3,2.4,4.2,4.4,4.5,4.6,4.7,4.7,4.8,5,5.1,5.2,5.5,5.9,6.1,6.3
"16","9","  Income receipts on assets","W160RC1",11.5,12.6,13.7,16,23.2,29.5,27.7,32,36.8,45.8,67.9,78.6,91.5,100.5,101.3,121.2,112,110.4,122.3,151.1,176.7,187.7,167.1,150.3,153.8,182.6,227.7,244.2,277.8,284.3,317.2,378.3,320.8,311.2,351.4,446.7,571,719.2,870.4,851.6,638.2,714.1,796.7,812.3
"17","10","    Interest","A2067C1",3.5,3.9,4,4.2,5.7,9.1,9.8,11,13,16.8,25.3,34.8,53.4,63.8,60.2,75.1,65.2,61.7,63.4,79.5,101.2,106.8,91.6,71.9,64.8,78.1,100.3,104.9,122.3,137.6,139.9,175.3,137.5,106,101.4,118.5,187.3,285.4,360,269.6,144.5,129.5,143,146.3
"18","11","    Dividends","B3375C1",4.8,5,6.1,6.5,8.6,11.6,8.6,11.7,14.1,14.7,19.9,21.5,20.7,23.9,19.5,19.7,21,27.9,27.9,45.1,47.9,43.7,41.4,44.7,39.5,59.7,58.6,69.1,80,83.2,92.5,86.2,87.2,92.7,101,135.6,363.3,186,249,316.4,230.9,248,292.6,297.9
"19","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",3.2,3.6,3.7,5.2,9,8.8,9.3,9.3,9.6,14.3,22.7,22.4,17.3,12.8,21.6,26.5,25.8,20.8,31,26.5,27.6,37.3,34,33.6,49.5,44.9,68.8,70.3,75.5,63.5,84.8,116.9,96.1,112.6,149,192.5,20.4,247.8,261.4,265.6,262.8,336.6,361.1,368.1
"20","13","    Current payments to the rest of the world","W163RC1",62.1,68.8,76.7,91.2,109.9,150.5,146.9,174.8,207.5,245.8,299.6,351.4,393.9,387.5,413.9,514.3,530.2,575,641.3,712.4,774.3,815.6,755.4,830.7,888.9,1020.2,1147.7,1228.1,1363.2,1444.3,1602.5,1886.1,1743.9,1770.4,1913,2256.2,2623.3,2998.4,3250.3,3378.4,2608.7,3018.1,3360.9,3453.5
"21","14","Imports of goods and services","B021RC1",50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1250.6,1474.4,1397.8,1429.7,1544.3,1797.9,2026.1,2240.9,2375.5,2556.4,1976,2362,2669.9,2743.1
"22","15","  Goods \1\","A255RC1",36.8,40.9,46.6,56.9,71.8,104.5,99,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1050.3,1250.4,1175.5,1198.1,1294.5,1508.9,1716.2,1896.5,2000.3,2146.4,1587.3,1951.2,2234.6,2295.4
