"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2013 10:25:45 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","B191RA3",7.322,6.699,6.27,5.462,5.393,5.975,6.507,7.349,7.723,7.468,8.064,8.774,10.327,12.278,14.371,15.519,15.369,13.587,13.439,13.996,13.92,15.133,16.353,17.019,17.817,17.717,18.979,19.384,19.792,19.647,21.002,21.541,22.091,23.442,24.463,25.874,27.555,29.373,30.179,31.66,32.653
"9","2","Personal consumption expenditures","DPCERA3",7.935,7.509,7.275,6.624,6.478,6.94,7.362,8.11,8.41,8.276,8.739,9.191,9.841,9.608,9.875,10.156,10.784,12.126,12.358,12.638,12.989,13.822,14.038,14.481,15.172,15.491,16.634,17.12,17.543,17.695,18.699,19.212,19.608,20.577,21.425,22.701,24.14,25.507,26.269,27.777,28.815
"10","3","  Goods","DGDSRA3",8.646,7.962,7.673,6.777,6.728,7.343,7.941,8.996,9.263,9.059,9.688,10.289,11.102,10.245,10.144,10.22,10.918,12.938,13.314,13.582,13.993,15.078,14.898,15.233,16.022,16.194,17.686,17.951,18.259,18.072,19.209,19.547,19.67,20.682,21.508,22.79,24.405,25.952,26.46,28.098,28.957
