"","Table 1#4#4# Price Indexes for Gross Domestic Product, Gross Dom","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2013 10:30:51 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Gross domestic product","B191RG3",9.899,9.518,8.577,7.599,7.396,7.757,7.913,8.008,8.303,8.15,8.049,8.123,8.655,9.374,9.82,10.054,10.306,11.603,12.903,13.629,13.622,13.746,14.675,14.996,15.19,15.346,15.566,16.101,16.663,17.05,17.277,17.516,17.709,17.927,18.129,18.407,18.744,19.27,19.83,20.673,21.692
"9","2","Less: Exports of goods and services","B020RG3",14.724,13.33,10.489,9.097,9.096,10.548,10.816,11.181,11.924,11.373,11.22,12.169,13.286,16.054,17.561,19.779,19.616,18.96,22.015,23.188,21.806,21.234,23.992,24.138,24.07,23.743,23.946,24.746,25.685,25.425,25.476,25.834,26.227,26.292,26.233,26.449,27.29,28.115,29.192,29.828,30.838
"10","3","Plus: Imports of goods and services","B021RG3",10.529,8.978,7.256,5.816,5.574,6.333,6.437,6.888,7.687,7.103,7.456,7.953,8.399,9.621,10.356,10.878,11.184,12.469,14.938,16.235,15.473,16.436,19.865,19.145,18.323,18.573,18.474,18.799,19.013,18.224,18.389,18.564,18.564,18.345,18.701,19.096,19.361,19.812,19.889,20.191,20.717
"11","4","Equals: Gross domestic purchases","B712RG3",9.669,9.271,8.365,7.391,7.183,7.527,7.675,7.779,8.08,7.923,7.841,7.902,8.407,9.089,9.52,9.735,9.989,11.317,12.576,13.3,13.316,13.485,14.432,14.723,14.888,15.057,15.265,15.779,16.312,16.67,16.898,17.128,17.306,17.51,17.724,18.007,18.321,18.829,19.346,20.163,21.149
"12","5","Less: Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6","Equals: Final sales to domestic purchasers","B713RG3",9.453,9.067,8.191,7.254,7.067,7.423,7.576,7.678,7.977,7.858,7.778,7.837,8.337,9.006,9.434,9.648,9.902,11.221,12.438,13.157,13.189,13.36,14.284,14.585,14.763,14.933,15.142,15.65,16.181,16.538,16.765,16.996,17.172,17.376,17.592,17.875,18.19,18.698,19.216,20.037,21.022
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","B190RG3",9.682,9.311,8.4,7.46,7.278,7.651,7.812,7.906,8.199,8.084,7.985,8.057,8.584,9.291,9.734,9.966,10.219,11.507,12.764,13.485,13.495,13.621,14.526,14.859,15.066,15.222,15.444,15.972,16.532,16.917,17.144,17.383,17.575,17.793,17.997,18.275,18.613,19.14,19.701,20.548,21.566
"16","8","  Implicit price deflator for final sales to domestic purchasers","A713RD3",9.431,9.046,8.171,7.237,7.05,7.405,7.558,7.66,7.958,7.839,7.762,7.821,8.32,8.988,9.414,9.628,9.882,11.203,12.417,13.135,13.169,13.339,14.262,14.563,14.741,14.91,15.12,15.626,16.157,16.514,16.741,16.972,17.148,17.352,17.568,17.851,18.166,18.673,19.19,20.009,20.993
