"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2014 10:01:40 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","      National income without capital consumption adjustment","A422RC1",9077.2,9115.4,9051.3,9044.2,9124.6,9204.6,9274.7,9409.4,9488.3,9598.5,9750,9928.3,10131.4,10312.6,10513.3,10612.6,11062.9,11212.1,11428.8,11655.3,11969.1,12069.5,12185.4,12273.5,12349.9,12449.1,12450,12525,12411,12449,12485.2,12128.7,11982.3,11959.5,12077.2,12334.3,12444.6,12611.5,12791.6,12802.8,12901,13055.8,13231.6,13331.6,13881.6,13920.8,14010.3,14251.4,14354.5,14495.5,14643.3,NA
"10","2","Domestic industries","A423RC1",9036.7,9065.7,9024.4,8954,9073.4,9172.1,9227.9,9345.6,9437.2,9533.7,9685.1,9836.9,10021.5,10227.8,10417.6,10542.6,10959.1,11119.3,11325.5,11581.1,11892.8,11998.2,12127.4,12205.3,12280.4,12357.3,12301.1,12329.3,12229.3,12263.7,12282.2,12006.8,11859.8,11839.9,11910.7,12154.3,12241.2,12406.4,12591.9,12587.3,12652.6,12805.6,12959.4,13059.3,13633.5,13662.1,13762.7,13994.4,14117.1,14248.7,14380.3,NA
"11","3","  Private industries","A736RC1",7951.8,7964.6,7898.1,7818.4,7911.5,7997.4,8036.4,8138,8200.3,8283,8424.8,8565.4,8717,8907.6,9086.1,9200.7,9591.1,9744.4,9939.9,10186.5,10472.5,10566.9,10680.8,10745.7,10794.1,10860,10788.3,10802.3,10675.1,10695.9,10697.2,10410.3,10254.3,10219.3,10281.7,10517.1,10578.4,10720.8,10906.3,10902,10968.9,11115.6,11269.6,11375.5,11937.2,11969,12071.9,12303.9,12432.9,12568.6,12705.2,NA
"12","4","    Agriculture, forestry, fishing, and hunting","N5004C1",74.1,72.8,74.6,74.2,65.4,62.4,71.1,76.2,76.9,84.2,86.1,90.9,109.1,108.4,98.9,100.7,94.2,94.7,94.6,92.5,93.1,94.8,98.2,102.8,108,104.7,106.3,114.7,123.1,117.2,110.4,107.8,98.8,100.1,104.1,114.4,111,118.2,124.9,129.4,148,143.7,152.9,155.7,158.3,159.9,159.6,159.8,226.4,220.3,225.2,NA
"13","5","    Mining","N5005C1",111.2,110.4,102.8,85.9,80.8,84.1,87.9,95.6,106.7,107.2,110.3,110.9,122.1,126.8,127.6,140.2,154.7,163.7,175.8,205.6,213.6,206.4,210.3,206.2,188.5,206.6,207.2,217.3,242.9,274.6,286.6,236.5,176.6,137.6,127.2,155.5,194.2,177.9,181,188.1,194.2,248.1,260.1,229.4,253.6,253,249.7,261.4,247.6,254.3,256.4,NA
"14","6","    Utilities","N5006C1",140.4,136.9,143.6,137.1,127.8,133.9,136.4,139.1,137,135.1,137.9,139.7,145.3,148.9,149.9,154.8,158.5,161.3,155.6,172.8,185.9,194,202.5,201.5,198.4,196.5,205.2,186.9,164.3,135.9,237.8,185.8,176.4,178.5,162.5,190.6,206.8,176.1,196.1,184.4,163.2,190.8,164.1,169.2,197.9,204.4,205.9,199.6,209.1,216.5,221.2,NA
"15","7","    Construction","N5007C1",507.4,511.7,511.2,504.3,509.8,510.9,512.9,519.5,523.7,520.9,527.4,544.8,548.4,570.1,595.8,607.5,617,639.4,657.6,681.5,719.4,711.3,698.4,684.9,692.7,683.6,671.7,668.4,648,634.3,615.4,596.9,561.2,539.9,542.6,539.1,525.8,524.9,519,514.3,525.6,538.2,549.4,551,580.3,579.7,583.2,604.4,618.2,629,639.1,NA
"16","8","    Manufacturing","N5008C1",1172.8,1155.4,1099.8,1025.1,1057.6,1071.4,1072,1078.3,1088.1,1082.1,1102.1,1149.9,1152.9,1178.6,1213.7,1229.6,1307.6,1309.7,1331.9,1357.7,1404.7,1424.9,1465.2,1433.4,1455.4,1483.4,1414.7,1463.5,1398.7,1371.6,1416.3,1355.6,1216.5,1196.3,1203,1250.3,1275.5,1354.8,1404.5,1392.9,1378.8,1395.6,1429.3,1444.2,1561.6,1567.4,1542.2,1574.8,1568.1,1558.9,1577.7,NA
"17","9","      Durable goods","N5009C1",698.3,668,612.5,561,596.2,614.2,619.6,621.7,623,623.5,623.6,648.6,648.3,661.4,679.9,685.1,734.1,746.9,759.1,772.8,812.3,788.4,831.2,830.2,828.3,825.8,812,836.3,805.6,764.8,787.9,722.9,640.9,637.1,645.8,681.3,713.4,751.8,780.6,782.6,763.1,770,792.5,817.1,880,882.6,873.6,882.8,878.8,888.1,910.1,NA
"18","10","      Nondurable goods","N5010C1",474.4,487.5,487.3,464.1,461.4,457.2,452.4,456.6,465.1,458.6,478.5,501.3,504.5,517.1,533.7,544.5,573.5,562.8,572.8,584.9,592.4,636.5,634,603.2,627.1,657.5,602.7,627.2,593.1,606.8,628.4,632.7,575.6,559.2,557.2,569,562.1,603,623.9,610.3,615.6,625.7,636.9,627.1,681.7,684.8,668.6,692,689.2,670.1,667.6,NA
"19","11","    Wholesale trade","N5011C1",557.3,556.4,562.1,578,570.3,571.9,560.5,563.3,564.3,576.6,592.6,599.8,608.5,627.2,643,632.1,668.7,691.6,681.4,699.3,722.4,729.3,747.6,753,766.1,776.3,771.2,753.4,731.3,738.5,762.4,792.7,728.4,695.9,691.2,702.9,719.6,750,756.4,725.4,737.6,768.8,790.9,790.9,836.7,854.3,845.8,874.3,870,874.4,884,NA
"20","12","    Retail trade","N5012C1",692.5,695.9,702,711.4,722,722.8,728.6,736.7,750.3,760.4,763.7,770.8,783,784.4,788.9,795.4,821.6,859.5,856.9,889.9,897.7,894.2,909.5,920.4,914.6,922.7,898.5,889.2,851.5,846.2,837.7,826.6,827,837.5,837.1,858.6,861.2,874.5,876.6,876.4,885.3,887.8,901.4,920,957,950.7,950.3,977.9,971.4,995.8,1000.2,NA
"21","13","    Transportation and warehousing","N5013C1",276.3,277.6,255.1,262,261,260.3,263.8,270.1,272.9,269.2,280.4,286.8,292.9,305.7,304.9,305.7,323.8,329.9,335.3,344.4,358.5,364,362.2,362.7,358.1,366.2,360.7,357.5,357.4,363.5,360.9,365.1,347.2,335,336.2,350.7,357.2,372.5,379,367.3,370.6,380.3,382.3,389.1,425.5,425.4,421.9,421.8,434,436.3,443.6,NA
